,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,highway,exits,city,exit,highway city,20
1,highway,exits,city,exit,highway city,20
2,highway,exits,city,exit,highway city,20
3,highway,exits,city,exit,highway city,20
4,highway,exits,city,exit,highway city,20
5,highway,exits,city,exit,highway city,20
6,highway,exits,city,exit,highway city,20
7,highway,exits,city,exit,highway city,20
8,highway,exits,city,exit,highway city,20
9,highway,exits,city,exit,highway city,20
10,highway,exits,city,exit,highway city,20
11,highway,exits,city,exit,highway city,20
12,highway,exits,city,exit,highway city,20
13,highway,exits,city,exit,highway city,20
14,highway,exits,city,exit,highway city,20
15,highway,exits,city,exit,highway city,20
16,highway,exits,city,exit,highway city,20
17,highway,exits,city,exit,highway city,20
18,highway,exits,city,exit,highway city,20
19,highway,exits,city,exit,highway city,20
20,river,exited,lake,exit,river lake,19
21,river,exits,lake,exit,river lake,19
22,river,exits,lake,exit,river lake,19
23,river,exits,lake,exit,river lake,19
24,river,exits,lake,exit,river lake,19
25,river,exits,lake,exit,river lake,19
26,river,exits,lake,exit,river lake,19
27,river,exits,lake,exit,river lake,19
28,river,exits,lake,exit,river lake,19
29,river,exits,lake,exit,river lake,19
30,river,exits,lake,exit,river lake,19
31,river,exits,lake,exit,river lake,19
32,river,exits,lake,exit,river lake,19
33,river,exits,lake,exit,river lake,19
34,river,exits,lake,exit,river lake,19
35,river,exits,lake,exit,river lake,19
36,river,exits,lake,exit,river lake,19
37,river,exits,lake,exit,river lake,19
38,river,exits,lake,exit,river lake,19
39,wave,exited,coast,exit,wave coast,18
40,wave,exited,coast,exit,wave coast,18
41,wave,exited,coast,exit,wave coast,18
42,wave,exited,coast,exit,wave coast,18
43,wave,exited,coast,exit,wave coast,18
44,wave,exited,coast,exit,wave coast,18
45,wave,exited,coast,exit,wave coast,18
46,wave,exited,coast,exit,wave coast,18
47,wave,exited,coast,exit,wave coast,18
48,wave,exited,coast,exit,wave coast,18
49,wave,exited,coast,exit,wave coast,18
50,wave,exited,coast,exit,wave coast,18
51,wave,exited,coast,exit,wave coast,18
52,wave,exited,coast,exit,wave coast,18
53,wave,exited,coast,exit,wave coast,18
54,wave,exited,coast,exit,wave coast,18
55,wave,exited,coast,exit,wave coast,18
56,wave,exited,coast,exit,wave coast,18
57,losers,exit,championship,exit,losers championship,16
58,losers,exit,championship,exit,losers championship,16
59,losers,exit,championship,exit,losers championship,16
60,losers,exit,championship,exit,losers championship,16
61,losers,exit,championship,exit,losers championship,16
62,losers,exit,championship,exit,losers championship,16
63,losers,exit,championship,exit,losers championship,16
64,losers,exit,championship,exit,losers championship,16
65,losers,exit,championship,exit,losers championship,16
66,losers,exit,championship,exit,losers championship,16
67,losers,exit,championship,exit,losers championship,16
68,losers,exit,championship,exit,losers championship,16
69,losers,exit,championship,exit,losers championship,16
70,losers,exit,championship,exit,losers championship,16
71,losers,exit,championship,exit,losers championship,16
72,losers,exit,championship,exit,losers championship,16
73,train,exits,station,exit,train station,12
74,club,exited,administration,exit,club administration,12
75,train,exits,station,exit,train station,12
76,train,exits,station,exit,train station,12
77,train,exits,station,exit,train station,12
78,train,exits,station,exit,train station,12
79,club,exited,administration,exit,club administration,12
80,train,exited,station,exit,train station,12
81,club,exited,administration,exit,club administration,12
82,club,exited,administration,exit,club administration,12
83,train,exited,station,exit,train station,12
84,train,exits,station,exit,train station,12
85,club,exited,administration,exit,club administration,12
86,train,exits,station,exit,train station,12
87,club,exited,administration,exit,club administration,12
88,club,exited,administration,exit,club administration,12
89,club,exited,administration,exit,club administration,12
90,train,exits,station,exit,train station,12
91,club,exited,administration,exit,club administration,12
92,train,exits,station,exit,train station,12
93,club,exited,administration,exit,club administration,12
94,club,exited,administration,exit,club administration,12
95,club,exited,administration,exit,club administration,12
96,train,exits,station,exit,train station,12
97,train,exits,tunnel,exit,train tunnel,10
98,train,exits,tunnel,exit,train tunnel,10
99,train,exits,tunnel,exit,train tunnel,10
100,train,exits,tunnel,exit,train tunnel,10
101,train,exits,tunnel,exit,train tunnel,10
102,train,exits,tunnel,exit,train tunnel,10
103,train,exits,tunnel,exit,train tunnel,10
104,train,exits,tunnel,exit,train tunnel,10
105,train,exits,tunnel,exit,train tunnel,10
106,train,exits,tunnel,exit,train tunnel,10
107,band,exits,field,exit,band field,9
108,band,exits,field,exit,band field,9
109,team,exited,competition,exit,team competition,9
110,highway,exits,town,exit,highway town,9
111,driver,exited,car,exit,driver car,9
112,band,exits,field,exit,band field,9
113,highway,exits,town,exit,highway town,9
114,driver,exited,car,exit,driver car,9
115,band,exits,field,exit,band field,9
116,driver,exited,car,exit,driver car,9
117,band,exits,field,exit,band field,9
118,team,exited,competition,exit,team competition,9
119,highway,exits,town,exit,highway town,9
120,driver,exited,car,exit,driver car,9
121,team,exited,competition,exit,team competition,9
122,team,exited,competition,exit,team competition,9
123,team,exited,competition,exit,team competition,9
124,driver,exits,car,exit,driver car,9
125,highway,exits,town,exit,highway town,9
126,band,exits,field,exit,band field,9
127,driver,exits,car,exit,driver car,9
128,band,exits,field,exit,band field,9
129,team,exited,competition,exit,team competition,9
130,highway,exits,town,exit,highway town,9
131,band,exits,field,exit,band field,9
132,team,exited,competition,exit,team competition,9
133,driver,exits,car,exit,driver car,9
134,highway,exits,town,exit,highway town,9
135,highway,exits,town,exit,highway town,9
136,driver,exited,car,exit,driver car,9
137,band,exits,field,exit,band field,9
138,driver,exit,car,exit,driver car,9
139,highway,exited,town,exit,highway town,9
140,team,exit,competition,exit,team competition,9
141,highway,exits,town,exit,highway town,9
142,team,exited,competition,exit,team competition,9
143,company,exited,bankruptcy,exit,company bankruptcy,8
144,highway,exits,state,exit,highway state,8
145,company,exited,bankruptcy,exit,company bankruptcy,8
146,company,exited,bankruptcy,exit,company bankruptcy,8
147,highway,exits,state,exit,highway state,8
148,company,exited,bankruptcy,exit,company bankruptcy,8
149,highway,exits,state,exit,highway state,8
150,highway,exits,state,exit,highway state,8
151,company,exited,bankruptcy,exit,company bankruptcy,8
152,company,exited,bankruptcy,exit,company bankruptcy,8
153,company,exited,bankruptcy,exit,company bankruptcy,8
154,highway,exits,state,exit,highway state,8
155,highway,exits,state,exit,highway state,8
156,company,exited,bankruptcy,exit,company bankruptcy,8
157,highway,exits,state,exit,highway state,8
158,highway,exits,state,exit,highway state,8
159,driver,exits,vehicle,exit,driver vehicle,7
160,bullet,exits,barrel,exit,bullet barrel,7
161,bullet,exited,back,exit,bullet back,7
162,team,exited,tournament,exit,team tournament,7
163,teams,exit,championship,exit,teams championship,7
164,bullet,exits,barrel,exit,bullet barrel,7
165,bullet,exits,barrel,exit,bullet barrel,7
166,team,exited,tournament,exit,team tournament,7
167,teams,exit,championship,exit,teams championship,7
168,teams,exit,championship,exit,teams championship,7
169,teams,exit,championship,exit,teams championship,7
170,club,exited,competition,exit,club competition,7
171,bullet,exits,barrel,exit,bullet barrel,7
172,teams,exit,championship,exit,teams championship,7
173,driver,exited,vehicle,exit,driver vehicle,7
174,bullet,exited,back,exit,bullet back,7
175,song,exited,chart,exit,song chart,7
176,song,exited,chart,exit,song chart,7
177,tornado,exited,town,exit,tornado town,7
178,song,exited,chart,exit,song chart,7
179,team,exited,tournament,exit,team tournament,7
180,club,exited,competition,exit,club competition,7
181,river,exits,park,exit,river park,7
182,river,exits,park,exit,river park,7
183,team,exited,tournament,exit,team tournament,7
184,river,exits,park,exit,river park,7
185,song,exited,chart,exit,song chart,7
186,teams,exit,championship,exit,teams championship,7
187,driver,exited,vehicle,exit,driver vehicle,7
188,team,exited,tournament,exit,team tournament,7
189,side,exited,championship,exit,side championship,7
190,driver,exited,vehicle,exit,driver vehicle,7
191,tornado,exited,town,exit,tornado town,7
192,bullet,exits,barrel,exit,bullet barrel,7
193,driver,exited,vehicle,exit,driver vehicle,7
194,bullet,exits,barrel,exit,bullet barrel,7
195,tornado,exited,town,exit,tornado town,7
196,side,exited,championship,exit,side championship,7
197,song,exited,chart,exit,song chart,7
198,club,exited,competition,exit,club competition,7
199,side,exited,championship,exit,side championship,7
200,teams,exit,championship,exit,teams championship,7
201,side,exited,championship,exit,side championship,7
202,song,exited,chart,exit,song chart,7
203,team,exited,tournament,exit,team tournament,7
204,river,exits,park,exit,river park,7
205,bullet,exits,barrel,exit,bullet barrel,7
206,river,exits,park,exit,river park,7
207,side,exited,championship,exit,side championship,7
208,side,exited,championship,exit,side championship,7
209,bullet,exited,back,exit,bullet back,7
210,driver,exits,vehicle,exit,driver vehicle,7
211,club,exited,competition,exit,club competition,7
212,club,exited,competition,exit,club competition,7
213,club,exited,competition,exit,club competition,7
214,tornado,exited,town,exit,tornado town,7
215,bullet,exited,back,exit,bullet back,7
216,river,exits,park,exit,river park,7
217,bullet,exiting,back,exit,bullet back,7
218,side,exited,championship,exit,side championship,7
219,club,exited,competition,exit,club competition,7
220,bullet,exited,back,exit,bullet back,7
221,driver,exited,vehicle,exit,driver vehicle,7
222,bullet,exited,back,exit,bullet back,7
223,tornado,exited,town,exit,tornado town,7
224,tornado,exited,town,exit,tornado town,7
225,team,exited,tournament,exit,team tournament,7
226,river,exits,park,exit,river park,7
227,song,exited,chart,exit,song chart,7
228,tornado,exited,town,exit,tornado town,7
229,line,exited,tunnel,exit,line tunnel,6
230,line,exits,tunnel,exit,line tunnel,6
231,aircraft,exited,runway,exit,aircraft runway,6
232,line,exits,tunnel,exit,line tunnel,6
233,line,exits,tunnel,exit,line tunnel,6
234,line,exits,tunnel,exit,line tunnel,6
235,aircraft,exited,runway,exit,aircraft runway,6
236,aircraft,exited,runway,exit,aircraft runway,6
237,line,exits,tunnel,exit,line tunnel,6
238,aircraft,exited,runway,exit,aircraft runway,6
239,aircraft,exited,runway,exit,aircraft runway,6
240,aircraft,exited,runway,exit,aircraft runway,6
241,player,exit,level,exit,player level,5
242,men,exiting,car,exit,men car,5
243,passengers,exit,train,exit,passengers train,5
244,road,exits,town,exit,road town,5
245,team,exited,championship,exit,team championship,5
246,riders,exited,ride,exit,riders ride,5
247,team,exited,championship,exit,team championship,5
248,passengers,exit,train,exit,passengers train,5
249,riders,exit,ride,exit,riders ride,5
250,passengers,exit,train,exit,passengers train,5
251,men,exited,car,exit,men car,5
252,road,exits,town,exit,road town,5
253,passengers,exit,train,exit,passengers train,5
254,projectile,exits,barrel,exit,projectile barrel,5
255,riders,exit,ride,exit,riders ride,5
256,men,exit,car,exit,men car,5
257,team,exited,championship,exit,team championship,5
258,men,exiting,car,exit,men car,5
259,team,exits,championship,exit,team championship,5
260,projectile,exits,barrel,exit,projectile barrel,5
261,road,exits,town,exit,road town,5
262,riders,exit,ride,exit,riders ride,5
263,player,exits,level,exit,player level,5
264,player,exits,level,exit,player level,5
265,player,exits,level,exit,player level,5
266,projectile,exits,barrel,exit,projectile barrel,5
267,projectile,exits,barrel,exit,projectile barrel,5
268,projectile,exits,barrel,exit,projectile barrel,5
269,player,exit,level,exit,player level,5
270,road,exits,town,exit,road town,5
271,riders,exit,ride,exit,riders ride,5
272,passengers,exited,train,exit,passengers train,5
273,road,exits,town,exit,road town,5
274,team,exited,championship,exit,team championship,5
275,men,exited,car,exit,men car,5
276,pollinators,exit,flower,exit,pollinators flower,4
277,players,exited,field,exit,players field,4
278,passengers,exit,car,exit,passengers car,4
279,firms,exited,market,exit,firms market,4
280,pollinators,exit,flower,exit,pollinators flower,4
281,creek,exits,lake,exit,creek lake,4
282,water,exits,lake,exit,water lake,4
283,guests,exited,ride,exit,guests ride,4
284,officers,exited,vehicle,exit,officers vehicle,4
285,pollinators,exit,flower,exit,pollinators flower,4
286,officers,exited,vehicle,exit,officers vehicle,4
287,passengers,exited,car,exit,passengers car,4
288,man,exits,car,exit,man car,4
289,firms,exit,market,exit,firms market,4
290,man,exits,car,exit,man car,4
291,highway,exits,forest,exit,highway forest,4
292,passengers,exit,car,exit,passengers car,4
293,guests,exit,ride,exit,guests ride,4
294,passengers,exiting,plane,exit,passengers plane,4
295,highway,exits,forest,exit,highway forest,4
296,man,exited,car,exit,man car,4
297,band,exits,stage,exit,band stage,4
298,band,exited,stage,exit,band stage,4
299,pollinators,exit,flower,exit,pollinators flower,4
300,creek,exits,lake,exit,creek lake,4
301,players,exit,field,exit,players field,4
302,man,exited,vehicle,exit,man vehicle,4
303,trains,exiting,station,exit,trains station,4
304,creek,exits,lake,exit,creek lake,4
305,cars,exit,pits,exit,cars pits,4
306,water,exits,lake,exit,water lake,4
307,cars,exit,pits,exit,cars pits,4
308,passengers,exit,plane,exit,passengers plane,4
309,players,exit,field,exit,players field,4
310,cars,exited,pits,exit,cars pits,4
311,water,exits,lake,exit,water lake,4
312,trains,exit,station,exit,trains station,4
313,water,exits,lake,exit,water lake,4
314,man,exits,vehicle,exit,man vehicle,4
315,firms,exited,market,exit,firms market,4
316,guests,exited,ride,exit,guests ride,4
317,man,exited,car,exit,man car,4
318,trains,exited,station,exit,trains station,4
319,highway,exits,forest,exit,highway forest,4
320,man,exited,vehicle,exit,man vehicle,4
321,officers,exited,vehicle,exit,officers vehicle,4
322,one,exited,westwards,exit,one westwards,4
323,officers,exited,vehicle,exit,officers vehicle,4
324,passengers,exited,car,exit,passengers car,4
325,man,exited,vehicle,exit,man vehicle,4
326,one,exited,westwards,exit,one westwards,4
327,players,exit,field,exit,players field,4
328,cars,exited,pits,exit,cars pits,4
329,highway,exits,forest,exit,highway forest,4
330,firms,exit,market,exit,firms market,4
331,guests,exit,ride,exit,guests ride,4
332,passengers,exit,plane,exit,passengers plane,4
333,straw,exits,machine,exit,straw machine,4
334,trains,exit,station,exit,trains station,4
335,band,exited,stage,exit,band stage,4
336,straw,exits,machine,exit,straw machine,4
337,straw,exits,machine,exit,straw machine,4
338,band,exiting,stage,exit,band stage,4
339,one,exited,westwards,exit,one westwards,4
340,passengers,exit,plane,exit,passengers plane,4
