,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,score,decided,winner,decide,score winner,23
1,score,decided,winner,decide,score winner,23
2,score,decided,winner,decide,score winner,23
3,score,decided,winner,decide,score winner,23
4,score,decided,winner,decide,score winner,23
5,score,decides,winner,decide,score winner,23
6,score,decided,winner,decide,score winner,23
7,score,decided,winner,decide,score winner,23
8,score,decided,winner,decide,score winner,23
9,score,decided,winner,decide,score winner,23
10,score,decided,winner,decide,score winner,23
11,score,decided,winner,decide,score winner,23
12,score,decided,winner,decide,score winner,23
13,score,decided,winner,decide,score winner,23
14,score,decided,winner,decide,score winner,23
15,score,decided,winner,decide,score winner,23
16,score,decided,winner,decide,score winner,23
17,score,decided,winner,decide,score winner,23
18,score,decided,winner,decide,score winner,23
19,score,decided,winner,decide,score winner,23
20,score,decided,winner,decide,score winner,23
21,score,decided,winner,decide,score winner,23
22,score,decided,winner,decide,score winner,23
23,ranking,decided,way,decide,ranking way,15
24,ranking,decided,way,decide,ranking way,15
25,ranking,decided,way,decide,ranking way,15
26,ranking,decided,way,decide,ranking way,15
27,ranking,decided,way,decide,ranking way,15
28,ranking,decided,way,decide,ranking way,15
29,ranking,decided,way,decide,ranking way,15
30,ranking,decided,way,decide,ranking way,15
31,ranking,decided,way,decide,ranking way,15
32,ranking,decided,way,decide,ranking way,15
33,ranking,decided,way,decide,ranking way,15
34,ranking,decided,way,decide,ranking way,15
35,ranking,decided,way,decide,ranking way,15
36,ranking,decided,way,decide,ranking way,15
37,ranking,decided,way,decide,ranking way,15
38,court,decided,case,decide,court case,14
39,court,decided,case,decide,court case,14
40,court,decided,case,decide,court case,14
41,court,decided,case,decide,court case,14
42,court,decided,case,decide,court case,14
43,court,decided,case,decide,court case,14
44,court,decided,case,decide,court case,14
45,court,decided,case,decide,court case,14
46,court,decided,case,decide,court case,14
47,court,decided,case,decide,court case,14
48,court,decided,case,decide,court case,14
49,court,decides,case,decide,court case,14
50,court,decided,case,decide,court case,14
51,court,decided,case,decide,court case,14
52,county,decides,format,decide,county format,12
53,county,decides,format,decide,county format,12
54,county,decides,format,decide,county format,12
55,county,decides,format,decide,county format,12
56,county,decides,format,decide,county format,12
57,county,decides,format,decide,county format,12
58,county,decides,format,decide,county format,12
59,county,decides,format,decide,county format,12
60,county,decides,format,decide,county format,12
61,county,decides,format,decide,county format,12
62,county,decides,format,decide,county format,12
63,county,decides,format,decide,county format,12
64,judges,decided,cases,decide,judges cases,10
65,judges,decide,cases,decide,judges cases,10
66,judges,decide,cases,decide,judges cases,10
67,judges,decide,cases,decide,judges cases,10
68,judges,decide,cases,decide,judges cases,10
69,judges,deciding,cases,decide,judges cases,10
70,judges,decide,cases,decide,judges cases,10
71,judges,decide,cases,decide,judges cases,10
72,judges,decide,cases,decide,judges cases,10
73,judges,decide,cases,decide,judges cases,10
74,vote,decides,winner,decide,vote winner,9
75,judges,decided,winner,decide,judges winner,9
76,votes,decided,winner,decide,votes winner,9
77,vote,decided,winner,decide,vote winner,9
78,vote,deciding,winner,decide,vote winner,9
79,vote,deciding,winner,decide,vote winner,9
80,votes,decided,winner,decide,votes winner,9
81,vote,decided,winner,decide,vote winner,9
82,judges,decided,winner,decide,judges winner,9
83,judges,decide,winner,decide,judges winner,9
84,matches,deciding,nations,decide,matches nations,9
85,matches,deciding,nations,decide,matches nations,9
86,vote,decided,winner,decide,vote winner,9
87,matches,deciding,nations,decide,matches nations,9
88,judges,decide,winner,decide,judges winner,9
89,matches,deciding,nations,decide,matches nations,9
90,matches,deciding,nations,decide,matches nations,9
91,judges,decide,winner,decide,judges winner,9
92,matches,deciding,nations,decide,matches nations,9
93,matches,deciding,nations,decide,matches nations,9
94,matches,deciding,nations,decide,matches nations,9
95,votes,decided,winner,decide,votes winner,9
96,vote,deciding,winner,decide,vote winner,9
97,votes,decided,winner,decide,votes winner,9
98,judges,decide,winner,decide,judges winner,9
99,judges,decide,winner,decide,judges winner,9
100,vote,deciding,winner,decide,vote winner,9
101,matches,deciding,nations,decide,matches nations,9
102,judges,decided,winner,decide,judges winner,9
103,votes,decided,winner,decide,votes winner,9
104,judges,decide,winner,decide,judges winner,9
105,votes,decided,winner,decide,votes winner,9
106,votes,decided,winner,decide,votes winner,9
107,vote,deciding,winner,decide,vote winner,9
108,votes,decided,winner,decide,votes winner,9
109,votes,decided,winner,decide,votes winner,9
110,match,decided,winner,decide,match winner,7
111,match,decided,winner,decide,match winner,7
112,people,decide,fate,decide,people fate,7
113,judge,decided,case,decide,judge case,7
114,judge,decided,case,decide,judge case,7
115,match,decided,winner,decide,match winner,7
116,judge,decided,case,decide,judge case,7
117,match,decided,winner,decide,match winner,7
118,match,decided,winner,decide,match winner,7
119,people,decide,fate,decide,people fate,7
120,people,decide,fate,decide,people fate,7
121,match,decided,winner,decide,match winner,7
122,people,decide,fate,decide,people fate,7
123,match,decided,winner,decide,match winner,7
124,judge,deciding,case,decide,judge case,7
125,judge,decided,case,decide,judge case,7
126,people,decide,fate,decide,people fate,7
127,judge,decided,case,decide,judge case,7
128,people,decide,fate,decide,people fate,7
129,people,decide,fate,decide,people fate,7
130,judge,decided,case,decide,judge case,7
131,court,decide,cases,decide,court cases,6
132,courts,decided,cases,decide,courts cases,6
133,elections,decided,members,decide,elections members,6
134,court,decided,cases,decide,court cases,6
135,matchups,decided,draw,decide,matchups draw,6
136,battle,decided,outcome,decide,battle outcome,6
137,public,decided,winner,decide,public winner,6
138,court,decided,cases,decide,court cases,6
139,elections,decide,members,decide,elections members,6
140,public,deciding,winner,decide,public winner,6
141,battle,decided,outcome,decide,battle outcome,6
142,battle,decided,outcome,decide,battle outcome,6
143,elections,decided,members,decide,elections members,6
144,public,decided,winner,decide,public winner,6
145,elections,decided,members,decide,elections members,6
146,court,decided,cases,decide,court cases,6
147,public,deciding,winner,decide,public winner,6
148,battle,decided,outcome,decide,battle outcome,6
149,public,decided,winner,decide,public winner,6
150,courts,decide,cases,decide,courts cases,6
151,court,decides,cases,decide,court cases,6
152,courts,decide,cases,decide,courts cases,6
153,matchups,decided,draw,decide,matchups draw,6
154,matchups,decided,draw,decide,matchups draw,6
155,matchups,decided,draw,decide,matchups draw,6
156,courts,decide,cases,decide,courts cases,6
157,battle,decided,outcome,decide,battle outcome,6
158,court,decided,cases,decide,court cases,6
159,battle,decided,outcome,decide,battle outcome,6
160,courts,decide,cases,decide,courts cases,6
161,elections,decided,members,decide,elections members,6
162,courts,decide,cases,decide,courts cases,6
163,public,deciding,winner,decide,public winner,6
164,matchups,decided,draw,decide,matchups draw,6
165,matchups,decided,draw,decide,matchups draw,6
166,elections,decided,members,decide,elections members,6
167,panel,decided,winner,decide,panel winner,5
168,juries,decided,winner,decide,juries winner,5
169,jury,decided,riders,decide,jury riders,5
170,game,decided,championship,decide,game championship,5
171,match,decides,rank,decide,match rank,5
172,match,decides,rank,decide,match rank,5
173,juries,decided,winner,decide,juries winner,5
174,court,decide,issue,decide,court issue,5
175,band,decided,songs,decide,band songs,5
176,jury,decides,riders,decide,jury riders,5
177,court,decided,issue,decide,court issue,5
178,jury,decides,riders,decide,jury riders,5
179,panel,decides,winner,decide,panel winner,5
180,jury,decides,riders,decide,jury riders,5
181,band,decided,songs,decide,band songs,5
182,panel,decide,winner,decide,panel winner,5
183,panel,decide,winner,decide,panel winner,5
184,band,decided,songs,decide,band songs,5
185,game,decided,championship,decide,game championship,5
186,court,decide,issue,decide,court issue,5
187,band,decided,songs,decide,band songs,5
188,game,decided,championship,decide,game championship,5
189,match,decides,rank,decide,match rank,5
190,jury,decides,riders,decide,jury riders,5
191,game,decided,championship,decide,game championship,5
192,band,decided,songs,decide,band songs,5
193,match,decides,rank,decide,match rank,5
194,match,decides,rank,decide,match rank,5
195,juries,decided,winner,decide,juries winner,5
196,game,decided,championship,decide,game championship,5
197,juries,decided,winner,decide,juries winner,5
198,court,decide,issue,decide,court issue,5
199,court,decided,issue,decide,court issue,5
200,panel,decides,winner,decide,panel winner,5
201,juries,deciding,winner,decide,juries winner,5
202,jury,decided,case,decide,jury case,4
203,penalties,decide,winner,decide,penalties winner,4
204,jury,decided,case,decide,jury case,4
205,judge,decided,cases,decide,judge cases,4
206,people,decide,future,decide,people future,4
207,jury,decides,winner,decide,jury winner,4
208,people,decide,future,decide,people future,4
209,penalties,decide,winner,decide,penalties winner,4
210,audience,decide,winner,decide,audience winner,4
211,judge,decided,cases,decide,judge cases,4
212,ref,decided,result,decide,ref result,4
213,score,deciding,result,decide,score result,4
214,country,decided,entry,decide,country entry,4
215,penalties,decided,winner,decide,penalties winner,4
216,country,decided,entry,decide,country entry,4
217,country,decided,entry,decide,country entry,4
218,country,decided,entry,decide,country entry,4
219,order,decided,draw,decide,order draw,4
220,panel,decides,cases,decide,panel cases,4
221,goal,decided,match,decide,goal match,4
222,voting,decides,winner,decide,voting winner,4
223,judge,decides,sentence,decide,judge sentence,4
224,ref,decided,result,decide,ref result,4
225,judge,decides,sentence,decide,judge sentence,4
226,judge,decides,cases,decide,judge cases,4
227,position,decided,number,decide,position number,4
228,goal,decided,match,decide,goal match,4
229,goal,decided,match,decide,goal match,4
230,panel,decide,winners,decide,panel winners,4
231,government,decided,number,decide,government number,4
232,goal,decided,match,decide,goal match,4
233,score,deciding,result,decide,score result,4
234,score,deciding,result,decide,score result,4
235,government,decide,number,decide,government number,4
236,panel,decides,cases,decide,panel cases,4
237,government,decide,number,decide,government number,4
238,order,decided,draw,decide,order draw,4
239,game,decided,goal,decide,game goal,4
240,game,decided,goal,decide,game goal,4
241,audience,decides,winner,decide,audience winner,4
242,ref,decided,result,decide,ref result,4
243,panel,decides,cases,decide,panel cases,4
244,judge,decides,cases,decide,judge cases,4
245,game,decided,goal,decide,game goal,4
246,penalties,decided,winner,decide,penalties winner,4
247,panel,decides,winners,decide,panel winners,4
248,government,decided,number,decide,government number,4
249,panel,decides,cases,decide,panel cases,4
250,jury,decides,winner,decide,jury winner,4
251,jury,decides,winner,decide,jury winner,4
252,voting,decided,winner,decide,voting winner,4
253,judge,decides,sentence,decide,judge sentence,4
254,voting,decided,winner,decide,voting winner,4
255,jury,decided,case,decide,jury case,4
256,panel,decided,winners,decide,panel winners,4
257,voting,decided,winner,decide,voting winner,4
258,ref,decided,result,decide,ref result,4
259,people,decide,future,decide,people future,4
260,panel,decided,winners,decide,panel winners,4
261,jury,decided,winner,decide,jury winner,4
262,score,deciding,result,decide,score result,4
263,people,decide,future,decide,people future,4
264,judge,decided,sentence,decide,judge sentence,4
265,order,decided,draw,decide,order draw,4
266,game,decided,goal,decide,game goal,4
267,number,decides,score,decide,number score,4
268,order,decided,draw,decide,order draw,4
269,position,decided,number,decide,position number,4
270,audience,decided,winner,decide,audience winner,4
271,audience,decides,winner,decide,audience winner,4
272,position,decided,number,decide,position number,4
273,jury,decided,case,decide,jury case,4
274,number,decides,score,decide,number score,4
275,number,decides,score,decide,number score,4
276,position,decided,number,decide,position number,4
277,number,decides,score,decide,number score,4
278,judges,decides,song,decide,judges song,3
279,judges,decided,acts,decide,judges acts,3
280,winner,decided,vote,decide,winner vote,3
281,group,decides,boundaries,decide,group boundaries,3
282,victory,decided,fate,decide,victory fate,3
283,play,decided,outcome,decide,play outcome,3
284,landowners,decided,matters,decide,landowners matters,3
285,challenge,decided,title,decide,challenge title,3
286,challenge,decided,title,decide,challenge title,3
287,jury,decided,finalists,decide,jury finalists,3
288,umpires,decided,game,decide,umpires game,3
289,elections,decided,control,decide,elections control,3
290,calendar,deciding,holidays,decide,calendar holidays,3
291,qualifier,decided,televote,decide,qualifier televote,3
292,tournament,decided,champion,decide,tournament champion,3
293,court,decide,merits,decide,court merits,3
294,umpires,decided,game,decide,umpires game,3
295,districts,decided,teams,decide,districts teams,3
296,judges,decide,acts,decide,judges acts,3
297,calendar,deciding,holidays,decide,calendar holidays,3
298,judges,decide,acts,decide,judges acts,3
299,time,decided,classification,decide,time classification,3
300,court,decide,merits,decide,court merits,3
301,group,decide,boundaries,decide,group boundaries,3
302,voters,decide,disposition,decide,voters disposition,3
303,group,decide,boundaries,decide,group boundaries,3
304,landowners,decided,matters,decide,landowners matters,3
305,play,decided,outcome,decide,play outcome,3
306,mix,decided,qualifiers,decide,mix qualifiers,3
307,fans,decide,fate,decide,fans fate,3
308,umpires,decided,game,decide,umpires game,3
309,qualifier,decided,televote,decide,qualifier televote,3
310,fans,decide,fate,decide,fans fate,3
311,mix,decided,qualifiers,decide,mix qualifiers,3
312,voters,decide,disposition,decide,voters disposition,3
313,mix,decided,qualifiers,decide,mix qualifiers,3
314,districts,decided,teams,decide,districts teams,3
315,members,decided,policy,decide,members policy,3
316,win,decided,digits,decide,win digits,3
317,victory,decided,fate,decide,victory fate,3
318,legislature,decided,election,decide,legislature election,3
319,voters,decide,disposition,decide,voters disposition,3
320,challenge,decided,title,decide,challenge title,3
321,members,decide,policy,decide,members policy,3
322,court,decide,merits,decide,court merits,3
323,goals,decided,match,decide,goals match,3
324,assembly,decided,matters,decide,assembly matters,3
325,tournament,decided,champion,decide,tournament champion,3
326,victory,decided,fate,decide,victory fate,3
327,time,decided,classification,decide,time classification,3
328,winner,decided,vote,decide,winner vote,3
329,government,decided,decision,decide,government decision,3
330,calendar,deciding,holidays,decide,calendar holidays,3
331,officer,decides,questions,decide,officer questions,3
332,play,decides,outcome,decide,play outcome,3
333,elections,decided,control,decide,elections control,3
334,elections,decided,control,decide,elections control,3
335,judges,decides,song,decide,judges song,3
336,members,decide,policy,decide,members policy,3
337,goals,decided,match,decide,goals match,3
338,judges,decided,song,decide,judges song,3
339,goals,decided,match,decide,goals match,3
