,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,prosecution,rests,case,rest,prosecution case,22
1,prosecution,rested,case,rest,prosecution case,22
2,prosecution,rested,case,rest,prosecution case,22
3,prosecution,rested,case,rest,prosecution case,22
4,prosecution,rested,case,rest,prosecution case,22
5,prosecution,rested,case,rest,prosecution case,22
6,prosecution,rested,case,rest,prosecution case,22
7,prosecution,rested,case,rest,prosecution case,22
8,prosecution,rested,case,rest,prosecution case,22
9,prosecution,rested,case,rest,prosecution case,22
10,prosecution,rested,case,rest,prosecution case,22
11,prosecution,rested,case,rest,prosecution case,22
12,prosecution,rested,case,rest,prosecution case,22
13,prosecution,rests,case,rest,prosecution case,22
14,prosecution,rested,case,rest,prosecution case,22
15,prosecution,rested,case,rest,prosecution case,22
16,prosecution,rests,case,rest,prosecution case,22
17,prosecution,rested,case,rest,prosecution case,22
18,prosecution,rested,case,rest,prosecution case,22
19,prosecution,rested,case,rest,prosecution case,22
20,prosecution,rested,case,rest,prosecution case,22
21,prosecution,rested,case,rest,prosecution case,22
22,defense,rested,case,rest,defense case,16
23,defense,rested,case,rest,defense case,16
24,defense,rested,case,rest,defense case,16
25,defense,rested,case,rest,defense case,16
26,defense,rested,case,rest,defense case,16
27,defense,rested,case,rest,defense case,16
28,defense,rested,case,rest,defense case,16
29,defense,rested,case,rest,defense case,16
30,defense,rested,case,rest,defense case,16
31,defense,rested,case,rest,defense case,16
32,defense,rested,case,rest,defense case,16
33,defense,rested,case,rest,defense case,16
34,defense,rested,case,rest,defense case,16
35,defense,rested,case,rest,defense case,16
36,defense,rested,case,rest,defense case,16
37,defense,rested,case,rest,defense case,16
38,government,rested,case,rest,government case,6
39,government,rested,case,rest,government case,6
40,government,rested,case,rest,government case,6
41,government,rested,case,rest,government case,6
42,government,rested,case,rest,government case,6
43,government,rested,case,rest,government case,6
44,cylinders,rested,backplate,rest,cylinders backplate,5
45,cylinders,rested,backplate,rest,cylinders backplate,5
46,cylinders,rested,backplate,rest,cylinders backplate,5
47,cylinders,rested,backplate,rest,cylinders backplate,5
48,cylinders,rested,backplate,rest,cylinders backplate,5
49,state,rested,case,rest,state case,4
50,house,rests,roof,rest,house roof,4
51,state,rested,case,rest,state case,4
52,house,rests,roof,rest,house roof,4
53,state,rested,case,rest,state case,4
54,state,rested,case,rest,state case,4
55,responsibility,rested,responsibility,rest,responsibility responsibility,4
56,house,rests,roof,rest,house roof,4
57,house,rests,roof,rest,house roof,4
58,responsibility,rests,responsibility,rest,responsibility responsibility,4
59,responsibility,rested,responsibility,rest,responsibility responsibility,4
60,responsibility,rests,responsibility,rest,responsibility responsibility,4
61,credibility,rested,relations,rest,credibility relations,3
62,team,resting,round,rest,team round,3
63,opinions,rest,analysis,rest,opinions analysis,3
64,woman,resting,head,rest,woman head,3
65,head,rests,flag,rest,head flag,3
66,team,resting,round,rest,team round,3
67,woman,resting,head,rest,woman head,3
68,prosecutors,rested,case,rest,prosecutors case,3
69,opinions,rest,analysis,rest,opinions analysis,3
70,team,resting,players,rest,team players,3
71,head,rests,flag,rest,head flag,3
72,team,rested,players,rest,team players,3
73,opinions,rest,analysis,rest,opinions analysis,3
74,team,resting,players,rest,team players,3
75,woman,resting,head,rest,woman head,3
76,building,rests,roof,rest,building roof,3
77,prosecutors,rested,case,rest,prosecutors case,3
78,building,rests,roof,rest,building roof,3
79,team,resting,round,rest,team round,3
80,head,rests,flag,rest,head flag,3
81,credibility,rested,relations,rest,credibility relations,3
82,credibility,rested,relations,rest,credibility relations,3
83,prosecutors,rested,case,rest,prosecutors case,3
84,building,rests,roof,rest,building roof,3
85,one,rests,buttocks,rest,one buttocks,2
86,responsibility,rested,role,rest,responsibility role,2
87,responsibility,rests,role,rest,responsibility role,2
88,most,rested,witnesses,rest,most witnesses,2
89,dilemma,rests,function,rest,dilemma function,2
90,legitimacy,rested,role,rest,legitimacy role,2
91,much,rested,use,rest,much use,2
92,laying,rested,players,rest,laying players,2
93,fame,rests,number,rest,fame number,2
