,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,project,broke,ground,break,project ground,97
1,project,broke,ground,break,project ground,97
2,project,broke,ground,break,project ground,97
3,project,broke,ground,break,project ground,97
4,project,broke,ground,break,project ground,97
5,project,broke,ground,break,project ground,97
6,project,broke,ground,break,project ground,97
7,project,broke,ground,break,project ground,97
8,project,broke,ground,break,project ground,97
9,project,broke,ground,break,project ground,97
10,project,broke,ground,break,project ground,97
11,project,broke,ground,break,project ground,97
12,project,broke,ground,break,project ground,97
13,project,broke,ground,break,project ground,97
14,project,broke,ground,break,project ground,97
15,project,broke,ground,break,project ground,97
16,project,broke,ground,break,project ground,97
17,project,broke,ground,break,project ground,97
18,project,broke,ground,break,project ground,97
19,project,broke,ground,break,project ground,97
20,project,broke,ground,break,project ground,97
21,project,broke,ground,break,project ground,97
22,project,broke,ground,break,project ground,97
23,project,broke,ground,break,project ground,97
24,project,broke,ground,break,project ground,97
25,project,broke,ground,break,project ground,97
26,project,broke,ground,break,project ground,97
27,project,broke,ground,break,project ground,97
28,project,broke,ground,break,project ground,97
29,project,broke,ground,break,project ground,97
30,project,broke,ground,break,project ground,97
31,project,broke,ground,break,project ground,97
32,project,broke,ground,break,project ground,97
33,project,broke,ground,break,project ground,97
34,project,broke,ground,break,project ground,97
35,project,broke,ground,break,project ground,97
36,project,broke,ground,break,project ground,97
37,project,broke,ground,break,project ground,97
38,project,broke,ground,break,project ground,97
39,project,broke,ground,break,project ground,97
40,project,broke,ground,break,project ground,97
41,project,broke,ground,break,project ground,97
42,project,broke,ground,break,project ground,97
43,project,broke,ground,break,project ground,97
44,project,broke,ground,break,project ground,97
45,project,broke,ground,break,project ground,97
46,project,broke,ground,break,project ground,97
47,project,broke,ground,break,project ground,97
48,project,broke,ground,break,project ground,97
49,project,broke,ground,break,project ground,97
50,project,broke,ground,break,project ground,97
51,project,broke,ground,break,project ground,97
52,project,broke,ground,break,project ground,97
53,project,broke,ground,break,project ground,97
54,project,broke,ground,break,project ground,97
55,project,broke,ground,break,project ground,97
56,project,broke,ground,break,project ground,97
57,project,broke,ground,break,project ground,97
58,project,broke,ground,break,project ground,97
59,project,broke,ground,break,project ground,97
60,project,broke,ground,break,project ground,97
61,project,broke,ground,break,project ground,97
62,project,broke,ground,break,project ground,97
63,project,broke,ground,break,project ground,97
64,project,broke,ground,break,project ground,97
65,project,broke,ground,break,project ground,97
66,project,broke,ground,break,project ground,97
67,project,break,ground,break,project ground,97
68,project,broke,ground,break,project ground,97
69,project,broke,ground,break,project ground,97
70,project,broke,ground,break,project ground,97
71,project,broke,ground,break,project ground,97
72,project,broke,ground,break,project ground,97
73,project,broke,ground,break,project ground,97
74,project,broke,ground,break,project ground,97
75,project,broke,ground,break,project ground,97
76,project,broke,ground,break,project ground,97
77,project,broke,ground,break,project ground,97
78,project,broke,ground,break,project ground,97
79,project,broke,ground,break,project ground,97
80,project,broke,ground,break,project ground,97
81,project,broke,ground,break,project ground,97
82,project,broke,ground,break,project ground,97
83,project,broke,ground,break,project ground,97
84,project,broke,ground,break,project ground,97
85,project,broke,ground,break,project ground,97
86,project,broke,ground,break,project ground,97
87,project,broke,ground,break,project ground,97
88,project,broke,ground,break,project ground,97
89,project,breaks,ground,break,project ground,97
90,project,broke,ground,break,project ground,97
