,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,manager,distracted,referee,distract,manager referee,4
1,manager,distracted,referee,distract,manager referee,4
2,manager,distracted,referee,distract,manager referee,4
3,manager,distracted,referee,distract,manager referee,4
4,numbers,distract,battleship,distract,numbers battleship,3
5,numbers,distract,battleship,distract,numbers battleship,3
6,numbers,distract,battleship,distract,numbers battleship,3
7,group,distract,attention,distract,group attention,2
8,men,distract,guards,distract,men guards,2
9,group,distract,attention,distract,group attention,2
10,prisoners,distracted,guards,distract,prisoners guards,2
11,charges,distracted,attention,distract,charges attention,2
12,run,distracted,defenders,distract,run defenders,2
13,character,distracting,attention,distract,character attention,2
14,insecurity,distracted,leadership,distract,insecurity leadership,2
15,one,distracted,guard,distract,one guard,2
16,nature,distracts,society,distract,nature society,2
17,fire,distracted,bombers,distract,fire bombers,2
18,nature,distracts,society,distract,nature society,2
19,fire,distracted,bombers,distract,fire bombers,2
20,run,distracted,defenders,distract,run defenders,2
21,attacks,distracted,nation,distract,attacks nation,2
22,one,distracts,guard,distract,one guard,2
23,attacks,distracting,nation,distract,attacks nation,2
24,character,distracted,viewers,distract,character viewers,2
25,insecurity,distracted,leadership,distract,insecurity leadership,2
26,prisoners,distracted,guards,distract,prisoners guards,2
27,men,distract,guards,distract,men guards,2
28,charges,distracted,attention,distract,charges attention,2
29,character,distracts,viewers,distract,character viewers,2
30,character,distracting,attention,distract,character attention,2
31,sin,distracts,soul,distract,sin soul,1
32,emphasis,distracts,politicians,distract,emphasis politicians,1
33,style,distracts,viewer,distract,style viewer,1
34,raven,distracted,opponent,distract,raven opponent,1
35,fight,distracts,guards,distract,fight guards,1
36,woman,distracted,guard,distract,woman guard,1
37,cousins,distract,army,distract,cousins army,1
38,girlfriend,distracted,referee,distract,girlfriend referee,1
39,tail,distracts,predators,distract,tail predators,1
40,argument,distracted,pilots,distract,argument pilots,1
41,performance,distracted,listener,distract,performance listener,1
42,woman,distracted,jailer,distract,woman jailer,1
43,airfield,distracted,attention,distract,airfield attention,1
44,music,distract,world,distract,music world,1
45,mars,distracts,listener,distract,mars listener,1
46,witch,distracted,stonemason,distract,witch stonemason,1
47,view,distracts,attention,distract,view attention,1
48,fight,distracted,referee,distract,fight referee,1
49,crimes,distracts,attention,distract,crimes attention,1
50,inhabitants,distract,staff,distract,inhabitants staff,1
51,wars,distracted,people,distract,wars people,1
52,trainer,distracted,referee,distract,trainer referee,1
53,suicide,distracting,everyone,distract,suicide everyone,1
54,diversion,distracted,defenders,distract,diversion defenders,1
55,voice,distracts,lines,distract,voice lines,1
56,fire,distracted,crew,distract,fire crew,1
57,menace,distracts,public,distract,menace public,1
58,rest,distracted,beasts,distract,rest beasts,1
59,feud,distracted,wrestlers,distract,feud wrestlers,1
60,agent,distracted,tourist,distract,agent tourist,1
61,parson,distracts,policemen,distract,parson policemen,1
62,technology,distract,focus,distract,technology focus,1
63,production,distracted,viewer,distract,production viewer,1
64,allies,distract,guards,distract,allies guards,1
65,usage,distracts,children,distract,usage children,1
66,friends,distract,police,distract,friends police,1
67,policeman,distracts,monster,distract,policeman monster,1
68,father,distracts,police,distract,father police,1
69,suspect,distracted,tourist,distract,suspect tourist,1
70,one,distracted,bodyguards,distract,one bodyguards,1
71,line,distracted,demons,distract,line demons,1
72,atmospherics,distract,film,distract,atmospherics film,1
73,mother,distracted,child,distract,mother child,1
74,men,distracted,attack,distract,men attack,1
75,girl,distracts,salesman,distract,girl salesman,1
76,awareness,distracted,movement,distract,awareness movement,1
77,gameplay,distracts,players,distract,gameplay players,1
78,scene,distracts,audience,distract,scene audience,1
79,internationalization,distracted,revolution,distract,internationalization revolution,1
80,start,distracted,public,distract,start public,1
81,engagement,distracts,efforts,distract,engagement efforts,1
82,remarks,distract,attention,distract,remarks attention,1
83,emperor,distracted,faction,distract,emperor faction,1
84,sun,distracts,attention,distract,sun attention,1
85,problems,distracted,attention,distract,problems attention,1
86,revolt,distracted,powers,distract,revolt powers,1
87,choice,distracted,electorate,distract,choice electorate,1
88,guardians,distracted,kingdom,distract,guardians kingdom,1
89,spaces,distract,eye,distract,spaces eye,1
90,inconsistency,distracts,readers,distract,inconsistency readers,1
91,woman,distracts,vampire,distract,woman vampire,1
92,love,distracted,wits,distract,love wits,1
93,operation,distracted,attention,distract,operation attention,1
94,seagull,distracts,fishmonger,distract,seagull fishmonger,1
95,war,distracted,attention,distract,war attention,1
96,bullfighters,distract,bull,distract,bullfighters bull,1
97,items,distract,attention,distract,items attention,1
98,assemblage,distracted,attention,distract,assemblage attention,1
99,appearance,distracted,attention,distract,appearance attention,1
100,language,distracting,information,distract,language information,1
101,accomplices,distract,staff,distract,accomplices staff,1
102,time,distracted,faculty,distract,time faculty,1
103,rabbit,distracts,taxidermist,distract,rabbit taxidermist,1
104,techniques,distract,snake,distract,techniques snake,1
105,image,distracting,public,distract,image public,1
106,much,distracted,scores,distract,much scores,1
107,exit,distracted,viewer,distract,exit viewer,1
108,use,distracts,students,distract,use students,1
109,accusations,distract,public,distract,accusations public,1
110,music,distracts,henchmen,distract,music henchmen,1
111,matches,distracted,subjects,distract,matches subjects,1
112,chaos,distracted,authorities,distract,chaos authorities,1
113,administrators,distract,attention,distract,administrators attention,1
114,group,distract,clerks,distract,group clerks,1
115,team,distracts,pursuers,distract,team pursuers,1
116,speedsters,distract,soldiers,distract,speedsters soldiers,1
117,spinners,distracted,students,distract,spinners students,1
118,team,distracted,guards,distract,team guards,1
119,format,distracting,interest,distract,format interest,1
