,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,leaves,clasp,stem,clasp,leaves stem,11
1,leaves,clasp,stem,clasp,leaves stem,11
2,leaves,clasp,stem,clasp,leaves stem,11
3,leaves,clasp,stem,clasp,leaves stem,11
4,leaves,clasp,stem,clasp,leaves stem,11
5,leaves,clasp,stem,clasp,leaves stem,11
6,leaves,clasp,stem,clasp,leaves stem,11
7,leaves,clasping,stem,clasp,leaves stem,11
8,leaves,clasping,stem,clasp,leaves stem,11
9,leaves,clasp,stem,clasp,leaves stem,11
10,leaves,clasping,stem,clasp,leaves stem,11
11,male,clasps,female,clasp,male female,9
12,male,clasping,female,clasp,male female,9
13,male,clasping,female,clasp,male female,9
14,male,clasps,female,clasp,male female,9
15,male,clasping,female,clasp,male female,9
16,male,clasps,female,clasp,male female,9
17,male,clasps,female,clasp,male female,9
18,male,clasps,female,clasp,male female,9
19,male,clasps,female,clasp,male female,9
20,bases,clasping,stem,clasp,bases stem,7
21,bases,clasping,stem,clasp,bases stem,7
22,bases,clasping,stem,clasp,bases stem,7
23,bases,clasping,stem,clasp,bases stem,7
24,bases,clasp,stem,clasp,bases stem,7
25,bases,clasp,stem,clasp,bases stem,7
26,bases,clasping,stem,clasp,bases stem,7
27,ones,clasp,stem,clasp,ones stem,4
28,ones,clasping,stem,clasp,ones stem,4
29,ones,clasping,stem,clasp,ones stem,4
30,ones,clasping,stem,clasp,ones stem,4
31,attacker,clasps,hands,clasp,attacker hands,2
32,one,clasps,hands,clasp,one hands,2
33,pairs,clasp,stem,clasp,pairs stem,2
34,hands,clasped,rosary,clasp,hands rosary,2
35,leaf,clasps,base,clasp,leaf base,2
36,one,clasps,hands,clasp,one hands,2
37,leaf,clasping,base,clasp,leaf base,2
38,girls,clasp,hands,clasp,girls hands,2
39,pairs,clasping,stem,clasp,pairs stem,2
40,base,clasps,stem,clasp,base stem,2
41,girls,clasp,hands,clasp,girls hands,2
42,leaves,clasping,stems,clasp,leaves stems,2
43,figure,clasps,beard,clasp,figure beard,2
44,figure,clasped,hands,clasp,figure hands,2
45,hands,clasped,rosary,clasp,hands rosary,2
46,figure,clasped,hands,clasp,figure hands,2
47,attacker,clasps,hands,clasp,attacker hands,2
48,player,clasps,hands,clasp,player hands,2
49,leaves,clasping,stems,clasp,leaves stems,2
50,player,clasps,hands,clasp,player hands,2
51,base,clasping,stem,clasp,base stem,2
52,figure,clasps,beard,clasp,figure beard,2
53,hand,clasping,closure,clasp,hand closure,1
54,roots,clasp,tree,clasp,roots tree,1
55,acroteria,clasping,opening,clasp,acroteria opening,1
56,males,clasp,half,clasp,males half,1
57,jewels,clasp,zone,clasp,jewels zone,1
58,person,clasped,palms,clasp,person palms,1
59,hand,clasping,foot,clasp,hand foot,1
60,hand,clasps,chair,clasp,hand chair,1
61,tips,clasping,ovary,clasp,tips ovary,1
