,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,team,missed,playoffs,miss,team playoffs,341
1,team,missed,playoffs,miss,team playoffs,341
2,team,missed,playoffs,miss,team playoffs,341
3,team,missed,playoffs,miss,team playoffs,341
4,team,missed,playoffs,miss,team playoffs,341
5,team,missed,playoffs,miss,team playoffs,341
6,team,missed,playoffs,miss,team playoffs,341
7,team,missed,playoffs,miss,team playoffs,341
8,team,missed,playoffs,miss,team playoffs,341
9,team,missed,playoffs,miss,team playoffs,341
10,team,missed,playoffs,miss,team playoffs,341
11,team,missed,playoffs,miss,team playoffs,341
12,team,missed,playoffs,miss,team playoffs,341
13,team,missing,playoffs,miss,team playoffs,341
14,team,missed,playoffs,miss,team playoffs,341
15,team,missed,playoffs,miss,team playoffs,341
16,team,missed,playoffs,miss,team playoffs,341
17,team,missed,playoffs,miss,team playoffs,341
18,team,missed,playoffs,miss,team playoffs,341
19,team,missed,playoffs,miss,team playoffs,341
20,team,missed,playoffs,miss,team playoffs,341
21,team,missed,playoffs,miss,team playoffs,341
22,team,missed,playoffs,miss,team playoffs,341
23,team,missed,playoffs,miss,team playoffs,341
24,team,missed,playoffs,miss,team playoffs,341
25,team,missed,playoffs,miss,team playoffs,341
26,team,missed,playoffs,miss,team playoffs,341
27,team,missed,playoffs,miss,team playoffs,341
28,team,missed,playoffs,miss,team playoffs,341
29,team,missed,playoffs,miss,team playoffs,341
30,team,missing,playoffs,miss,team playoffs,341
31,team,miss,playoffs,miss,team playoffs,341
32,team,missed,playoffs,miss,team playoffs,341
33,team,missed,playoffs,miss,team playoffs,341
34,team,missed,playoffs,miss,team playoffs,341
35,team,missed,playoffs,miss,team playoffs,341
36,team,missed,playoffs,miss,team playoffs,341
37,team,missed,playoffs,miss,team playoffs,341
38,team,missed,playoffs,miss,team playoffs,341
39,team,missed,playoffs,miss,team playoffs,341
40,team,missing,playoffs,miss,team playoffs,341
41,team,missed,playoffs,miss,team playoffs,341
42,team,missed,playoffs,miss,team playoffs,341
43,team,missed,playoffs,miss,team playoffs,341
44,team,missed,playoffs,miss,team playoffs,341
45,team,missed,playoffs,miss,team playoffs,341
46,team,missed,playoffs,miss,team playoffs,341
47,team,missed,playoffs,miss,team playoffs,341
48,team,missed,playoffs,miss,team playoffs,341
49,team,missed,playoffs,miss,team playoffs,341
50,team,missed,playoffs,miss,team playoffs,341
51,team,missed,playoffs,miss,team playoffs,341
52,team,missing,playoffs,miss,team playoffs,341
53,team,missed,playoffs,miss,team playoffs,341
54,team,missed,playoffs,miss,team playoffs,341
55,team,missed,playoffs,miss,team playoffs,341
56,team,missed,playoffs,miss,team playoffs,341
57,team,missed,playoffs,miss,team playoffs,341
58,team,missed,playoffs,miss,team playoffs,341
59,team,miss,playoffs,miss,team playoffs,341
60,team,missed,playoffs,miss,team playoffs,341
61,team,missed,playoffs,miss,team playoffs,341
62,team,missed,playoffs,miss,team playoffs,341
63,team,missed,playoffs,miss,team playoffs,341
64,team,missing,playoffs,miss,team playoffs,341
65,team,missed,playoffs,miss,team playoffs,341
66,team,missed,playoffs,miss,team playoffs,341
67,team,missed,playoffs,miss,team playoffs,341
68,team,missed,playoffs,miss,team playoffs,341
69,team,missed,playoffs,miss,team playoffs,341
70,team,missed,playoffs,miss,team playoffs,341
71,team,missed,playoffs,miss,team playoffs,341
72,team,missed,playoffs,miss,team playoffs,341
73,team,missed,playoffs,miss,team playoffs,341
74,team,missed,playoffs,miss,team playoffs,341
75,team,missed,playoffs,miss,team playoffs,341
76,team,missing,playoffs,miss,team playoffs,341
77,team,missed,playoffs,miss,team playoffs,341
78,team,missed,playoffs,miss,team playoffs,341
79,team,missed,playoffs,miss,team playoffs,341
80,team,missed,playoffs,miss,team playoffs,341
81,team,missed,playoffs,miss,team playoffs,341
82,team,missed,playoffs,miss,team playoffs,341
83,team,missing,playoffs,miss,team playoffs,341
84,team,missed,playoffs,miss,team playoffs,341
85,team,missed,playoffs,miss,team playoffs,341
86,team,missed,playoffs,miss,team playoffs,341
87,team,missed,playoffs,miss,team playoffs,341
88,team,missed,playoffs,miss,team playoffs,341
89,team,missed,playoffs,miss,team playoffs,341
90,team,missed,playoffs,miss,team playoffs,341
91,team,missed,playoffs,miss,team playoffs,341
92,team,missed,playoffs,miss,team playoffs,341
93,team,missed,playoffs,miss,team playoffs,341
94,team,missed,playoffs,miss,team playoffs,341
95,team,missed,playoffs,miss,team playoffs,341
96,team,missed,playoffs,miss,team playoffs,341
97,team,missed,playoffs,miss,team playoffs,341
98,team,missed,playoffs,miss,team playoffs,341
99,team,missed,playoffs,miss,team playoffs,341
100,team,missed,playoffs,miss,team playoffs,341
101,team,missing,playoffs,miss,team playoffs,341
102,team,missed,playoffs,miss,team playoffs,341
103,team,missed,playoffs,miss,team playoffs,341
104,team,missing,playoffs,miss,team playoffs,341
105,team,missing,playoffs,miss,team playoffs,341
106,team,missed,playoffs,miss,team playoffs,341
107,team,missed,playoffs,miss,team playoffs,341
108,team,missed,playoffs,miss,team playoffs,341
109,team,missed,playoffs,miss,team playoffs,341
110,team,missed,playoffs,miss,team playoffs,341
111,team,missed,playoffs,miss,team playoffs,341
112,team,missed,playoffs,miss,team playoffs,341
113,team,missed,playoffs,miss,team playoffs,341
114,team,missed,playoffs,miss,team playoffs,341
115,team,missed,playoffs,miss,team playoffs,341
116,team,missing,playoffs,miss,team playoffs,341
117,team,missed,playoffs,miss,team playoffs,341
118,team,missed,playoffs,miss,team playoffs,341
119,team,missed,playoffs,miss,team playoffs,341
120,team,missed,playoffs,miss,team playoffs,341
121,team,missed,playoffs,miss,team playoffs,341
122,team,missing,playoffs,miss,team playoffs,341
123,team,missed,playoffs,miss,team playoffs,341
124,team,missed,playoffs,miss,team playoffs,341
125,team,missed,playoffs,miss,team playoffs,341
