,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mob,dragged,body,drag,mob body,6
1,mob,dragged,body,drag,mob body,6
2,mob,dragged,body,drag,mob body,6
3,mob,dragged,body,drag,mob body,6
4,mob,dragged,body,drag,mob body,6
5,mob,dragged,body,drag,mob body,6
6,man,dragged,woman,drag,man woman,5
7,man,drag,woman,drag,man woman,5
8,man,dragged,woman,drag,man woman,5
9,man,drags,woman,drag,man woman,5
10,man,drags,woman,drag,man woman,5
11,archer,dragged,girl,drag,archer girl,4
12,man,drags,pianos,drag,man pianos,4
13,police,dragged,body,drag,police body,4
14,archer,dragged,girl,drag,archer girl,4
15,police,dragged,body,drag,police body,4
16,archer,dragged,girl,drag,archer girl,4
17,police,dragged,body,drag,police body,4
18,men,drag,body,drag,men body,4
19,man,drags,pianos,drag,man pianos,4
20,police,dragged,body,drag,police body,4
21,archer,dragged,girl,drag,archer girl,4
22,man,drags,pianos,drag,man pianos,4
23,man,drags,pianos,drag,man pianos,4
24,men,dragged,body,drag,men body,4
25,men,drag,body,drag,men body,4
26,men,dragged,body,drag,men body,4
27,ship,dragged,anchor,drag,ship anchor,3
28,half,drags,little,drag,half little,3
29,ship,dragged,anchor,drag,ship anchor,3
30,ships,dragged,anchors,drag,ships anchors,3
31,user,drags,app,drag,user app,3
32,trees,dragged,oxen,drag,trees oxen,3
33,mob,dragged,corpse,drag,mob corpse,3
34,ship,dragged,anchors,drag,ship anchors,3
35,government,dragged,feet,drag,government feet,3
36,user,drags,app,drag,user app,3
37,ship,dragged,anchors,drag,ship anchors,3
38,ship,dragged,anchors,drag,ship anchors,3
39,ship,dragged,anchor,drag,ship anchor,3
40,half,drags,little,drag,half little,3
41,user,drags,app,drag,user app,3
42,destroyer,dragged,moorings,drag,destroyer moorings,3
43,destroyer,dragged,moorings,drag,destroyer moorings,3
44,mob,dragged,corpse,drag,mob corpse,3
45,half,dragged,little,drag,half little,3
46,ships,dragged,anchors,drag,ships anchors,3
47,government,dragged,feet,drag,government feet,3
48,trees,dragged,oxen,drag,trees oxen,3
49,mob,dragged,corpse,drag,mob corpse,3
50,ships,dragged,anchors,drag,ships anchors,3
51,trees,dragged,oxen,drag,trees oxen,3
52,destroyer,dragged,moorings,drag,destroyer moorings,3
53,government,dragged,feet,drag,government feet,3
54,mules,dragged,branches,drag,mules branches,2
55,train,dragged,car,drag,train car,2
56,body,dragged,officers,drag,body officers,2
57,film,drags,bit,drag,film bit,2
58,car,dragged,body,drag,car body,2
59,trawler,dragged,chest,drag,trawler chest,2
60,user,drags,character,drag,user character,2
61,orca,dragged,trainer,drag,orca trainer,2
62,mother,drags,daughter,drag,mother daughter,2
63,train,dragged,car,drag,train car,2
64,difficulty,dragged,work,drag,difficulty work,2
65,horses,dragged,carriage,drag,horses carriage,2
66,body,dragged,officers,drag,body officers,2
67,orca,dragged,trainer,drag,orca trainer,2
68,train,dragged,body,drag,train body,2
69,downdraft,drags,mesocyclone,drag,downdraft mesocyclone,2
70,islanders,dragging,body,drag,islanders body,2
71,mob,dragged,man,drag,mob man,2
72,downdraft,drags,mesocyclone,drag,downdraft mesocyclone,2
73,run,dragged,club,drag,run club,2
74,mules,dragged,chain,drag,mules chain,2
75,user,dragged,cursor,drag,user cursor,2
76,mob,drag,man,drag,mob man,2
77,troubles,dragged,value,drag,troubles value,2
78,user,drags,character,drag,user character,2
79,train,dragged,body,drag,train body,2
80,police,dragging,protesters,drag,police protesters,2
81,difficulty,dragged,work,drag,difficulty work,2
82,car,drag,body,drag,car body,2
83,executioner,drag,victim,drag,executioner victim,2
84,police,dragging,protesters,drag,police protesters,2
85,player,drags,stylus,drag,player stylus,2
86,player,dragged,ball,drag,player ball,2
87,killer,drags,body,drag,killer body,2
88,mules,dragging,chain,drag,mules chain,2
89,oxen,dragged,afanc,drag,oxen afanc,2
90,tides,dragged,ship,drag,tides ship,2
91,foils,dragged,lot,drag,foils lot,2
92,executioner,drag,victim,drag,executioner victim,2
93,killer,drags,body,drag,killer body,2
94,people,dragged,body,drag,people body,2
95,player,drags,mouse,drag,player mouse,2
96,islanders,dragging,body,drag,islanders body,2
97,tides,dragged,ship,drag,tides ship,2
98,half,drags,lot,drag,half lot,2
99,diseases,drag,health,drag,diseases health,2
100,men,dragged,triremes,drag,men triremes,2
101,diseases,drag,health,drag,diseases health,2
102,crowd,dragged,bodies,drag,crowd bodies,2
103,man,drags,body,drag,man body,2
104,mules,dragged,logs,drag,mules logs,2
105,mother,dragged,daughter,drag,mother daughter,2
106,oxen,drag,afanc,drag,oxen afanc,2
107,mules,dragged,logs,drag,mules logs,2
108,run,dragged,club,drag,run club,2
109,man,dragging,body,drag,man body,2
110,gunmen,dragged,group,drag,gunmen group,2
111,sailors,dragged,guns,drag,sailors guns,2
112,film,drags,bit,drag,film bit,2
113,user,drags,cursor,drag,user cursor,2
114,man,drags,man,drag,man man,2
115,player,drags,ball,drag,player ball,2
116,production,drags,song,drag,production song,2
117,production,drags,song,drag,production song,2
118,gunmen,dragged,group,drag,gunmen group,2
119,trawler,dragged,chest,drag,trawler chest,2
120,foils,dragged,lot,drag,foils lot,2
121,horses,dragged,carriage,drag,horses carriage,2
122,troubles,dragged,value,drag,troubles value,2
123,player,drags,stylus,drag,player stylus,2
124,crowd,dragged,bodies,drag,crowd bodies,2
125,half,drags,lot,drag,half lot,2
126,men,drag,triremes,drag,men triremes,2
127,man,dragged,man,drag,man man,2
128,people,dragged,body,drag,people body,2
129,player,drags,mouse,drag,player mouse,2
130,sailors,dragged,guns,drag,sailors guns,2
131,storm,dragged,structure,drag,storm structure,2
132,storm,dragged,structure,drag,storm structure,2
133,mules,dragged,branches,drag,mules branches,2
134,protesters,dragged,arms,drag,protesters arms,1
135,police,dragged,people,drag,police people,1
136,man,dragged,unconscious,drag,man unconscious,1
137,flow,drags,material,drag,flow material,1
138,case,dragged,right,drag,case right,1
139,opposition,drags,country,drag,opposition country,1
140,participant,drags,handle,drag,participant handle,1
141,character,dragged,flight,drag,character flight,1
142,police,dragged,feet,drag,police feet,1
143,widows,drag,name,drag,widows name,1
144,living,dragged,husband,drag,living husband,1
145,people,dragged,belongings,drag,people belongings,1
146,soldiers,dragged,husband,drag,soldiers husband,1
147,rehearsal,dragged,way,drag,rehearsal way,1
148,engine,dragged,carriages,drag,engine carriages,1
149,work,dragged,compiler,drag,work compiler,1
150,events,drag,one,drag,events one,1
151,regions,dragged,average,drag,regions average,1
152,dog,dragged,snake,drag,dog snake,1
153,portion,dragging,editor,drag,portion editor,1
154,subplot,dragged,moments,drag,subplot moments,1
155,stealth,drag,experience,drag,stealth experience,1
156,soldiers,dragged,victims,drag,soldiers victims,1
157,bodies,dragged,individual,drag,bodies individual,1
158,movement,dragged,farms,drag,movement farms,1
159,men,drag,stones,drag,men stones,1
160,insects,drag,prey,drag,insects prey,1
161,dispute,dragged,acts,drag,dispute acts,1
162,foot,dragged,inches,drag,foot inches,1
163,boredom,drags,friends,drag,boredom friends,1
164,thugs,dragged,people,drag,thugs people,1
165,segments,dragged,narrative,drag,segments narrative,1
166,operator,drags,cultivator,drag,operator cultivator,1
167,weight,dragged,skirt,drag,weight skirt,1
168,home,dragged,yards,drag,home yards,1
169,film,drags,climax,drag,film climax,1
170,researcher,drags,cloth,drag,researcher cloth,1
171,murder,dragged,bank,drag,murder bank,1
172,police,dragged,assassin,drag,police assassin,1
173,album,drags,course,drag,album course,1
174,people,drag,issues,drag,people issues,1
175,cat,drags,mouse,drag,cat mouse,1
176,musician,drags,bow,drag,musician bow,1
177,pirate,drags,mermaid,drag,pirate mermaid,1
178,versions,dragged,quality,drag,versions quality,1
179,user,dragged,photo,drag,user photo,1
180,sledges,dragged,bodies,drag,sledges bodies,1
181,siege,dragged,length,drag,siege length,1
182,marine,dragged,throat,drag,marine throat,1
183,weight,dragged,targets,drag,weight targets,1
184,copulation,drag,male,drag,copulation male,1
185,police,dragged,teachers,drag,police teachers,1
186,crews,drag,logs,drag,crews logs,1
187,album,drags,impact,drag,album impact,1
188,players,drag,notes,drag,players notes,1
189,oxen,dragged,plough,drag,oxen plough,1
190,zombie,drags,lawbreaker,drag,zombie lawbreaker,1
191,protagonist,drags,devils,drag,protagonist devils,1
192,siege,dragged,siege,drag,siege siege,1
193,footage,dragged,tractors,drag,footage tractors,1
194,user,drags,tiles,drag,user tiles,1
195,vehicle,dragged,train,drag,vehicle train,1
196,attack,dragged,something,drag,attack something,1
197,person,dragging,cloth,drag,person cloth,1
198,errors,dragged,candidates,drag,errors candidates,1
199,father,dragged,son,drag,father son,1
200,mule,dragged,mother,drag,mule mother,1
201,war,dragged,advantage,drag,war advantage,1
202,bankruptcy,dragged,businesses,drag,bankruptcy businesses,1
203,soldiers,dragged,girls,drag,soldiers girls,1
204,assistant,dragged,ball,drag,assistant ball,1
205,hand,drag,one,drag,hand one,1
206,session,dragged,package,drag,session package,1
207,hellhound,dragged,soul,drag,hellhound soul,1
208,cable,drags,internet,drag,cable internet,1
209,militants,dragged,civilians,drag,militants civilians,1
210,beetle,drags,victim,drag,beetle victim,1
211,soul,drag,soul,drag,soul soul,1
212,case,dragged,degree,drag,case degree,1
213,attack,dragged,males,drag,attack males,1
214,men,drag,boat,drag,men boat,1
215,mortals,dragged,forces,drag,mortals forces,1
216,soldiers,dragged,eunuch,drag,soldiers eunuch,1
217,husband,drags,wife,drag,husband wife,1
218,wave,dragged,engine,drag,wave engine,1
