,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,sprayed,gas,spray,police gas,5
1,police,sprayed,gas,spray,police gas,5
2,police,sprayed,gas,spray,police gas,5
3,police,sprayed,gas,spray,police gas,5
4,police,spraying,gas,spray,police gas,5
5,aerosol,spray,propellant,spray,aerosol propellant,4
6,aerosol,spray,propellant,spray,aerosol propellant,4
7,aerosol,spray,propellant,spray,aerosol propellant,4
8,aerosol,spray,propellant,spray,aerosol propellant,4
9,thousands,sprayed,graffiti,spray,thousands graffiti,3
10,thousands,sprayed,graffiti,spray,thousands graffiti,3
11,farmers,spray,insecticides,spray,farmers insecticides,3
12,fountain,sprays,water,spray,fountain water,3
13,protesters,sprayed,graffiti,spray,protesters graffiti,3
14,protesters,sprayed,graffiti,spray,protesters graffiti,3
15,vandals,sprayed,graffiti,spray,vandals graffiti,3
16,police,sprayed,crowd,spray,police crowd,3
17,milk,sprayed,feet,spray,milk feet,3
18,thousands,sprayed,graffiti,spray,thousands graffiti,3
19,farmers,spray,insecticides,spray,farmers insecticides,3
20,farmers,sprayed,insecticides,spray,farmers insecticides,3
21,milk,sprayed,feet,spray,milk feet,3
22,protesters,sprayed,graffiti,spray,protesters graffiti,3
23,fountain,sprays,water,spray,fountain water,3
24,vandals,sprayed,graffiti,spray,vandals graffiti,3
25,milk,sprayed,feet,spray,milk feet,3
26,vandals,sprayed,graffiti,spray,vandals graffiti,3
27,fountain,sprayed,water,spray,fountain water,3
28,police,sprayed,crowd,spray,police crowd,3
29,police,sprayed,crowd,spray,police crowd,3
30,police,sprayed,mosque,spray,police mosque,2
31,men,sprayed,car,spray,men car,2
32,video,spray,face,spray,video face,2
33,attackers,sprayed,graffiti,spray,attackers graffiti,2
34,arms,spray,lily,spray,arms lily,2
35,gunmen,sprayed,gunfire,spray,gunmen gunfire,2
36,men,sprayed,vehicle,spray,men vehicle,2
37,men,sprayed,vehicle,spray,men vehicle,2
38,scientists,sprayed,prisoners,spray,scientists prisoners,2
39,trucks,sprayed,water,spray,trucks water,2
40,settlers,sprayed,graffiti,spray,settlers graffiti,2
41,protesters,sprayed,gendarmes,spray,protesters gendarmes,2
42,video,spray,face,spray,video face,2
43,group,sprayed,abbreviation,spray,group abbreviation,2
44,bacterium,sprayed,scientists,spray,bacterium scientists,2
45,police,sprayed,mosque,spray,police mosque,2
46,protesters,sprayed,gendarmes,spray,protesters gendarmes,2
47,group,sprayed,abbreviation,spray,group abbreviation,2
48,riders,spray,champagne,spray,riders champagne,2
49,trio,sprays,champagne,spray,trio champagne,2
50,arms,spray,lily,spray,arms lily,2
51,pump,sprayed,pounds,spray,pump pounds,2
52,men,sprayed,car,spray,men car,2
53,trio,sprays,champagne,spray,trio champagne,2
54,trucks,sprayed,water,spray,trucks water,2
55,pump,sprayed,pounds,spray,pump pounds,2
56,riders,spray,champagne,spray,riders champagne,2
57,settlers,spraying,graffiti,spray,settlers graffiti,2
58,bacterium,sprayed,scientists,spray,bacterium scientists,2
59,fiberglass,spray,process,spray,fiberglass process,2
60,gunmen,sprayed,gunfire,spray,gunmen gunfire,2
61,fiberglass,spray,process,spray,fiberglass process,2
62,attackers,sprayed,graffiti,spray,attackers graffiti,2
63,scientists,sprayed,prisoners,spray,scientists prisoners,2
64,police,sprayed,journalists,spray,police journalists,1
65,applicants,spray,tree,spray,applicants tree,1
66,sprayers,spray,amounts,spray,sprayers amounts,1
67,assistants,sprayed,solution,spray,assistants solution,1
68,systems,spray,fuel,spray,systems fuel,1
69,people,spray,hoses,spray,people hoses,1
70,clothing,spray,top,spray,clothing top,1
71,gunshot,sprays,brains,spray,gunshot brains,1
72,team,sprayed,water,spray,team water,1
73,sprays,sprayed,poison,spray,sprays poison,1
74,man,sprays,ink,spray,man ink,1
75,flamethrowers,sprayed,buildings,spray,flamethrowers buildings,1
76,travel,spray,tank,spray,travel tank,1
77,activists,sprayed,graffiti,spray,activists graffiti,1
78,dryers,spray,nozzle,spray,dryers nozzle,1
79,examples,spray,guns,spray,examples guns,1
80,police,sprayed,protestors,spray,police protestors,1
81,lions,spray,jets,spray,lions jets,1
82,people,spray,perfume,spray,people perfume,1
83,daughter,sprayed,water,spray,daughter water,1
84,witch,sprayed,ointment,spray,witch ointment,1
85,agent,sprayed,face,spray,agent face,1
86,urine,spray,insides,spray,urine insides,1
87,explosion,sprayed,gasoline,spray,explosion gasoline,1
88,holes,sprayed,room,spray,holes room,1
89,effectiveness,spray,nozzles,spray,effectiveness nozzles,1
90,investigator,sprays,solution,spray,investigator solution,1
91,teammates,sprayed,water,spray,teammates water,1
92,militants,sprayed,gunfire,spray,militants gunfire,1
93,helicopters,sprayed,blaze,spray,helicopters blaze,1
94,members,spray,water,spray,members water,1
95,players,spray,bullets,spray,players bullets,1
96,statue,spray,paint,spray,statue paint,1
97,group,spray,zombies,spray,group zombies,1
98,planes,sprayed,pesticide,spray,planes pesticide,1
99,warhead,sprays,splinters,spray,warhead splinters,1
100,gunmen,sprayed,crowd,spray,gunmen crowd,1
101,work,spray,technology,spray,work technology,1
102,vandal,sprayed,words,spray,vandal words,1
103,explosion,sprayed,shrapnel,spray,explosion shrapnel,1
104,scorpions,spray,toxin,spray,scorpions toxin,1
105,wort,spraying,mash,spray,wort mash,1
106,artist,sprayed,mixtures,spray,artist mixtures,1
107,residents,spray,graffiti,spray,residents graffiti,1
