,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,aircraft,circled,airport,circle,aircraft airport,6
1,aircraft,circled,airport,circle,aircraft airport,6
2,aircraft,circled,airport,circle,aircraft airport,6
3,aircraft,circled,airport,circle,aircraft airport,6
4,aircraft,circled,airport,circle,aircraft airport,6
5,aircraft,circled,airport,circle,aircraft airport,6
6,bomber,circled,field,circle,bomber field,2
7,band,circling,globe,circle,band globe,2
8,cabs,circle,cities,circle,cabs cities,2
9,mob,circled,motel,circle,mob motel,2
10,fighters,circling,ring,circle,fighters ring,2
11,atmosphere,circles,planet,circle,atmosphere planet,2
12,teamsters,circled,wagons,circle,teamsters wagons,2
13,enemy,circled,city,circle,enemy city,2
14,band,circling,globe,circle,band globe,2
15,vessels,circle,ship,circle,vessels ship,2
16,route,circled,fringes,circle,route fringes,2
17,riders,circle,track,circle,riders track,2
18,male,circles,female,circle,male female,2
19,queens,circling,one,circle,queens one,2
20,atmosphere,circles,planet,circle,atmosphere planet,2
21,riders,circle,track,circle,riders track,2
22,steamboat,circled,lake,circle,steamboat lake,2
23,mob,circled,motel,circle,mob motel,2
24,cabs,circle,cities,circle,cabs cities,2
25,planes,circled,spot,circle,planes spot,2
26,photos,circled,globe,circle,photos globe,2
27,vessels,circle,ship,circle,vessels ship,2
28,player,circle,enemies,circle,player enemies,2
29,enemy,circled,city,circle,enemy city,2
30,road,circles,island,circle,road island,2
31,cars,circle,track,circle,cars track,2
32,teamsters,circled,wagons,circle,teamsters wagons,2
33,helicopters,circle,area,circle,helicopters area,2
34,steamboat,circled,lake,circle,steamboat lake,2
35,object,circles,origin,circle,object origin,2
36,object,circles,origin,circle,object origin,2
37,photos,circled,globe,circle,photos globe,2
38,web,circled,globe,circle,web globe,2
39,route,circled,fringes,circle,route fringes,2
40,bomber,circled,field,circle,bomber field,2
41,player,circling,enemies,circle,player enemies,2
42,cars,circled,track,circle,cars track,2
43,two,circle,one,circle,two one,2
44,earth,circles,sun,circle,earth sun,2
45,web,circled,globe,circle,web globe,2
46,male,circles,female,circle,male female,2
47,earth,circles,sun,circle,earth sun,2
48,fighters,circle,ring,circle,fighters ring,2
49,two,circled,one,circle,two one,2
50,harriers,circle,area,circle,harriers area,2
51,road,circles,island,circle,road island,2
52,trail,circles,mountain,circle,trail mountain,2
53,planes,circled,spot,circle,planes spot,2
54,harriers,circle,area,circle,harriers area,2
55,queens,circling,one,circle,queens one,2
56,helicopters,circled,area,circle,helicopters area,2
57,trail,circles,mountain,circle,trail mountain,2
58,planes,circled,bundles,circle,planes bundles,1
59,ball,circling,bed,circle,ball bed,1
60,all,circle,camera,circle,all camera,1
61,eye,circles,brim,circle,eye brim,1
62,fleet,circled,coast,circle,fleet coast,1
63,helicopters,circled,battlefield,circle,helicopters battlefield,1
64,bubbles,circling,body,circle,bubbles body,1
65,canopy,circles,stadium,circle,canopy stadium,1
66,men,circled,village,circle,men village,1
67,length,circling,land,circle,length land,1
68,wolf,circles,infant,circle,wolf infant,1
69,route,circled,edges,circle,route edges,1
70,channel,circled,channel,circle,channel channel,1
71,fingers,circled,completeness,circle,fingers completeness,1
72,path,circles,structure,circle,path structure,1
73,lane,circled,rotunda,circle,lane rotunda,1
74,dog,circled,dog,circle,dog dog,1
75,railing,circled,altar,circle,railing altar,1
76,music,circle,globe,circle,music globe,1
77,baseships,circle,rebels,circle,baseships rebels,1
78,attractions,circled,area,circle,attractions area,1
79,winds,circle,planet,circle,winds planet,1
80,rangers,circle,headquarters,circle,rangers headquarters,1
81,aircraft,circled,harbour,circle,aircraft harbour,1
82,towers,circling,fortress,circle,towers fortress,1
83,people,circling,body,circle,people body,1
84,name,circling,coin,circle,name coin,1
85,plane,circled,area,circle,plane area,1
86,planes,circled,city,circle,planes city,1
87,features,circles,torso,circle,features torso,1
88,stripes,circling,bodies,circle,stripes bodies,1
89,teams,circled,oval,circle,teams oval,1
90,processions,circle,hill,circle,processions hill,1
91,springs,circle,blanket,circle,springs blanket,1
92,ride,circles,area,circle,ride area,1
93,corridors,circle,garden,circle,corridors garden,1
94,mice,circle,opponent,circle,mice opponent,1
95,balloon,circled,continent,circle,balloon continent,1
96,competitor,circles,arms,circle,competitor arms,1
97,camera,circles,box,circle,camera box,1
