,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,female,smells,male,smell,female male,5
1,female,smells,male,smell,female male,5
2,female,smells,male,smell,female male,5
3,female,smells,male,smell,female male,5
4,female,smells,male,smell,female male,5
5,officer,smelled,alcohol,smell,officer alcohol,3
6,officer,smelled,alcohol,smell,officer alcohol,3
7,officer,smelled,alcohol,smell,officer alcohol,3
8,bands,smell,roses,smell,bands roses,2
9,neighbor,smelled,smoke,smell,neighbor smoke,2
10,neighbor,smelled,smoke,smell,neighbor smoke,2
11,male,smells,genitalia,smell,male genitalia,2
12,male,smells,urine,smell,male urine,2
13,bands,smell,roses,smell,bands roses,2
14,male,smells,genitalia,smell,male genitalia,2
15,players,smelled,alcohol,smell,players alcohol,2
16,police,smelled,marijuana,smell,police marijuana,2
17,male,smells,urine,smell,male urine,2
18,players,smelled,alcohol,smell,players alcohol,2
19,police,smelled,marijuana,smell,police marijuana,2
20,poppers,smell,fruity,smell,poppers fruity,1
21,passengers,smelled,odor,smell,passengers odor,1
22,one,smells,food,smell,one food,1
23,players,smell,fragrance,smell,players fragrance,1
24,male,smell,scent,smell,male scent,1
25,location,smelled,staff,smell,location staff,1
26,neighbors,smelled,odor,smell,neighbors odor,1
27,fingers,smell,incense,smell,fingers incense,1
28,flowers,smell,smell,smell,flowers smell,1
29,basidiomycete,smells,faint,smell,basidiomycete faint,1
30,flowers,smell,flies,smell,flowers flies,1
31,cat,smells,flowers,smell,cat flowers,1
32,cook,smells,meal,smell,cook meal,1
33,soup,smells,horseshoe,smell,soup horseshoe,1
34,horse,smelled,something,smell,horse something,1
35,miller,smells,spores,smell,miller spores,1
36,museum,smell,fragrances,smell,museum fragrances,1
37,sweaty,smells,appreciation,smell,sweaty appreciation,1
38,lobby,smelled,clean,smell,lobby clean,1
39,people,smell,odors,smell,people odors,1
40,designer,smell,kind,smell,designer kind,1
41,censor,smelled,rat,smell,censor rat,1
42,narrator,smells,smell,smell,narrator smell,1
43,process,smelling,androgen,smell,process androgen,1
44,leaders,smell,coffee,smell,leaders coffee,1
45,something,smells,goooood,smell,something goooood,1
46,odor,smells,scales,smell,odor scales,1
47,visitors,smell,oil,smell,visitors oil,1
48,remake,smells,machines,smell,remake machines,1
49,one,smelled,marijuana,smell,one marijuana,1
50,design,smells,abstraction,smell,design abstraction,1
51,deputy,smelled,odor,smell,deputy odor,1
52,air,smells,earth,smell,air earth,1
53,owner,smelled,gas,smell,owner gas,1
54,dust,smelled,astronauts,smell,dust astronauts,1
55,humans,smell,food,smell,humans food,1
56,husband,smelled,person,smell,husband person,1
57,food,smell,wind,smell,food wind,1
58,umpire,smell,shoe,smell,umpire shoe,1
59,cutlet,smelled,children,smell,cutlet children,1
60,anybody,smells,rat,smell,anybody rat,1
61,mother,smells,flesh,smell,mother flesh,1
62,body,smelled,pleasant,smell,body pleasant,1
63,deputy,smelled,marijuana,smell,deputy marijuana,1
64,officers,smelled,alcohol,smell,officers alcohol,1
65,lets,smell,jacket,smell,lets jacket,1
66,one,smell,incense,smell,one incense,1
67,member,smells,man,smell,member man,1
68,luggage,smelled,agents,smell,luggage agents,1
69,dog,smelled,decomposition,smell,dog decomposition,1
70,listener,smell,wood,smell,listener wood,1
71,scene,smell,flowers,smell,scene flowers,1
72,group,smell,smoke,smell,group smoke,1
73,retiree,smells,flowers,smell,retiree flowers,1
74,chagan,smelled,softer,smell,chagan softer,1
75,flowers,smell,bees,smell,flowers bees,1
76,gatekeeper,smelling,something,smell,gatekeeper something,1
77,one,smelled,aroma,smell,one aroma,1
78,goldsmith,smelled,something,smell,goldsmith something,1
79,criminals,smelled,gas,smell,criminals gas,1
80,powers,smelled,blood,smell,powers blood,1
81,tenant,smelled,something,smell,tenant something,1
82,company,smelled,smoke,smell,company smoke,1
83,chickens,smell,greasy,smell,chickens greasy,1
84,patient,smells,level,smell,patient level,1
85,women,smelled,shirt,smell,women shirt,1
86,mechanic,smells,something,smell,mechanic something,1
87,smokey,smells,storeroom,smell,smokey storeroom,1
88,nozzle,smelled,scent,smell,nozzle scent,1
89,fruity,smells,like,smell,fruity like,1
90,room,smelled,lines,smell,room lines,1
91,designers,smell,materials,smell,designers materials,1
92,woman,smelled,odor,smell,woman odor,1
93,family,smelled,smoke,smell,family smoke,1
94,molecules,smell,body,smell,molecules body,1
95,cosmonauts,smelled,steel,smell,cosmonauts steel,1
96,individual,smell,object,smell,individual object,1
97,pig,smelled,horrid,smell,pig horrid,1
98,neighbor,smells,gas,smell,neighbor gas,1
99,project,smells,imagination,smell,project imagination,1
100,skunks,smelling,something,smell,skunks something,1
101,stapeliads,smell,flies,smell,stapeliads flies,1
102,member,smells,scent,smell,member scent,1
103,one,smells,isomers,smell,one isomers,1
104,odors,smell,confuses,smell,odors confuses,1
105,fire,smelled,burning,smell,fire burning,1
106,door,smells,breath,smell,door breath,1
107,people,smelled,smoke,smell,people smoke,1
108,marriage,smelled,high,smell,marriage high,1
109,rose,smells,idea,smell,rose idea,1
110,mother,smelling,breath,smell,mother breath,1
111,husband,smells,coffee,smell,husband coffee,1
112,cells,smelled,diapers,smell,cells diapers,1
113,doctor,smells,toothpaste,smell,doctor toothpaste,1
114,hero,smell,roses,smell,hero roses,1
115,father,smelling,wine,smell,father wine,1
116,fruit,smells,seed,smell,fruit seed,1
117,men,smelled,oil,smell,men oil,1
118,brandy,smells,fruity,smell,brandy fruity,1
119,male,smelling,areas,smell,male areas,1
120,humans,smell,chemicals,smell,humans chemicals,1
121,revolutionaries,smelled,blood,smell,revolutionaries blood,1
122,water,smell,issue,smell,water issue,1
123,something,smelling,something,smell,something something,1
124,employee,smelled,smoke,smell,employee smoke,1
125,infantry,smelled,confusion,smell,infantry confusion,1
126,sky,smelled,poem,smell,sky poem,1
127,one,smell,passing,smell,one passing,1
128,dog,smelled,drugs,smell,dog drugs,1
129,paintings,smell,emanating,smell,paintings emanating,1
130,worm,smells,fish,smell,worm fish,1
131,one,smelled,cannabis,smell,one cannabis,1
132,persons,smell,air,smell,persons air,1
133,intensity,smells,vibrations,smell,intensity vibrations,1
134,bureaucrats,smell,rat,smell,bureaucrats rat,1
135,prince,smells,skin,smell,prince skin,1
136,men,smelled,head,smell,men head,1
137,robber,smells,apples,smell,robber apples,1
138,male,smells,female,smell,male female,1
139,sharks,smelling,blood,smell,sharks blood,1
140,bullets,smelled,things,smell,bullets things,1
141,customers,smell,scent,smell,customers scent,1
142,man,smells,perfume,smell,man perfume,1
143,flower,smell,flower,smell,flower flower,1
144,peony,smells,monkey,smell,peony monkey,1
145,cats,smell,prey,smell,cats prey,1
146,locals,smell,cakes,smell,locals cakes,1
147,viewers,smell,piece,smell,viewers piece,1
148,gods,smelled,odour,smell,gods odour,1
149,dog,smelled,scent,smell,dog scent,1
150,soldiers,smelled,scent,smell,soldiers scent,1
151,rams,smell,urine,smell,rams urine,1
152,leaves,smell,taste,smell,leaves taste,1
153,nicotine,smelling,breath,smell,nicotine breath,1
154,phrase,smell,face,smell,phrase face,1
155,neighbors,smelled,smoke,smell,neighbors smoke,1
156,animals,smell,blood,smell,animals blood,1
157,tenant,smelled,gas,smell,tenant gas,1
158,mother,smells,perfume,smell,mother perfume,1
159,lunchbox,smelled,bass,smell,lunchbox bass,1
160,cat,smells,odor,smell,cat odor,1
161,males,smell,genitals,smell,males genitals,1
162,secretions,smell,sneezing,smell,secretions sneezing,1
163,people,smell,vermin,smell,people vermin,1
164,song,smells,little,smell,song little,1
165,officer,smelled,marijuana,smell,officer marijuana,1
166,towels,smelled,hair,smell,towels hair,1
167,officers,smelled,odor,smell,officers odor,1
168,somebody,smelled,money,smell,somebody money,1
