,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,winds,tore,roofs,tear,winds roofs,19
1,winds,tore,roofs,tear,winds roofs,19
2,winds,tore,roofs,tear,winds roofs,19
3,winds,tore,roofs,tear,winds roofs,19
4,winds,tore,roofs,tear,winds roofs,19
5,winds,tore,roofs,tear,winds roofs,19
6,winds,tore,roofs,tear,winds roofs,19
7,winds,tore,roofs,tear,winds roofs,19
8,winds,tore,roofs,tear,winds roofs,19
9,winds,tore,roofs,tear,winds roofs,19
10,winds,tore,roofs,tear,winds roofs,19
11,winds,tore,roofs,tear,winds roofs,19
12,winds,tore,roofs,tear,winds roofs,19
13,winds,tore,roofs,tear,winds roofs,19
14,winds,tore,roofs,tear,winds roofs,19
15,winds,tore,roofs,tear,winds roofs,19
16,winds,tore,roofs,tear,winds roofs,19
17,winds,tore,roofs,tear,winds roofs,19
18,winds,tore,roofs,tear,winds roofs,19
19,tornado,tore,roof,tear,tornado roof,16
20,explosion,tore,hole,tear,explosion hole,16
21,tornado,tore,roof,tear,tornado roof,16
22,explosion,tore,hole,tear,explosion hole,16
23,explosion,tore,hole,tear,explosion hole,16
24,explosion,torn,hole,tear,explosion hole,16
25,explosion,tore,hole,tear,explosion hole,16
26,tornado,tore,roof,tear,tornado roof,16
27,explosion,tore,hole,tear,explosion hole,16
28,tornado,tore,roof,tear,tornado roof,16
29,explosion,tore,hole,tear,explosion hole,16
30,tornado,tore,roof,tear,tornado roof,16
31,tornado,tore,roof,tear,tornado roof,16
32,tornado,tore,roof,tear,tornado roof,16
33,explosion,tore,hole,tear,explosion hole,16
34,explosion,tore,hole,tear,explosion hole,16
35,tornado,tore,roof,tear,tornado roof,16
36,explosion,tore,hole,tear,explosion hole,16
37,explosion,tore,hole,tear,explosion hole,16
38,explosion,tore,hole,tear,explosion hole,16
39,tornado,tore,roof,tear,tornado roof,16
40,tornado,tore,roof,tear,tornado roof,16
41,tornado,tore,roof,tear,tornado roof,16
42,tornado,tore,roof,tear,tornado roof,16
43,explosion,tore,hole,tear,explosion hole,16
44,explosion,tore,hole,tear,explosion hole,16
45,tornado,tore,roof,tear,tornado roof,16
46,tornado,tearing,roof,tear,tornado roof,16
47,explosion,tore,hole,tear,explosion hole,16
48,tornado,tore,roof,tear,tornado roof,16
49,explosion,torn,hole,tear,explosion hole,16
50,tornado,tore,roof,tear,tornado roof,16
51,winds,tore,roof,tear,winds roof,9
52,winds,tore,roof,tear,winds roof,9
53,winds,tore,roof,tear,winds roof,9
54,winds,tore,roof,tear,winds roof,9
55,winds,tore,roof,tear,winds roof,9
56,winds,tore,roof,tear,winds roof,9
57,winds,tore,roof,tear,winds roof,9
58,winds,tore,roof,tear,winds roof,9
59,winds,tore,roof,tear,winds roof,9
60,tornado,tore,roofs,tear,tornado roofs,7
61,tornado,tore,roofs,tear,tornado roofs,7
62,tornado,tearing,roofs,tear,tornado roofs,7
63,tornado,tore,roofs,tear,tornado roofs,7
64,tornado,tore,roofs,tear,tornado roofs,7
65,tornado,tore,roofs,tear,tornado roofs,7
66,tornado,tore,roofs,tear,tornado roofs,7
67,collision,tore,hole,tear,collision hole,6
68,collision,tore,hole,tear,collision hole,6
69,collision,tore,hole,tear,collision hole,6
70,shell,tore,hole,tear,shell hole,6
71,blast,tore,hole,tear,blast hole,6
72,shell,tore,hole,tear,shell hole,6
73,blast,tore,hole,tear,blast hole,6
74,blast,tore,hole,tear,blast hole,6
75,shell,tore,hole,tear,shell hole,6
76,collision,tore,hole,tear,collision hole,6
77,collision,tore,hole,tear,collision hole,6
78,blast,tore,hole,tear,blast hole,6
79,shell,tore,hole,tear,shell hole,6
80,blast,tore,hole,tear,blast hole,6
81,blast,tore,hole,tear,blast hole,6
82,shell,tore,hole,tear,shell hole,6
83,collision,tore,hole,tear,collision hole,6
84,shell,tore,hole,tear,shell hole,6
85,attack,tears,hole,tear,attack hole,5
86,storm,tore,roofs,tear,storm roofs,5
87,protesters,tore,flag,tear,protesters flag,5
88,protesters,tore,statue,tear,protesters statue,5
89,attack,tore,hole,tear,attack hole,5
90,protesters,tore,statue,tear,protesters statue,5
91,storm,tore,roofs,tear,storm roofs,5
92,protesters,tore,statue,tear,protesters statue,5
93,protesters,tore,flag,tear,protesters flag,5
94,protesters,tearing,statue,tear,protesters statue,5
95,protesters,tore,flag,tear,protesters flag,5
96,storm,tore,roofs,tear,storm roofs,5
97,storm,tore,roofs,tear,storm roofs,5
98,protesters,tore,flag,tear,protesters flag,5
99,storm,tore,roofs,tear,storm roofs,5
