,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fleet,landed,troops,land,fleet troops,17
1,fleet,landed,troops,land,fleet troops,17
2,fleet,landed,troops,land,fleet troops,17
3,fleet,landed,troops,land,fleet troops,17
4,fleet,landed,troops,land,fleet troops,17
5,fleet,landed,troops,land,fleet troops,17
6,fleet,landed,troops,land,fleet troops,17
7,fleet,landed,troops,land,fleet troops,17
8,fleet,landed,troops,land,fleet troops,17
9,fleet,landed,troops,land,fleet troops,17
10,fleet,landed,troops,land,fleet troops,17
11,fleet,landed,troops,land,fleet troops,17
12,fleet,landed,troops,land,fleet troops,17
13,fleet,landed,troops,land,fleet troops,17
14,fleet,landed,troops,land,fleet troops,17
15,fleet,landed,troops,land,fleet troops,17
16,fleet,landed,troops,land,fleet troops,17
17,crew,landed,aircraft,land,crew aircraft,14
18,crew,landed,aircraft,land,crew aircraft,14
19,crew,landed,aircraft,land,crew aircraft,14
20,crew,landed,aircraft,land,crew aircraft,14
21,crew,landed,aircraft,land,crew aircraft,14
22,crew,lands,aircraft,land,crew aircraft,14
23,crew,landed,aircraft,land,crew aircraft,14
24,crew,landed,aircraft,land,crew aircraft,14
25,crew,landed,aircraft,land,crew aircraft,14
26,crew,landed,aircraft,land,crew aircraft,14
27,crew,landed,aircraft,land,crew aircraft,14
28,crew,landed,aircraft,land,crew aircraft,14
29,crew,landed,aircraft,land,crew aircraft,14
30,crew,landed,aircraft,land,crew aircraft,14
31,pilot,landed,plane,land,pilot plane,12
32,pilot,landed,plane,land,pilot plane,12
33,pilot,landed,plane,land,pilot plane,12
34,pilot,lands,plane,land,pilot plane,12
35,pilot,landed,plane,land,pilot plane,12
36,pilot,lands,plane,land,pilot plane,12
37,pilot,lands,plane,land,pilot plane,12
38,pilot,lands,plane,land,pilot plane,12
39,pilot,landed,plane,land,pilot plane,12
40,pilot,lands,plane,land,pilot plane,12
41,pilot,landed,plane,land,pilot plane,12
42,pilot,landed,plane,land,pilot plane,12
43,band,landed,deal,land,band deal,9
44,band,landed,deal,land,band deal,9
45,band,landed,deal,land,band deal,9
46,band,landed,deal,land,band deal,9
47,band,landed,deal,land,band deal,9
48,band,landed,deal,land,band deal,9
49,band,landed,deal,land,band deal,9
50,band,landed,deal,land,band deal,9
51,band,landed,deal,land,band deal,9
52,pilot,landed,aircraft,land,pilot aircraft,8
53,forces,landed,troops,land,forces troops,8
54,pilot,landed,aircraft,land,pilot aircraft,8
55,forces,landed,troops,land,forces troops,8
56,forces,landed,troops,land,forces troops,8
57,pilot,landed,aircraft,land,pilot aircraft,8
58,forces,landed,troops,land,forces troops,8
59,forces,landed,troops,land,forces troops,8
60,pilot,landed,aircraft,land,pilot aircraft,8
61,forces,landed,troops,land,forces troops,8
62,pilot,landed,aircraft,land,pilot aircraft,8
63,pilot,land,aircraft,land,pilot aircraft,8
64,forces,landed,troops,land,forces troops,8
65,forces,landed,troops,land,forces troops,8
66,pilot,landed,aircraft,land,pilot aircraft,8
67,pilot,landed,aircraft,land,pilot aircraft,8
68,pilots,landed,aircraft,land,pilots aircraft,7
69,ships,landed,troops,land,ships troops,7
70,ship,landing,troops,land,ship troops,7
71,pilots,land,aircraft,land,pilots aircraft,7
72,ship,landed,troops,land,ship troops,7
73,pilots,landed,aircraft,land,pilots aircraft,7
74,fighters,landing,punches,land,fighters punches,7
75,fighters,landed,punches,land,fighters punches,7
76,ship,landed,troops,land,ship troops,7
77,ship,landed,troops,land,ship troops,7
78,fighters,landing,punches,land,fighters punches,7
79,ships,landed,troops,land,ships troops,7
80,fighters,landed,punches,land,fighters punches,7
81,pilots,landed,aircraft,land,pilots aircraft,7
82,ships,landed,troops,land,ships troops,7
83,pilots,landed,aircraft,land,pilots aircraft,7
84,pilots,landed,aircraft,land,pilots aircraft,7
85,ship,landed,troops,land,ship troops,7
86,ships,landed,troops,land,ships troops,7
87,pilots,landed,aircraft,land,pilots aircraft,7
88,fighters,landed,punches,land,fighters punches,7
89,ships,landed,troops,land,ships troops,7
90,ships,landed,troops,land,ships troops,7
91,fighters,landed,punches,land,fighters punches,7
92,fighters,landed,punches,land,fighters punches,7
93,ships,landed,troops,land,ships troops,7
94,ship,landed,troops,land,ship troops,7
95,ship,landed,troops,land,ship troops,7
96,hit,landed,lead,land,hit lead,6
97,results,landed,spot,land,results spot,6
98,hit,landed,lead,land,hit lead,6
99,hit,landed,lead,land,hit lead,6
100,results,landed,spot,land,results spot,6
101,results,landed,spot,land,results spot,6
102,results,landed,spot,land,results spot,6
103,hit,landed,lead,land,hit lead,6
104,hit,landed,lead,land,hit lead,6
105,forces,landed,control,land,forces control,6
106,results,landed,spot,land,results spot,6
107,results,landed,spot,land,results spot,6
108,forces,landed,control,land,forces control,6
109,forces,landed,control,land,forces control,6
110,hit,landed,lead,land,hit lead,6
111,forces,landed,control,land,forces control,6
112,forces,landed,control,land,forces control,6
113,forces,landed,control,land,forces control,6
114,expedition,landed,troops,land,expedition troops,5
115,transports,landed,force,land,transports force,5
116,expedition,landed,troops,land,expedition troops,5
117,transports,landed,force,land,transports force,5
118,transports,landed,force,land,transports force,5
119,expedition,landed,troops,land,expedition troops,5
120,squadron,landed,troops,land,squadron troops,5
121,transports,landed,force,land,transports force,5
122,expedition,landed,troops,land,expedition troops,5
123,squadron,landed,troops,land,squadron troops,5
124,squadron,landed,troops,land,squadron troops,5
125,squadron,landed,troops,land,squadron troops,5
126,expedition,landed,troops,land,expedition troops,5
127,transports,landed,force,land,transports force,5
128,squadron,landed,troops,land,squadron troops,5
129,success,landing,spot,land,success spot,4
130,audition,landed,role,land,audition role,4
131,force,landed,siege,land,force siege,4
132,ships,landed,force,land,ships force,4
133,aircraft,landed,damage,land,aircraft damage,4
134,experience,landed,job,land,experience job,4
135,success,landed,spot,land,success spot,4
136,pilots,landed,plane,land,pilots plane,4
137,forces,land,forces,land,forces forces,4
138,role,landed,nomination,land,role nomination,4
139,experience,landed,job,land,experience job,4
140,revenues,landed,estates,land,revenues estates,4
141,troops,landed,troops,land,troops troops,4
142,forces,landed,forces,land,forces forces,4
143,ships,landed,force,land,ships force,4
144,success,landed,contract,land,success contract,4
145,force,landed,troops,land,force troops,4
146,success,landed,contract,land,success contract,4
147,regiment,landed,part,land,regiment part,4
148,bomb,landed,policeman,land,bomb policeman,4
149,fleet,landed,soldiers,land,fleet soldiers,4
150,experience,landed,job,land,experience job,4
151,album,landed,chart,land,album chart,4
152,album,landed,chart,land,album chart,4
153,book,landed,spot,land,book spot,4
154,experience,landed,job,land,experience job,4
155,pilots,land,plane,land,pilots plane,4
156,album,landed,chart,land,album chart,4
157,regiment,landed,part,land,regiment part,4
158,band,landed,spot,land,band spot,4
159,success,landed,contract,land,success contract,4
160,transport,landed,troops,land,transport troops,4
161,troops,landed,troops,land,troops troops,4
162,wing,landed,troops,land,wing troops,4
163,wing,landed,troops,land,wing troops,4
164,wing,landed,troops,land,wing troops,4
165,album,landed,spot,land,album spot,4
166,bomb,landed,policeman,land,bomb policeman,4
167,success,landed,contract,land,success contract,4
168,band,landed,spot,land,band spot,4
169,fleet,landed,army,land,fleet army,4
170,force,landed,troops,land,force troops,4
171,force,landed,siege,land,force siege,4
172,regiment,landed,part,land,regiment part,4
173,player,lands,trick,land,player trick,4
174,role,landed,nomination,land,role nomination,4
175,transport,landed,troops,land,transport troops,4
176,aircraft,landed,damage,land,aircraft damage,4
177,regiment,landed,part,land,regiment part,4
178,book,landed,spot,land,book spot,4
179,troops,landed,siege,land,troops siege,4
180,audition,landed,role,land,audition role,4
181,album,landed,spot,land,album spot,4
182,ships,landed,force,land,ships force,4
183,fleet,landed,soldiers,land,fleet soldiers,4
184,troops,landed,siege,land,troops siege,4
185,pilots,land,plane,land,pilots plane,4
186,troops,landed,troops,land,troops troops,4
187,fleet,landed,army,land,fleet army,4
188,book,landed,spot,land,book spot,4
189,revenues,landed,estates,land,revenues estates,4
190,troops,landed,siege,land,troops siege,4
191,success,landed,spot,land,success spot,4
192,band,landed,spot,land,band spot,4
193,audition,landed,role,land,audition role,4
194,ships,landed,force,land,ships force,4
195,forces,landed,forces,land,forces forces,4
196,success,landed,spot,land,success spot,4
197,role,landed,nomination,land,role nomination,4
198,force,landed,troops,land,force troops,4
199,transport,landed,troops,land,transport troops,4
200,fleet,landed,army,land,fleet army,4
201,aircraft,lands,damage,land,aircraft damage,4
202,aircraft,landed,damage,land,aircraft damage,4
203,band,landed,spot,land,band spot,4
204,audition,landed,role,land,audition role,4
205,album,landed,spot,land,album spot,4
206,transport,landed,troops,land,transport troops,4
207,wing,landed,troops,land,wing troops,4
208,fleet,landed,soldiers,land,fleet soldiers,4
209,fleet,landed,army,land,fleet army,4
210,revenues,landed,estates,land,revenues estates,4
211,flotilla,landed,force,land,flotilla force,4
212,role,landed,nomination,land,role nomination,4
213,force,landed,siege,land,force siege,4
214,pilots,landed,plane,land,pilots plane,4
215,book,landed,spot,land,book spot,4
216,force,landed,siege,land,force siege,4
217,bomb,landed,policeman,land,bomb policeman,4
218,bomb,landed,policeman,land,bomb policeman,4
219,flotilla,landed,force,land,flotilla force,4
220,force,landed,troops,land,force troops,4
221,flotilla,landed,force,land,flotilla force,4
222,forces,landed,forces,land,forces forces,4
223,fleet,lands,soldiers,land,fleet soldiers,4
224,album,landed,spot,land,album spot,4
225,album,landed,chart,land,album chart,4
226,revenues,landed,estates,land,revenues estates,4
227,troops,landed,troops,land,troops troops,4
228,player,lands,trick,land,player trick,4
229,player,lands,trick,land,player trick,4
230,player,lands,trick,land,player trick,4
231,troops,landed,siege,land,troops siege,4
232,flotilla,landed,force,land,flotilla force,4
233,forces,landed,men,land,forces men,3
234,convoy,landed,troops,land,convoy troops,3
235,pilot,landed,airplane,land,pilot airplane,3
236,member,landed,gentry,land,member gentry,3
237,plane,landed,airliner,land,plane airliner,3
238,party,landed,miles,land,party miles,3
239,father,lands,job,land,father job,3
240,fleet,land,force,land,fleet force,3
241,player,lands,punches,land,player punches,3
242,expedition,landed,fortress,land,expedition fortress,3
243,battalion,landed,perimeter,land,battalion perimeter,3
244,students,land,job,land,students job,3
245,band,landed,slot,land,band slot,3
246,transports,landing,troops,land,transports troops,3
247,party,landed,miles,land,party miles,3
248,men,landed,men,land,men men,3
249,aircraft,landed,runway,land,aircraft runway,3
250,government,landed,battalion,land,government battalion,3
251,bombs,landed,damage,land,bombs damage,3
252,transports,landing,troops,land,transports troops,3
253,ball,landed,glove,land,ball glove,3
254,forces,landed,men,land,forces men,3
255,spacecraft,landed,downrange,land,spacecraft downrange,3
256,squadron,landed,island,land,squadron island,3
257,bombs,landed,damage,land,bombs damage,3
258,force,landed,boats,land,force boats,3
259,force,landed,men,land,force men,3
260,government,landed,battalion,land,government battalion,3
261,player,lands,punches,land,player punches,3
262,band,landed,billing,land,band billing,3
263,pilot,landed,airplane,land,pilot airplane,3
264,force,landed,men,land,force men,3
265,battalion,landed,perimeter,land,battalion perimeter,3
266,member,landed,gentry,land,member gentry,3
267,ships,landed,men,land,ships men,3
268,pilot,landed,airplane,land,pilot airplane,3
269,battalion,landed,part,land,battalion part,3
270,expedition,landed,fortress,land,expedition fortress,3
271,spacecraft,landed,rover,land,spacecraft rover,3
272,force,landed,city,land,force city,3
273,squadron,landed,island,land,squadron island,3
274,convoy,landed,troops,land,convoy troops,3
275,students,land,job,land,students job,3
276,ball,landed,ball,land,ball ball,3
277,convoy,landed,troops,land,convoy troops,3
278,fighters,landed,flight,land,fighters flight,3
279,men,landed,workers,land,men workers,3
280,father,landed,job,land,father job,3
281,expedition,landed,fortress,land,expedition fortress,3
282,player,lands,punches,land,player punches,3
283,army,landed,siege,land,army siege,3
284,spacecraft,landed,rover,land,spacecraft rover,3
285,men,landed,workers,land,men workers,3
286,band,landed,billing,land,band billing,3
287,force,landed,city,land,force city,3
288,ships,landed,men,land,ships men,3
289,song,landed,spot,land,song spot,3
290,plane,lands,airliner,land,plane airliner,3
291,band,landed,slot,land,band slot,3
292,ball,landed,glove,land,ball glove,3
293,song,landed,spot,land,song spot,3
294,ball,landed,glove,land,ball glove,3
295,crew,landed,plane,land,crew plane,3
296,army,landed,army,land,army army,3
297,men,landed,men,land,men men,3
298,forces,landed,men,land,forces men,3
299,bombs,landed,damage,land,bombs damage,3
300,band,landed,billing,land,band billing,3
301,crew,landed,plane,land,crew plane,3
302,force,landed,city,land,force city,3
303,army,landed,army,land,army army,3
304,force,landed,men,land,force men,3
305,students,land,job,land,students job,3
306,battalion,landed,perimeter,land,battalion perimeter,3
307,fighters,landed,flight,land,fighters flight,3
308,force,landed,boats,land,force boats,3
309,army,landed,siege,land,army siege,3
310,squadron,landed,island,land,squadron island,3
311,troops,landed,possession,land,troops possession,3
312,spacecraft,landed,rover,land,spacecraft rover,3
313,group,landed,deal,land,group deal,3
314,army,landed,siege,land,army siege,3
315,group,landed,deal,land,group deal,3
316,label,landed,albums,land,label albums,3
317,label,landed,albums,land,label albums,3
318,handful,landed,cliffs,land,handful cliffs,3
319,label,landed,albums,land,label albums,3
320,crew,landed,plane,land,crew plane,3
321,force,landed,boats,land,force boats,3
322,fighters,landed,flight,land,fighters flight,3
323,fleet,lands,force,land,fleet force,3
324,ball,landed,ball,land,ball ball,3
325,aircraft,landed,runway,land,aircraft runway,3
326,spacecraft,landed,downrange,land,spacecraft downrange,3
327,men,landed,men,land,men men,3
328,song,landed,spot,land,song spot,3
329,fleet,landed,force,land,fleet force,3
330,battalion,landed,part,land,battalion part,3
331,fleet,landed,men,land,fleet men,3
332,battalion,landed,part,land,battalion part,3
333,fleet,landed,men,land,fleet men,3
334,band,landed,slot,land,band slot,3
335,fleet,landed,men,land,fleet men,3
336,boxers,landing,punches,land,boxers punches,3
337,government,landed,battalion,land,government battalion,3
338,boxers,landing,punches,land,boxers punches,3
339,men,landed,workers,land,men workers,3
340,regiment,landed,action,land,regiment action,3
341,spacecraft,landed,downrange,land,spacecraft downrange,3
342,handful,landed,cliffs,land,handful cliffs,3
343,army,landed,army,land,army army,3
344,aircraft,landed,runway,land,aircraft runway,3
345,transports,landing,troops,land,transports troops,3
346,troops,landed,possession,land,troops possession,3
347,ball,landed,ball,land,ball ball,3
348,regiment,landed,action,land,regiment action,3
349,party,landed,miles,land,party miles,3
350,handful,landed,cliffs,land,handful cliffs,3
351,group,landed,deal,land,group deal,3
352,boxers,landing,punches,land,boxers punches,3
353,member,landed,gentry,land,member gentry,3
354,ships,landed,men,land,ships men,3
355,regiment,landed,action,land,regiment action,3
356,troops,landed,possession,land,troops possession,3
357,father,landed,job,land,father job,3
358,plane,landed,airliner,land,plane airliner,3
359,expertise,landed,job,land,expertise job,2
360,aircraft,landed,control,land,aircraft control,2
361,men,landing,shots,land,men shots,2
362,army,landed,control,land,army control,2
363,work,lands,job,land,work job,2
364,section,landed,amidships,land,section amidships,2
365,troops,landed,control,land,troops control,2
366,ship,landed,cargo,land,ship cargo,2
367,lifeboat,landed,men,land,lifeboat men,2
368,lifeboat,landed,men,land,lifeboat men,2
369,model,landed,role,land,model role,2
370,arrow,lands,foot,land,arrow foot,2
371,object,landed,gas,land,object gas,2
372,coin,landed,toss,land,coin toss,2
373,success,landed,scholarship,land,success scholarship,2
374,one,landed,overland,land,one overland,2
375,men,landed,guns,land,men guns,2
376,museum,landed,grant,land,museum grant,2
377,company,landed,contract,land,company contract,2
378,forces,landed,city,land,forces city,2
379,forces,landed,town,land,forces town,2
380,success,landed,drive,land,success drive,2
