,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,volunteers,planted,trees,plant,volunteers trees,15
1,volunteers,planted,trees,plant,volunteers trees,15
2,volunteers,planting,trees,plant,volunteers trees,15
3,volunteers,planted,trees,plant,volunteers trees,15
4,volunteers,planted,trees,plant,volunteers trees,15
5,volunteers,planted,trees,plant,volunteers trees,15
6,volunteers,planted,trees,plant,volunteers trees,15
7,volunteers,planted,trees,plant,volunteers trees,15
8,volunteers,planted,trees,plant,volunteers trees,15
9,volunteers,planted,trees,plant,volunteers trees,15
10,volunteers,planted,trees,plant,volunteers trees,15
11,volunteers,planted,trees,plant,volunteers trees,15
12,volunteers,planted,trees,plant,volunteers trees,15
13,volunteers,planted,trees,plant,volunteers trees,15
14,volunteers,planted,trees,plant,volunteers trees,15
15,hackers,planted,malware,plant,hackers malware,10
16,hackers,planted,malware,plant,hackers malware,10
17,hackers,planted,malware,plant,hackers malware,10
18,hackers,planted,malware,plant,hackers malware,10
19,hackers,planted,malware,plant,hackers malware,10
20,hackers,planted,malware,plant,hackers malware,10
21,hackers,planted,malware,plant,hackers malware,10
22,hackers,planted,malware,plant,hackers malware,10
23,hackers,planted,malware,plant,hackers malware,10
24,hackers,planted,malware,plant,hackers malware,10
25,breakdown,planted,mines,plant,breakdown mines,9
26,breakdown,planted,mines,plant,breakdown mines,9
27,breakdown,planted,mines,plant,breakdown mines,9
28,breakdown,planted,mines,plant,breakdown mines,9
29,breakdown,planted,mines,plant,breakdown mines,9
30,breakdown,planted,mines,plant,breakdown mines,9
31,breakdown,planted,mines,plant,breakdown mines,9
32,breakdown,planted,mines,plant,breakdown mines,9
33,breakdown,planted,mines,plant,breakdown mines,9
34,farmers,plant,crops,plant,farmers crops,7
35,farmers,plant,crops,plant,farmers crops,7
36,farmers,plant,crops,plant,farmers crops,7
37,group,planted,bomb,plant,group bomb,7
38,group,planted,bomb,plant,group bomb,7
39,group,planted,bomb,plant,group bomb,7
40,group,planted,bomb,plant,group bomb,7
41,farmers,plant,crops,plant,farmers crops,7
42,farmers,planted,crops,plant,farmers crops,7
43,farmers,planted,crops,plant,farmers crops,7
44,group,planted,bomb,plant,group bomb,7
45,farmers,planted,crops,plant,farmers crops,7
46,group,planted,bomb,plant,group bomb,7
47,group,planted,bomb,plant,group bomb,7
48,company,planted,trees,plant,company trees,6
49,police,planted,evidence,plant,police evidence,6
50,police,planted,evidence,plant,police evidence,6
51,police,planted,evidence,plant,police evidence,6
52,police,planted,evidence,plant,police evidence,6
53,company,planted,trees,plant,company trees,6
54,company,planted,trees,plant,company trees,6
55,company,planted,trees,plant,company trees,6
56,company,planted,trees,plant,company trees,6
57,police,planted,evidence,plant,police evidence,6
58,police,planted,evidence,plant,police evidence,6
59,company,planted,trees,plant,company trees,6
60,men,planted,trees,plant,men trees,5
61,men,planted,trees,plant,men trees,5
62,students,planted,trees,plant,students trees,5
63,settlers,planted,crops,plant,settlers crops,5
64,settlers,plant,crops,plant,settlers crops,5
65,members,planted,trees,plant,members trees,5
66,men,planted,trees,plant,men trees,5
67,members,planted,trees,plant,members trees,5
68,men,planted,trees,plant,men trees,5
69,settlers,planting,crops,plant,settlers crops,5
70,students,planted,trees,plant,students trees,5
71,members,planted,trees,plant,members trees,5
72,students,planted,trees,plant,students trees,5
73,settlers,plant,crops,plant,settlers crops,5
74,students,planted,trees,plant,students trees,5
75,members,planted,trees,plant,members trees,5
76,men,planted,trees,plant,men trees,5
77,students,planted,trees,plant,students trees,5
78,settlers,plant,crops,plant,settlers crops,5
79,members,planted,trees,plant,members trees,5
80,women,planted,crops,plant,women crops,4
81,company,planted,tree,plant,company tree,4
82,people,planted,trees,plant,people trees,4
83,farmers,planted,seeds,plant,farmers seeds,4
84,men,planted,bomb,plant,men bomb,4
85,company,planted,tree,plant,company tree,4
86,farmers,plant,trees,plant,farmers trees,4
87,farmers,plant,trees,plant,farmers trees,4
88,parents,planted,trees,plant,parents trees,4
89,company,plants,tree,plant,company tree,4
90,parents,planted,trees,plant,parents trees,4
91,agents,planted,bomb,plant,agents bomb,4
92,company,plants,tree,plant,company tree,4
93,agents,plant,bomb,plant,agents bomb,4
94,people,planted,trees,plant,people trees,4
95,terrorists,plant,bomb,plant,terrorists bomb,4
96,terrorists,plant,bomb,plant,terrorists bomb,4
97,another,planted,bomb,plant,another bomb,4
98,parents,planted,trees,plant,parents trees,4
99,agents,planted,bomb,plant,agents bomb,4
100,farmers,plant,seeds,plant,farmers seeds,4
101,farmers,plant,seeds,plant,farmers seeds,4
102,another,planted,bomb,plant,another bomb,4
103,another,planted,bomb,plant,another bomb,4
104,agents,planted,bomb,plant,agents bomb,4
105,women,planted,crops,plant,women crops,4
106,farmers,planted,trees,plant,farmers trees,4
107,people,planted,trees,plant,people trees,4
108,farmers,planted,seeds,plant,farmers seeds,4
109,farmers,plant,trees,plant,farmers trees,4
110,men,planted,bomb,plant,men bomb,4
111,terrorists,planted,bomb,plant,terrorists bomb,4
112,men,planted,bomb,plant,men bomb,4
113,parents,planted,trees,plant,parents trees,4
114,terrorists,plant,bomb,plant,terrorists bomb,4
115,another,planted,bomb,plant,another bomb,4
116,women,plant,crops,plant,women crops,4
117,women,plant,crops,plant,women crops,4
118,men,plant,bomb,plant,men bomb,4
119,people,planted,trees,plant,people trees,4
120,community,planted,trees,plant,community trees,3
121,work,planted,seeds,plant,work seeds,3
122,work,planted,seeds,plant,work seeds,3
123,people,planted,rice,plant,people rice,3
124,one,plants,bomb,plant,one bomb,3
125,troops,planted,barrier,plant,troops barrier,3
126,player,plants,bomb,plant,player bomb,3
127,community,planted,trees,plant,community trees,3
128,people,planted,rice,plant,people rice,3
129,troops,plant,barrier,plant,troops barrier,3
130,people,planted,crops,plant,people crops,3
131,farmers,plant,variety,plant,farmers variety,3
132,government,planted,trees,plant,government trees,3
133,troops,plant,barrier,plant,troops barrier,3
134,farmers,plant,variety,plant,farmers variety,3
135,anarchists,planted,bomb,plant,anarchists bomb,3
136,expedition,planted,flag,plant,expedition flag,3
137,player,plant,bomb,plant,player bomb,3
138,anarchists,planted,bomb,plant,anarchists bomb,3
139,anarchists,plant,bomb,plant,anarchists bomb,3
140,one,plants,bomb,plant,one bomb,3
141,insurgents,planted,devices,plant,insurgents devices,3
142,farmers,planting,variety,plant,farmers variety,3
143,government,planted,trees,plant,government trees,3
144,one,planted,bomb,plant,one bomb,3
145,expedition,planted,flag,plant,expedition flag,3
146,work,planted,seeds,plant,work seeds,3
147,residents,planted,trees,plant,residents trees,3
148,people,planted,crops,plant,people crops,3
149,government,planted,trees,plant,government trees,3
150,residents,planted,trees,plant,residents trees,3
151,player,plants,bomb,plant,player bomb,3
152,insurgents,planted,devices,plant,insurgents devices,3
153,expedition,planted,flag,plant,expedition flag,3
154,insurgents,planted,devices,plant,insurgents devices,3
155,people,plant,rice,plant,people rice,3
