,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,father,fixes,marriage,fix,father marriage,14
1,father,fixes,marriage,fix,father marriage,14
2,father,fixed,marriage,fix,father marriage,14
3,father,fixes,marriage,fix,father marriage,14
4,father,fixes,marriage,fix,father marriage,14
5,father,fixes,marriage,fix,father marriage,14
6,father,fixes,marriage,fix,father marriage,14
7,father,fixes,marriage,fix,father marriage,14
8,father,fixes,marriage,fix,father marriage,14
9,father,fixes,marriage,fix,father marriage,14
10,father,fixed,marriage,fix,father marriage,14
11,father,fixed,marriage,fix,father marriage,14
12,father,fixes,marriage,fix,father marriage,14
13,father,fixes,marriage,fix,father marriage,14
14,match,fixing,allegations,fix,match allegations,13
15,match,fixing,allegations,fix,match allegations,13
16,match,fixing,allegations,fix,match allegations,13
17,match,fixing,allegations,fix,match allegations,13
18,match,fixing,allegations,fix,match allegations,13
19,match,fixing,allegations,fix,match allegations,13
20,match,fixing,allegations,fix,match allegations,13
21,match,fixing,allegations,fix,match allegations,13
22,match,fixing,allegations,fix,match allegations,13
23,match,fixing,allegations,fix,match allegations,13
24,match,fixing,allegations,fix,match allegations,13
25,match,fixing,allegations,fix,match allegations,13
26,match,fixing,allegations,fix,match allegations,13
27,parents,fix,marriage,fix,parents marriage,9
28,parents,fix,marriage,fix,parents marriage,9
29,parents,fix,marriage,fix,parents marriage,9
30,parents,fixed,marriage,fix,parents marriage,9
31,parents,fix,marriage,fix,parents marriage,9
32,parents,fix,marriage,fix,parents marriage,9
33,parents,fix,marriage,fix,parents marriage,9
34,parents,fix,marriage,fix,parents marriage,9
35,parents,fix,marriage,fix,parents marriage,9
36,mother,fixed,marriage,fix,mother marriage,7
37,mother,fixes,marriage,fix,mother marriage,7
38,mother,fixes,marriage,fix,mother marriage,7
39,mother,fixes,marriage,fix,mother marriage,7
40,mother,fixes,marriage,fix,mother marriage,7
41,mother,fixes,marriage,fix,mother marriage,7
42,mother,fixes,marriage,fix,mother marriage,7
43,bacteria,fix,nitrogen,fix,bacteria nitrogen,6
44,bacteria,fix,nitrogen,fix,bacteria nitrogen,6
45,state,fixed,date,fix,state date,6
46,bacteria,fix,nitrogen,fix,bacteria nitrogen,6
47,state,fixed,date,fix,state date,6
48,bacteria,fix,nitrogen,fix,bacteria nitrogen,6
49,state,fixed,date,fix,state date,6
50,family,fix,marriage,fix,family marriage,6
51,state,fixed,date,fix,state date,6
52,state,fixed,date,fix,state date,6
53,state,fixed,date,fix,state date,6
