,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,sprayed,gas,spray,police gas,5
1,police,sprayed,gas,spray,police gas,5
2,police,spraying,gas,spray,police gas,5
3,police,sprayed,gas,spray,police gas,5
4,police,sprayed,gas,spray,police gas,5
5,aerosol,spray,propellant,spray,aerosol propellant,4
6,aerosol,spray,propellant,spray,aerosol propellant,4
7,aerosol,spray,propellant,spray,aerosol propellant,4
8,aerosol,spray,propellant,spray,aerosol propellant,4
9,fountain,sprayed,water,spray,fountain water,3
10,thousands,sprayed,graffiti,spray,thousands graffiti,3
11,farmers,spray,insecticides,spray,farmers insecticides,3
12,protesters,sprayed,graffiti,spray,protesters graffiti,3
13,milk,sprayed,feet,spray,milk feet,3
14,vandals,sprayed,graffiti,spray,vandals graffiti,3
15,police,sprayed,crowd,spray,police crowd,3
16,fountain,sprays,water,spray,fountain water,3
17,protesters,sprayed,graffiti,spray,protesters graffiti,3
18,farmers,spray,insecticides,spray,farmers insecticides,3
19,protesters,sprayed,graffiti,spray,protesters graffiti,3
20,vandals,sprayed,graffiti,spray,vandals graffiti,3
21,farmers,sprayed,insecticides,spray,farmers insecticides,3
22,vandals,sprayed,graffiti,spray,vandals graffiti,3
23,milk,sprayed,feet,spray,milk feet,3
24,police,sprayed,crowd,spray,police crowd,3
25,thousands,sprayed,graffiti,spray,thousands graffiti,3
26,police,sprayed,crowd,spray,police crowd,3
27,fountain,sprays,water,spray,fountain water,3
28,milk,sprayed,feet,spray,milk feet,3
29,thousands,sprayed,graffiti,spray,thousands graffiti,3
30,video,spray,face,spray,video face,2
31,arms,spray,lily,spray,arms lily,2
32,fiberglass,spray,process,spray,fiberglass process,2
33,bacterium,sprayed,scientists,spray,bacterium scientists,2
34,trio,sprays,champagne,spray,trio champagne,2
35,men,sprayed,car,spray,men car,2
36,riders,spray,champagne,spray,riders champagne,2
37,pump,sprayed,pounds,spray,pump pounds,2
38,settlers,spraying,graffiti,spray,settlers graffiti,2
39,men,sprayed,vehicle,spray,men vehicle,2
40,arms,spray,lily,spray,arms lily,2
41,protesters,sprayed,gendarmes,spray,protesters gendarmes,2
42,trucks,sprayed,water,spray,trucks water,2
43,attackers,sprayed,graffiti,spray,attackers graffiti,2
44,protesters,sprayed,gendarmes,spray,protesters gendarmes,2
45,trucks,sprayed,water,spray,trucks water,2
46,gunmen,sprayed,gunfire,spray,gunmen gunfire,2
47,trio,sprays,champagne,spray,trio champagne,2
48,attackers,sprayed,graffiti,spray,attackers graffiti,2
49,riders,spray,champagne,spray,riders champagne,2
50,gunmen,sprayed,gunfire,spray,gunmen gunfire,2
51,men,sprayed,car,spray,men car,2
52,men,sprayed,vehicle,spray,men vehicle,2
53,scientists,sprayed,prisoners,spray,scientists prisoners,2
54,pump,sprayed,pounds,spray,pump pounds,2
55,group,sprayed,abbreviation,spray,group abbreviation,2
56,police,sprayed,mosque,spray,police mosque,2
57,police,sprayed,mosque,spray,police mosque,2
58,group,sprayed,abbreviation,spray,group abbreviation,2
59,scientists,sprayed,prisoners,spray,scientists prisoners,2
60,bacterium,sprayed,scientists,spray,bacterium scientists,2
61,video,spray,face,spray,video face,2
62,fiberglass,spray,process,spray,fiberglass process,2
63,settlers,sprayed,graffiti,spray,settlers graffiti,2
64,detonation,sprayed,body,spray,detonation body,1
65,crowd,sprayed,graffiti,spray,crowd graffiti,1
66,members,sprayed,attendees,spray,members attendees,1
67,grasshoppers,spray,secretion,spray,grasshoppers secretion,1
68,person,spraying,attacker,spray,person attacker,1
69,water,sprays,lights,spray,water lights,1
70,arc,spraying,technology,spray,arc technology,1
71,militants,sprayed,vehicle,spray,militants vehicle,1
72,man,spray,blood,spray,man blood,1
73,park,spray,pool,spray,park pool,1
74,man,spraying,water,spray,man water,1
75,fireman,sprayed,foam,spray,fireman foam,1
76,combination,sprayed,saltwater,spray,combination saltwater,1
77,engine,spraying,oil,spray,engine oil,1
78,company,spray,guns,spray,company guns,1
79,boys,spray,teens,spray,boys teens,1
80,practitioners,spray,species,spray,practitioners species,1
81,group,sprayed,protesters,spray,group protesters,1
82,sympathizers,spray,money,spray,sympathizers money,1
83,patients,spraying,deodorants,spray,patients deodorants,1
84,better,spray,ink,spray,better ink,1
85,tractor,sprayed,water,spray,tractor water,1
86,shaman,sprayed,blood,spray,shaman blood,1
87,attackers,sprayed,crowd,spray,attackers crowd,1
88,people,sprayed,protesters,spray,people protesters,1
89,state,spray,booths,spray,state booths,1
90,bomber,sprayed,area,spray,bomber area,1
91,flag,spray,paint,spray,flag paint,1
92,father,sprayed,mother,spray,father mother,1
93,tanker,sprayed,oil,spray,tanker oil,1
94,acrylic,spray,canvases,spray,acrylic canvases,1
95,priests,sprayed,victim,spray,priests victim,1
96,demonstrators,sprayed,paint,spray,demonstrators paint,1
97,hold,sprayed,foam,spray,hold foam,1
98,girl,sprayed,police,spray,girl police,1
99,officials,sprayed,pesticides,spray,officials pesticides,1
100,enamel,spray,paint,spray,enamel paint,1
101,pepper,sprayed,people,spray,pepper people,1
102,police,sprayed,canisters,spray,police canisters,1
103,ants,spray,venom,spray,ants venom,1
104,streptomycin,sprayed,times,spray,streptomycin times,1
105,trio,spray,newlyweds,spray,trio newlyweds,1
106,technique,sprays,vans,spray,technique vans,1
107,artists,spray,cans,spray,artists cans,1
108,stage,sprayed,ice,spray,stage ice,1
109,stagehands,sprayed,stage,spray,stagehands stage,1
