,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,song,cracked,top,crack,song top,4
1,song,cracked,top,crack,song top,4
2,song,cracked,top,crack,song top,4
3,song,cracked,top,crack,song top,4
4,song,cracked,forty,crack,song forty,3
5,advance,cracked,defences,crack,advance defences,3
6,daughter,cracked,walnut,crack,daughter walnut,3
7,authorities,cracked,leaders,crack,authorities leaders,3
8,song,cracked,forty,crack,song forty,3
9,album,cracked,top,crack,album top,3
10,song,cracked,forty,crack,song forty,3
11,advance,cracked,defences,crack,advance defences,3
12,authorities,cracked,leaders,crack,authorities leaders,3
13,album,cracked,top,crack,album top,3
14,authorities,cracked,leaders,crack,authorities leaders,3
15,shock,cracked,rock,crack,shock rock,3
16,daughter,cracked,walnut,crack,daughter walnut,3
17,shock,cracked,rock,crack,shock rock,3
18,daughter,cracked,walnut,crack,daughter walnut,3
19,shock,cracked,rock,crack,shock rock,3
20,advance,cracked,defences,crack,advance defences,3
21,album,cracked,top,crack,album top,3
22,earthquake,cracked,walls,crack,earthquake walls,2
23,stress,cracking,resistance,crack,stress resistance,2
24,one,cracked,skull,crack,one skull,2
25,process,crack,pavement,crack,process pavement,2
26,track,cracked,top,crack,track top,2
27,two,crack,jokes,crack,two jokes,2
28,team,cracked,ten,crack,team ten,2
29,team,crack,code,crack,team code,2
30,shells,cracked,plate,crack,shells plate,2
31,process,crack,pavement,crack,process pavement,2
32,shells,cracked,plate,crack,shells plate,2
33,head,cracked,paper,crack,head paper,2
34,moon,cracking,surface,crack,moon surface,2
35,regime,cracked,example,crack,regime example,2
36,program,cracked,top,crack,program top,2
37,program,cracked,top,crack,program top,2
38,earthquake,cracked,walls,crack,earthquake walls,2
39,gall,crack,willow,crack,gall willow,2
40,album,cracked,ten,crack,album ten,2
41,both,cracked,top,crack,both top,2
42,two,crack,jokes,crack,two jokes,2
43,energy,cracked,soil,crack,energy soil,2
44,track,cracked,top,crack,track top,2
45,hackers,cracked,device,crack,hackers device,2
46,one,cracked,skull,crack,one skull,2
47,hackers,cracked,device,crack,hackers device,2
48,single,cracked,top,crack,single top,2
49,regime,cracked,example,crack,regime example,2
50,album,cracked,ten,crack,album ten,2
51,both,cracked,top,crack,both top,2
52,energy,cracked,soil,crack,energy soil,2
53,moon,cracking,surface,crack,moon surface,2
54,stress,cracking,resistance,crack,stress resistance,2
55,team,cracked,ten,crack,team ten,2
56,head,cracked,paper,crack,head paper,2
57,team,cracked,code,crack,team code,2
58,gall,crack,willow,crack,gall willow,2
59,single,cracked,top,crack,single top,2
60,force,cracked,chimneys,crack,force chimneys,1
61,study,crack,users,crack,study users,1
62,earthquake,cracking,objects,crack,earthquake objects,1
63,monument,cracks,tablets,crack,monument tablets,1
64,smeared,cracked,teeth,crack,smeared teeth,1
65,female,cracked,case,crack,female case,1
66,sand,cracked,feet,crack,sand feet,1
67,students,crack,exams,crack,students exams,1
68,brotherhood,cracked,code,crack,brotherhood code,1
69,basalt,cracked,rock,crack,basalt rock,1
70,concussion,cracked,support,crack,concussion support,1
71,margin,cracks,like,crack,margin like,1
72,colleagues,crack,case,crack,colleagues case,1
73,hackers,cracked,encryption,crack,hackers encryption,1
74,bull,cracked,skull,crack,bull skull,1
75,buildings,cracked,walls,crack,buildings walls,1
76,power,cracked,walls,crack,power walls,1
77,foursome,cracked,barrier,crack,foursome barrier,1
78,chapel,cracked,walls,crack,chapel walls,1
79,flames,cracks,hall,crack,flames hall,1
80,teammates,cracked,field,crack,teammates field,1
81,government,cracked,place,crack,government place,1
82,government,cracked,newspapers,crack,government newspapers,1
83,earthquake,cracks,ground,crack,earthquake ground,1
84,instance,cracking,joke,crack,instance joke,1
85,crash,cracked,one,crack,crash one,1
86,lyric,crack,shutters,crack,lyric shutters,1
87,quake,cracked,foundations,crack,quake foundations,1
88,sunlight,cracks,covering,crack,sunlight covering,1
89,thrust,cracked,center,crack,thrust center,1
90,ground,cracked,bounces,crack,ground bounces,1
91,play,cracks,knuckles,crack,play knuckles,1
92,government,cracked,war,crack,government war,1
93,force,cracked,walls,crack,force walls,1
94,jumper,cracking,bar,crack,jumper bar,1
95,invaders,crack,memorandum,crack,invaders memorandum,1
96,pool,cracked,saplings,crack,pool saplings,1
97,explosion,cracked,column,crack,explosion column,1
98,impact,cracked,interior,crack,impact interior,1
99,weight,cracking,ground,crack,weight ground,1
100,blade,cracks,ice,crack,blade ice,1
101,plaster,cracked,panic,crack,plaster panic,1
102,latter,cracked,top,crack,latter top,1
103,one,cracked,laughing,crack,one laughing,1
104,earthquake,cracked,aqueduct,crack,earthquake aqueduct,1
105,three,cracking,ten,crack,three ten,1
106,tremors,cracked,walls,crack,tremors walls,1
107,issues,cracked,jokes,crack,issues jokes,1
108,voice,cracked,help,crack,voice help,1
109,voice,cracking,tears,crack,voice tears,1
110,birds,crack,seeds,crack,birds seeds,1
111,one,crack,nut,crack,one nut,1
112,hyenas,crack,bones,crack,hyenas bones,1
113,repertoire,cracked,organization,crack,repertoire organization,1
114,corrosion,crack,concrete,crack,corrosion concrete,1
115,fire,cracked,windows,crack,fire windows,1
116,player,crack,tiles,crack,player tiles,1
117,pressure,cracked,game,crack,pressure game,1
118,apparition,cracking,bones,crack,apparition bones,1
119,particles,crack,propagation,crack,particles propagation,1
120,craftsmen,cracked,pieces,crack,craftsmen pieces,1
121,siblings,cracked,exam,crack,siblings exam,1
122,bottom,cracked,amount,crack,bottom amount,1
123,name,cracked,names,crack,name names,1
124,action,cracked,defenses,crack,action defenses,1
125,team,cracked,playoffs,crack,team playoffs,1
