,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,parents,send,children,send,parents children,79
1,parents,send,children,send,parents children,79
2,parents,send,children,send,parents children,79
3,parents,sent,children,send,parents children,79
4,parents,sent,children,send,parents children,79
5,parents,send,children,send,parents children,79
6,parents,sent,children,send,parents children,79
7,parents,send,children,send,parents children,79
8,parents,sent,children,send,parents children,79
9,parents,send,children,send,parents children,79
10,parents,send,children,send,parents children,79
11,parents,sent,children,send,parents children,79
12,parents,send,children,send,parents children,79
13,parents,send,children,send,parents children,79
14,parents,sent,children,send,parents children,79
15,parents,send,children,send,parents children,79
16,parents,send,children,send,parents children,79
17,parents,send,children,send,parents children,79
18,parents,sent,children,send,parents children,79
19,parents,sent,children,send,parents children,79
20,parents,sent,children,send,parents children,79
21,parents,send,children,send,parents children,79
22,parents,send,children,send,parents children,79
23,parents,send,children,send,parents children,79
24,parents,send,children,send,parents children,79
25,parents,send,children,send,parents children,79
26,parents,sent,children,send,parents children,79
27,parents,sent,children,send,parents children,79
28,parents,sent,children,send,parents children,79
29,parents,sending,children,send,parents children,79
30,parents,send,children,send,parents children,79
31,parents,sent,children,send,parents children,79
32,parents,sent,children,send,parents children,79
33,parents,send,children,send,parents children,79
34,parents,sent,children,send,parents children,79
35,parents,send,children,send,parents children,79
36,parents,sent,children,send,parents children,79
37,parents,send,children,send,parents children,79
38,parents,sent,children,send,parents children,79
39,parents,send,children,send,parents children,79
40,parents,sent,children,send,parents children,79
41,parents,sent,children,send,parents children,79
42,parents,sent,children,send,parents children,79
43,parents,sent,children,send,parents children,79
44,parents,send,children,send,parents children,79
45,parents,sent,children,send,parents children,79
46,parents,sent,children,send,parents children,79
47,parents,send,children,send,parents children,79
48,parents,send,children,send,parents children,79
49,parents,sent,children,send,parents children,79
50,parents,sent,children,send,parents children,79
51,parents,send,children,send,parents children,79
52,parents,send,children,send,parents children,79
53,parents,send,children,send,parents children,79
54,parents,sent,children,send,parents children,79
55,parents,sent,children,send,parents children,79
56,parents,send,children,send,parents children,79
57,parents,sent,children,send,parents children,79
58,parents,send,children,send,parents children,79
59,parents,send,children,send,parents children,79
60,parents,send,children,send,parents children,79
61,parents,send,children,send,parents children,79
62,parents,sent,children,send,parents children,79
63,parents,sent,children,send,parents children,79
64,parents,sent,children,send,parents children,79
65,parents,sent,children,send,parents children,79
66,parents,sent,children,send,parents children,79
67,parents,sent,children,send,parents children,79
68,parents,send,children,send,parents children,79
69,parents,sent,children,send,parents children,79
70,parents,send,children,send,parents children,79
71,parents,sent,children,send,parents children,79
72,parents,sent,children,send,parents children,79
73,parents,sent,children,send,parents children,79
74,parents,sent,children,send,parents children,79
75,parents,send,children,send,parents children,79
76,parents,send,children,send,parents children,79
77,parents,send,children,send,parents children,79
78,parents,sent,children,send,parents children,79
79,government,sent,troops,send,government troops,74
80,government,sent,troops,send,government troops,74
81,government,sends,troops,send,government troops,74
82,government,sent,troops,send,government troops,74
83,government,sent,troops,send,government troops,74
84,government,sent,troops,send,government troops,74
85,government,sent,troops,send,government troops,74
86,government,sent,troops,send,government troops,74
87,government,sent,troops,send,government troops,74
88,government,sent,troops,send,government troops,74
89,government,sent,troops,send,government troops,74
90,government,sent,troops,send,government troops,74
91,government,sent,troops,send,government troops,74
92,government,sent,troops,send,government troops,74
93,government,sent,troops,send,government troops,74
94,government,sends,troops,send,government troops,74
95,government,sends,troops,send,government troops,74
96,government,sent,troops,send,government troops,74
97,government,sent,troops,send,government troops,74
98,government,sent,troops,send,government troops,74
99,government,sent,troops,send,government troops,74
100,government,sent,troops,send,government troops,74
101,government,sent,troops,send,government troops,74
102,government,sent,troops,send,government troops,74
103,government,sent,troops,send,government troops,74
104,government,sent,troops,send,government troops,74
105,government,sent,troops,send,government troops,74
106,government,sent,troops,send,government troops,74
107,government,sent,troops,send,government troops,74
108,government,sent,troops,send,government troops,74
109,government,sent,troops,send,government troops,74
110,government,sent,troops,send,government troops,74
111,government,sent,troops,send,government troops,74
112,government,sent,troops,send,government troops,74
113,government,sends,troops,send,government troops,74
114,government,sent,troops,send,government troops,74
115,government,sent,troops,send,government troops,74
116,government,sent,troops,send,government troops,74
117,government,sent,troops,send,government troops,74
118,government,sent,troops,send,government troops,74
119,government,sent,troops,send,government troops,74
120,government,sent,troops,send,government troops,74
121,government,sending,troops,send,government troops,74
122,government,sends,troops,send,government troops,74
123,government,sent,troops,send,government troops,74
124,government,sent,troops,send,government troops,74
125,government,sent,troops,send,government troops,74
126,government,sent,troops,send,government troops,74
127,government,sent,troops,send,government troops,74
128,government,sent,troops,send,government troops,74
129,government,sent,troops,send,government troops,74
130,government,sent,troops,send,government troops,74
131,government,sent,troops,send,government troops,74
132,government,sent,troops,send,government troops,74
133,government,sent,troops,send,government troops,74
134,government,sent,troops,send,government troops,74
135,government,sent,troops,send,government troops,74
136,government,sent,troops,send,government troops,74
137,government,sent,troops,send,government troops,74
138,government,sent,troops,send,government troops,74
139,government,sent,troops,send,government troops,74
140,government,sent,troops,send,government troops,74
141,government,sent,troops,send,government troops,74
142,government,sent,troops,send,government troops,74
143,government,sent,troops,send,government troops,74
144,government,sent,troops,send,government troops,74
145,government,sent,troops,send,government troops,74
146,government,sent,troops,send,government troops,74
147,government,sent,troops,send,government troops,74
148,government,sent,troops,send,government troops,74
149,government,sent,troops,send,government troops,74
150,government,sent,troops,send,government troops,74
151,government,sent,troops,send,government troops,74
152,government,sent,troops,send,government troops,74
153,team,sent,squad,send,team squad,73
154,team,sent,squad,send,team squad,73
