,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,students,cheered,head,cheer,students head,3
1,students,cheered,head,cheer,students head,3
2,students,cheered,head,cheer,students head,3
3,defenders,cheered,sharpness,cheer,defenders sharpness,2
4,thousands,cheered,announcement,cheer,thousands announcement,2
5,press,cheered,demise,cheer,press demise,2
6,sides,cheered,play,cheer,sides play,2
7,thousands,cheered,team,cheer,thousands team,2
8,press,cheered,demise,cheer,press demise,2
9,crew,cheered,actions,cheer,crew actions,2
10,crowd,cheered,ribbon,cheer,crowd ribbon,2
11,sides,cheered,play,cheer,sides play,2
12,win,cheered,crowds,cheer,win crowds,2
13,defenders,cheered,sharpness,cheer,defenders sharpness,2
14,crowd,cheered,ovation,cheer,crowd ovation,2
15,man,cheered,occupants,cheer,man occupants,2
16,thousands,cheered,team,cheer,thousands team,2
17,crowds,cheering,tolling,cheer,crowds tolling,2
18,crowd,cheered,ribbon,cheer,crowd ribbon,2
19,crowds,cheered,convoy,cheer,crowds convoy,2
20,crew,cheered,actions,cheer,crew actions,2
21,people,cheered,slogans,cheer,people slogans,2
22,crowd,cheered,ovation,cheer,crowd ovation,2
23,crowds,cheered,convoy,cheer,crowds convoy,2
24,people,cheered,slogans,cheer,people slogans,2
25,man,cheered,occupants,cheer,man occupants,2
26,crowds,cheering,tolling,cheer,crowds tolling,2
27,win,cheered,crowds,cheer,win crowds,2
28,thousands,cheered,announcement,cheer,thousands announcement,2
29,everyone,cheering,support,cheer,everyone support,1
30,fans,cheered,win,cheer,fans win,1
31,people,cheered,pictures,cheer,people pictures,1
32,crowd,cheered,approval,cheer,crowd approval,1
33,everyone,cheering,freedom,cheer,everyone freedom,1
34,crowd,cheered,result,cheer,crowd result,1
35,thousands,cheered,parade,cheer,thousands parade,1
36,audience,cheered,bouquets,cheer,audience bouquets,1
37,people,cheered,skaters,cheer,people skaters,1
38,crowd,cheer,sportsmanship,cheer,crowd sportsmanship,1
39,audience,cheered,performance,cheer,audience performance,1
40,students,cheer,girls,cheer,students girls,1
41,audience,cheered,hands,cheer,audience hands,1
42,enthusiasts,cheered,another,cheer,enthusiasts another,1
43,units,cheered,allegiance,cheer,units allegiance,1
44,girl,cheered,award,cheer,girl award,1
45,supporters,cheered,depiction,cheer,supporters depiction,1
46,toils,cheered,provinces,cheer,toils provinces,1
47,crowd,cheered,winger,cheer,crowd winger,1
48,men,cheered,men,cheer,men men,1
49,play,cheered,audiences,cheer,play audiences,1
50,bystanders,cheer,return,cheer,bystanders return,1
51,citizens,cheering,refugees,cheer,citizens refugees,1
52,populace,cheering,cannons,cheer,populace cannons,1
53,sailors,cheered,bravery,cheer,sailors bravery,1
54,jury,cheers,approval,cheer,jury approval,1
55,everyone,cheering,name,cheer,everyone name,1
56,inmates,cheered,doors,cheer,inmates doors,1
57,citizens,cheered,solidarity,cheer,citizens solidarity,1
58,lyric,cheer,kind,cheer,lyric kind,1
59,coming,cheered,troops,cheer,coming troops,1
60,citizens,cheer,soldiers,cheer,citizens soldiers,1
61,crowd,cheered,life,cheer,crowd life,1
62,crowd,cheered,mistake,cheer,crowd mistake,1
63,fans,cheered,player,cheer,fans player,1
64,father,cheered,pennant,cheer,father pennant,1
65,shepherd,cheered,loneliness,cheer,shepherd loneliness,1
66,maidservant,cheering,mood,cheer,maidservant mood,1
67,people,cheered,arrival,cheer,people arrival,1
68,crowd,cheers,trophy,cheer,crowd trophy,1
69,audiences,cheering,feet,cheer,audiences feet,1
70,audience,cheered,line,cheer,audience line,1
71,crowds,cheered,procession,cheer,crowds procession,1
72,attendees,cheered,storming,cheer,attendees storming,1
73,crowd,cheered,mention,cheer,crowd mention,1
74,residends,cheered,entry,cheer,residends entry,1
75,audience,cheered,reveal,cheer,audience reveal,1
76,crowd,cheers,ballin,cheer,crowd ballin,1
77,activists,cheered,move,cheer,activists move,1
78,crowd,cheered,hymn,cheer,crowd hymn,1
79,altercation,cheered,press,cheer,altercation press,1
80,explanation,cheered,students,cheer,explanation students,1
81,people,cheer,ruler,cheer,people ruler,1
82,crowed,cheered,success,cheer,crowed success,1
83,crowd,cheers,victory,cheer,crowd victory,1
84,crowd,cheered,arrival,cheer,crowd arrival,1
85,bloke,cheered,women,cheer,bloke women,1
86,people,cheering,boat,cheer,people boat,1
87,relationship,cheered,years,cheer,relationship years,1
88,people,cheering,killings,cheer,people killings,1
89,residents,cheered,power,cheer,residents power,1
90,protesters,cheered,drums,cheer,protesters drums,1
91,fans,cheered,elimination,cheer,fans elimination,1
92,audience,cheered,ovation,cheer,audience ovation,1
93,joke,cheering,boy,cheer,joke boy,1
94,audience,cheering,film,cheer,audience film,1
95,residents,cheer,move,cheer,residents move,1
96,lyrics,cheers,woman,cheer,lyrics woman,1
97,percentage,cheered,arrival,cheer,percentage arrival,1
98,enthusiasm,cheers,runners,cheer,enthusiasm runners,1
99,crowd,cheered,wrestlers,cheer,crowd wrestlers,1
100,groups,cheered,fall,cheer,groups fall,1
101,veterans,cheered,display,cheer,veterans display,1
102,decks,cheering,relatives,cheer,decks relatives,1
103,performance,cheers,everyone,cheer,performance everyone,1
104,crowd,cheered,verdict,cheer,crowd verdict,1
105,company,cheered,target,cheer,company target,1
106,citizens,cheering,end,cheer,citizens end,1
107,officials,cheered,news,cheer,officials news,1
108,pikemen,cheer,tusker,cheer,pikemen tusker,1
109,bystanders,cheered,support,cheer,bystanders support,1
110,liberals,cheer,demise,cheer,liberals demise,1
111,crowds,cheered,action,cheer,crowds action,1
112,people,cheered,stage,cheer,people stage,1
113,crowd,cheering,decision,cheer,crowd decision,1
114,audience,cheered,killing,cheer,audience killing,1
115,spectators,cheered,witnesses,cheer,spectators witnesses,1
116,village,cheered,swain,cheer,village swain,1
117,public,cheered,announcement,cheer,public announcement,1
118,papers,cheered,destruction,cheer,papers destruction,1
119,journey,cheered,crowds,cheer,journey crowds,1
120,crowd,cheered,team,cheer,crowd team,1
121,soldiers,cheered,change,cheer,soldiers change,1
122,crowd,cheered,vote,cheer,crowd vote,1
123,crowd,cheered,lyrics,cheer,crowd lyrics,1
124,candidates,cheered,audiences,cheer,candidates audiences,1
125,crowd,cheered,game,cheer,crowd game,1
126,students,cheering,news,cheer,students news,1
127,thousands,cheer,runners,cheer,thousands runners,1
128,teams,cheer,teams,cheer,teams teams,1
129,fans,cheered,touch,cheer,fans touch,1
130,citizens,cheered,troops,cheer,citizens troops,1
131,kids,cheer,blanket,cheer,kids blanket,1
132,event,cheered,hundreds,cheer,event hundreds,1
133,response,cheered,solidarity,cheer,response solidarity,1
134,love,cheered,president,cheer,love president,1
135,readers,cheer,villain,cheer,readers villain,1
136,witnesses,cheered,fear,cheer,witnesses fear,1
137,people,cheered,head,cheer,people head,1
138,bands,cheers,crowd,cheer,bands crowd,1
139,festival,cheer,moment,cheer,festival moment,1
140,crowds,cheered,news,cheer,crowds news,1
141,men,cheering,king,cheer,men king,1
142,patients,cheer,players,cheer,patients players,1
143,group,cheered,audience,cheer,group audience,1
144,audience,cheered,conductor,cheer,audience conductor,1
145,crowd,cheered,victories,cheer,crowd victories,1
146,capture,cheered,troops,cheer,capture troops,1
147,crowd,cheered,election,cheer,crowd election,1
148,spectators,cheer,skiers,cheer,spectators skiers,1
149,students,cheered,toplessness,cheer,students toplessness,1
150,crowds,cheered,effort,cheer,crowds effort,1
151,crowd,cheered,youngster,cheer,crowd youngster,1
152,thousands,cheered,progress,cheer,thousands progress,1
153,song,cheered,masses,cheer,song masses,1
154,fans,cheer,teams,cheer,fans teams,1
155,crowd,cheered,medallist,cheer,crowd medallist,1
156,soldiers,cheering,farmers,cheer,soldiers farmers,1
157,crowds,cheer,victory,cheer,crowds victory,1
158,crowd,cheered,victor,cheer,crowd victor,1
159,delegates,cheered,vote,cheer,delegates vote,1
160,rest,cheered,comrades,cheer,rest comrades,1
161,whites,cheered,assailants,cheer,whites assailants,1
162,public,cheers,defiance,cheer,public defiance,1
163,crowd,cheers,name,cheer,crowd name,1
164,crowd,cheered,hit,cheer,crowd hit,1
165,people,cheered,effort,cheer,people effort,1
166,friends,cheered,cry,cheer,friends cry,1
167,citizens,cheered,requests,cheer,citizens requests,1
168,fans,cheering,airhorns,cheer,fans airhorns,1
