,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,trains,collided,head,collide,trains head,6
1,trains,collide,head,collide,trains head,6
2,trains,collided,head,collide,trains head,6
3,trains,collided,head,collide,trains head,6
4,trains,collided,head,collide,trains head,6
5,trains,collided,head,collide,trains head,6
6,car,collided,head,collide,car head,3
7,car,collided,head,collide,car head,3
8,car,collided,head,collide,car head,3
9,winds,collide,material,collide,winds material,2
10,vehicles,collided,head,collide,vehicles head,2
11,destroyer,collided,ships,collide,destroyer ships,2
12,aircraft,collided,control,collide,aircraft control,2
13,vehicles,collided,head,collide,vehicles head,2
14,cars,collided,turn,collide,cars turn,2
15,two,collided,levels,collide,two levels,2
16,two,collided,levels,collide,two levels,2
17,winds,collide,material,collide,winds material,2
18,aircraft,collided,communication,collide,aircraft communication,2
19,vessels,collided,damage,collide,vessels damage,2
20,vessels,collided,damage,collide,vessels damage,2
21,ships,collided,side,collide,ships side,2
22,cars,collided,turn,collide,cars turn,2
23,ships,collided,side,collide,ships side,2
24,ship,collided,damage,collide,ship damage,2
25,destroyer,collided,ships,collide,destroyer ships,2
26,ship,collided,damage,collide,ship damage,2
27,aircraft,collided,control,collide,aircraft control,2
28,aircraft,collided,communication,collide,aircraft communication,2
29,destroyer,collided,damage,collide,destroyer damage,2
30,destroyer,collided,damage,collide,destroyer damage,2
31,pair,collided,move,collide,pair move,1
32,car,collided,crashwall,collide,car crashwall,1
33,tanker,collided,fire,collide,tanker fire,1
34,two,collided,move,collide,two move,1
35,vessel,collided,damage,collide,vessel damage,1
36,ships,collided,mainsail,collide,ships mainsail,1
37,trains,collided,east,collide,trains east,1
38,trains,collided,line,collide,trains line,1
39,cars,collided,signals,collide,cars signals,1
40,trains,collided,west,collide,trains west,1
41,truck,collided,injuries,collide,truck injuries,1
42,ships,collided,light,collide,ships light,1
43,two,collide,feet,collide,two feet,1
44,train,collided,train,collide,train train,1
45,galaxies,collide,encounters,collide,galaxies encounters,1
46,aircraft,collided,power,collide,aircraft power,1
47,particles,collide,hole,collide,particles hole,1
48,aircraft,collided,people,collide,aircraft people,1
49,planes,collided,engine,collide,planes engine,1
50,fighter,collided,bomber,collide,fighter bomber,1
51,flagship,collided,speed,collide,flagship speed,1
52,electrons,collide,times,collide,electrons times,1
53,ship,collided,brig,collide,ship brig,1
54,prison,collided,individuals,collide,prison individuals,1
55,head,collided,arrest,collide,head arrest,1
56,two,collide,title,collide,two title,1
57,one,collided,pilot,collide,one pilot,1
58,vehicles,collided,path,collide,vehicles path,1
59,referee,collided,cut,collide,referee cut,1
60,much,collide,one,collide,much one,1
61,two,collided,fuel,collide,two fuel,1
62,artworks,collide,elements,collide,artworks elements,1
63,service,collided,head,collide,service head,1
64,side,collided,laps,collide,side laps,1
65,aircraft,collided,opponent,collide,aircraft opponent,1
66,trains,collided,five,collide,trains five,1
67,vessels,collided,vessel,collide,vessels vessel,1
68,vehicle,collided,damage,collide,vehicle damage,1
69,beam,collided,mesons,collide,beam mesons,1
70,drivers,collided,day,collide,drivers day,1
71,car,collided,injuries,collide,car injuries,1
