,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,wasp,stings,spider,sting,wasp spider,2
1,bees,sting,opponents,sting,bees opponents,2
2,bees,sting,opponents,sting,bees opponents,2
3,wasp,stings,spider,sting,wasp spider,2
4,beer,stung,mouth,sting,beer mouth,1
5,workers,sting,intruders,sting,workers intruders,1
6,man,stung,jealousy,sting,man jealousy,1
7,bee,stings,animal,sting,bee animal,1
8,name,stinging,flavour,sting,name flavour,1
9,lot,sting,penis,sting,lot penis,1
10,command,stung,sense,sting,command sense,1
11,crawler,stung,dog,sting,crawler dog,1
12,sweat,stinging,eyes,sting,sweat eyes,1
13,retirement,stung,team,sting,retirement team,1
14,bee,stings,nose,sting,bee nose,1
15,tentacles,sting,prey,sting,tentacles prey,1
16,term,stinging,flavour,sting,term flavour,1
17,something,stings,leg,sting,something leg,1
18,idea,stinging,criticisms,sting,idea criticisms,1
19,group,stung,abdomen,sting,group abdomen,1
20,groups,stung,enemy,sting,groups enemy,1
21,workers,sting,queen,sting,workers queen,1
22,patients,stung,seizures,sting,patients seizures,1
23,gadflies,stinging,bourgeoisie,sting,gadflies bourgeoisie,1
24,species,sting,beings,sting,species beings,1
25,law,stung,interview,sting,law interview,1
26,bee,stung,people,sting,bee people,1
27,fish,sting,swimmers,sting,fish swimmers,1
28,individual,stinging,hairs,sting,individual hairs,1
29,wasp,sting,intruder,sting,wasp intruder,1
30,bear,stung,bee,sting,bear bee,1
31,simple,stinging,imagery,sting,simple imagery,1
32,situation,stung,criticism,sting,situation criticism,1
33,wasps,stung,people,sting,wasps people,1
34,site,stung,yellowjackets,sting,site yellowjackets,1
