,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,male,chases,female,chase,male female,17
1,male,chasing,female,chase,male female,17
2,male,chases,female,chase,male female,17
3,male,chases,female,chase,male female,17
4,male,chases,female,chase,male female,17
5,male,chases,female,chase,male female,17
6,male,chasing,female,chase,male female,17
7,male,chasing,female,chase,male female,17
8,male,chasing,female,chase,male female,17
9,male,chasing,female,chase,male female,17
10,male,chasing,female,chase,male female,17
11,male,chases,female,chase,male female,17
12,male,chases,female,chase,male female,17
13,male,chases,female,chase,male female,17
14,male,chases,female,chase,male female,17
15,male,chases,female,chase,male female,17
16,male,chases,female,chase,male female,17
17,dog,chased,cat,chase,dog cat,9
18,dog,chased,cat,chase,dog cat,9
19,dog,chased,cat,chase,dog cat,9
20,dog,chases,cat,chase,dog cat,9
21,dog,chases,cat,chase,dog cat,9
22,dog,chases,cat,chase,dog cat,9
23,dog,chased,cat,chase,dog cat,9
24,dog,chased,cat,chase,dog cat,9
25,dog,chases,cat,chase,dog cat,9
26,army,chased,army,chase,army army,7
27,army,chased,army,chase,army army,7
28,army,chased,army,chase,army army,7
29,army,chased,army,chase,army army,7
30,army,chased,army,chase,army army,7
31,army,chased,army,chase,army army,7
32,army,chased,army,chase,army army,7
33,males,chase,females,chase,males females,6
34,males,chase,females,chase,males females,6
35,males,chasing,females,chase,males females,6
36,males,chase,females,chase,males females,6
37,males,chase,females,chase,males females,6
38,males,chase,females,chase,males females,6
39,dolphins,chase,fish,chase,dolphins fish,5
40,dolphins,chase,fish,chase,dolphins fish,5
41,cat,chased,mouse,chase,cat mouse,5
42,cat,chased,mouse,chase,cat mouse,5
43,dolphins,chase,fish,chase,dolphins fish,5
44,hare,chasing,dog,chase,hare dog,5
45,cat,chases,mouse,chase,cat mouse,5
46,hare,chased,dog,chase,hare dog,5
47,cat,chasing,mouse,chase,cat mouse,5
48,dolphins,chased,fish,chase,dolphins fish,5
49,cat,chases,mouse,chase,cat mouse,5
50,hare,chasing,dog,chase,hare dog,5
51,hare,chasing,dog,chase,hare dog,5
52,dolphins,chase,fish,chase,dolphins fish,5
53,hare,chasing,dog,chase,hare dog,5
54,club,chased,promotion,chase,club promotion,4
55,cat,chases,rat,chase,cat rat,4
56,club,chased,promotion,chase,club promotion,4
57,club,chased,promotion,chase,club promotion,4
58,cat,chases,rat,chase,cat rat,4
59,cat,chased,rat,chase,cat rat,4
60,club,chases,promotion,chase,club promotion,4
61,cat,chased,rat,chase,cat rat,4
62,squadron,chased,vessels,chase,squadron vessels,3
63,squadron,chased,squadron,chase,squadron squadron,3
64,pirates,chasing,women,chase,pirates women,3
65,males,chase,males,chase,males males,3
66,squadron,chased,squadron,chase,squadron squadron,3
67,boy,chased,ball,chase,boy ball,3
68,students,chased,students,chase,students students,3
69,males,chase,males,chase,males males,3
70,boy,chased,ball,chase,boy ball,3
71,students,chased,students,chase,students students,3
72,pirates,chased,women,chase,pirates women,3
73,fleet,chased,squadron,chase,fleet squadron,3
74,ships,chased,frigates,chase,ships frigates,3
75,fleet,chased,squadron,chase,fleet squadron,3
76,dogs,chasing,rabbit,chase,dogs rabbit,3
77,squadron,chased,vessels,chase,squadron vessels,3
