,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,place,match,place,match,place place,161
1,place,match,place,match,place place,161
2,place,match,place,match,place place,161
3,place,match,place,match,place place,161
4,place,match,place,match,place place,161
5,place,match,place,match,place place,161
6,place,match,place,match,place place,161
7,place,match,place,match,place place,161
8,place,match,place,match,place place,161
9,place,match,place,match,place place,161
10,place,match,place,match,place place,161
11,place,match,place,match,place place,161
12,place,match,place,match,place place,161
13,place,match,place,match,place place,161
14,place,match,place,match,place place,161
15,place,match,place,match,place place,161
16,place,match,place,match,place place,161
17,place,match,place,match,place place,161
18,place,match,place,match,place place,161
19,place,match,place,match,place place,161
20,place,match,place,match,place place,161
21,place,match,place,match,place place,161
22,place,match,place,match,place place,161
23,place,match,place,match,place place,161
24,place,match,place,match,place place,161
25,place,match,place,match,place place,161
26,place,match,place,match,place place,161
27,place,match,place,match,place place,161
28,place,match,place,match,place place,161
29,place,match,place,match,place place,161
30,place,match,place,match,place place,161
31,place,match,place,match,place place,161
32,place,match,place,match,place place,161
33,place,match,place,match,place place,161
34,place,match,place,match,place place,161
35,place,match,place,match,place place,161
36,place,match,place,match,place place,161
37,place,match,place,match,place place,161
38,place,match,place,match,place place,161
39,place,match,place,match,place place,161
40,place,match,place,match,place place,161
41,place,match,place,match,place place,161
42,place,match,place,match,place place,161
43,place,match,place,match,place place,161
44,place,match,place,match,place place,161
45,place,match,place,match,place place,161
46,place,match,place,match,place place,161
47,place,match,place,match,place place,161
48,place,match,place,match,place place,161
49,place,match,place,match,place place,161
50,place,match,place,match,place place,161
51,place,match,place,match,place place,161
52,place,match,place,match,place place,161
53,place,match,place,match,place place,161
54,place,match,place,match,place place,161
55,place,match,place,match,place place,161
56,place,match,place,match,place place,161
57,place,match,place,match,place place,161
58,place,match,place,match,place place,161
59,place,match,place,match,place place,161
60,place,match,place,match,place place,161
61,place,match,place,match,place place,161
62,place,match,place,match,place place,161
63,place,match,place,match,place place,161
64,place,match,place,match,place place,161
65,place,match,place,match,place place,161
66,place,match,place,match,place place,161
67,place,match,place,match,place place,161
68,place,match,place,match,place place,161
69,place,match,place,match,place place,161
70,place,match,place,match,place place,161
71,place,match,place,match,place place,161
72,place,match,place,match,place place,161
73,place,match,place,match,place place,161
74,place,match,place,match,place place,161
75,place,match,place,match,place place,161
76,place,match,place,match,place place,161
77,place,match,place,match,place place,161
78,place,match,place,match,place place,161
79,place,match,place,match,place place,161
80,place,match,place,match,place place,161
81,place,match,place,match,place place,161
82,place,match,place,match,place place,161
83,place,match,place,match,place place,161
84,place,match,place,match,place place,161
85,place,match,place,match,place place,161
86,place,match,place,match,place place,161
87,place,match,place,match,place place,161
88,place,match,place,match,place place,161
89,place,match,place,match,place place,161
90,place,match,place,match,place place,161
91,place,match,place,match,place place,161
92,place,match,place,match,place place,161
93,place,match,place,match,place place,161
94,place,match,place,match,place place,161
95,place,match,place,match,place place,161
96,place,match,place,match,place place,161
97,place,match,place,match,place place,161
98,place,match,place,match,place place,161
99,place,match,place,match,place place,161
100,place,match,place,match,place place,161
101,place,match,place,match,place place,161
102,place,match,place,match,place place,161
103,place,match,place,match,place place,161
104,place,match,place,match,place place,161
105,place,match,place,match,place place,161
106,place,match,place,match,place place,161
107,place,match,place,match,place place,161
108,place,match,place,match,place place,161
109,place,match,place,match,place place,161
110,place,match,place,match,place place,161
111,place,match,place,match,place place,161
112,place,match,place,match,place place,161
113,place,match,place,match,place place,161
114,place,match,place,match,place place,161
115,place,match,place,match,place place,161
116,place,match,place,match,place place,161
117,place,match,place,match,place place,161
118,place,match,place,match,place place,161
119,place,match,place,match,place place,161
120,place,match,place,match,place place,161
121,place,match,place,match,place place,161
122,place,match,place,match,place place,161
123,place,match,place,match,place place,161
124,place,match,place,match,place place,161
125,place,match,place,match,place place,161
126,place,match,place,match,place place,161
127,place,match,place,match,place place,161
128,place,match,place,match,place place,161
129,place,match,place,match,place place,161
130,place,match,place,match,place place,161
131,place,match,place,match,place place,161
132,place,match,place,match,place place,161
133,place,match,place,match,place place,161
134,place,match,place,match,place place,161
135,place,match,place,match,place place,161
136,place,match,place,match,place place,161
137,place,match,place,match,place place,161
138,place,match,place,match,place place,161
139,place,match,place,match,place place,161
140,place,match,place,match,place place,161
141,place,match,place,match,place place,161
142,place,match,place,match,place place,161
143,place,match,place,match,place place,161
144,place,match,place,match,place place,161
145,place,match,place,match,place place,161
146,place,match,place,match,place place,161
147,place,match,place,match,place place,161
148,place,match,place,match,place place,161
149,place,match,place,match,place place,161
150,place,match,place,match,place place,161
151,place,match,place,match,place place,161
152,place,match,place,match,place place,161
153,place,match,place,match,place place,161
154,place,match,place,match,place place,161
155,place,match,place,match,place place,161
156,place,match,place,match,place place,161
157,place,match,place,match,place place,161
158,place,match,place,match,place place,161
159,place,match,place,match,place place,161
160,place,match,place,match,place place,161
161,spectrum,matches,classification,match,spectrum classification,60
162,spectrum,matches,classification,match,spectrum classification,60
163,spectrum,matches,classification,match,spectrum classification,60
164,spectrum,matches,classification,match,spectrum classification,60
165,spectrum,matches,classification,match,spectrum classification,60
166,spectrum,matches,classification,match,spectrum classification,60
167,spectrum,matches,classification,match,spectrum classification,60
