,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,passengers,board,train,board,passengers train,18
1,passengers,boarded,train,board,passengers train,18
2,passengers,boarded,train,board,passengers train,18
3,passengers,boarded,train,board,passengers train,18
4,passengers,board,train,board,passengers train,18
5,passengers,boarded,train,board,passengers train,18
6,passengers,board,train,board,passengers train,18
7,passengers,board,train,board,passengers train,18
8,passengers,board,train,board,passengers train,18
9,passengers,board,train,board,passengers train,18
10,passengers,boarded,train,board,passengers train,18
11,passengers,boarded,train,board,passengers train,18
12,passengers,boarded,train,board,passengers train,18
13,passengers,board,train,board,passengers train,18
14,passengers,board,train,board,passengers train,18
15,passengers,board,train,board,passengers train,18
16,passengers,board,train,board,passengers train,18
17,passengers,board,train,board,passengers train,18
18,group,boarded,ship,board,group ship,13
19,group,boarded,ship,board,group ship,13
20,group,boards,ship,board,group ship,13
21,people,boarded,trains,board,people trains,13
22,men,boarded,train,board,men train,13
23,men,boarded,train,board,men train,13
24,group,boarded,ship,board,group ship,13
25,people,board,trains,board,people trains,13
26,men,boarded,train,board,men train,13
27,men,boarded,train,board,men train,13
28,people,boarded,trains,board,people trains,13
29,people,boarded,trains,board,people trains,13
30,group,boarded,ship,board,group ship,13
31,men,boarded,train,board,men train,13
32,people,board,trains,board,people trains,13
33,people,boarded,trains,board,people trains,13
34,men,boarded,train,board,men train,13
35,people,boarded,trains,board,people trains,13
36,people,boarded,trains,board,people trains,13
37,men,boarded,train,board,men train,13
38,group,boarded,ship,board,group ship,13
39,group,boarded,ship,board,group ship,13
40,people,board,trains,board,people trains,13
41,people,boarded,trains,board,people trains,13
42,group,boarded,ship,board,group ship,13
43,people,board,trains,board,people trains,13
44,men,boarded,train,board,men train,13
45,men,boarded,train,board,men train,13
46,men,boarded,train,board,men train,13
47,men,boarded,train,board,men train,13
48,group,boarded,ship,board,group ship,13
49,group,boarded,ship,board,group ship,13
50,people,boarded,trains,board,people trains,13
51,group,boards,ship,board,group ship,13
52,group,boarded,ship,board,group ship,13
53,group,boarded,ship,board,group ship,13
54,men,boarded,train,board,men train,13
55,people,board,trains,board,people trains,13
56,men,boarded,train,board,men train,13
57,average,boarded,trains,board,average trains,11
58,average,boarded,trains,board,average trains,11
59,average,boarded,trains,board,average trains,11
60,average,boarded,trains,board,average trains,11
61,average,boarded,trains,board,average trains,11
62,average,boarded,trains,board,average trains,11
63,average,boarded,trains,board,average trains,11
64,average,boarded,trains,board,average trains,11
65,average,boarded,trains,board,average trains,11
66,average,boarded,trains,board,average trains,11
67,average,boarded,trains,board,average trains,11
68,passengers,board,plane,board,passengers plane,10
69,passengers,boarded,aircraft,board,passengers aircraft,10
70,passengers,board,plane,board,passengers plane,10
71,passengers,boarded,aircraft,board,passengers aircraft,10
72,passengers,boarded,aircraft,board,passengers aircraft,10
73,passengers,boarded,plane,board,passengers plane,10
74,passengers,boarded,aircraft,board,passengers aircraft,10
75,passengers,boarded,aircraft,board,passengers aircraft,10
76,passengers,boarded,plane,board,passengers plane,10
77,passengers,board,aircraft,board,passengers aircraft,10
78,passengers,boarded,plane,board,passengers plane,10
79,passengers,board,aircraft,board,passengers aircraft,10
80,passengers,board,plane,board,passengers plane,10
81,passengers,boarded,aircraft,board,passengers aircraft,10
82,passengers,boarded,plane,board,passengers plane,10
83,passengers,boarded,plane,board,passengers plane,10
84,passengers,boarded,plane,board,passengers plane,10
85,passengers,board,plane,board,passengers plane,10
86,passengers,boarded,aircraft,board,passengers aircraft,10
87,passengers,boarded,aircraft,board,passengers aircraft,10
88,passengers,board,trains,board,passengers trains,9
89,passengers,board,trains,board,passengers trains,9
90,passengers,boarded,trains,board,passengers trains,9
91,passengers,boarded,trains,board,passengers trains,9
92,passengers,boarded,trains,board,passengers trains,9
93,passengers,board,trains,board,passengers trains,9
94,passengers,board,trains,board,passengers trains,9
95,passengers,boarded,trains,board,passengers trains,9
96,passengers,board,trains,board,passengers trains,9
97,pirates,boarded,ship,board,pirates ship,8
98,riders,board,train,board,riders train,8
99,men,boarded,ship,board,men ship,8
100,crew,boarded,ship,board,crew ship,8
101,men,boarded,ship,board,men ship,8
102,crew,boarded,vessel,board,crew vessel,8
103,riders,board,train,board,riders train,8
104,men,boarded,ship,board,men ship,8
105,men,boarded,ship,board,men ship,8
106,riders,board,train,board,riders train,8
107,crew,boarded,ship,board,crew ship,8
108,pirates,boarded,ship,board,pirates ship,8
109,crew,boarded,vessel,board,crew vessel,8
110,men,boarded,ship,board,men ship,8
111,pirates,boarded,ship,board,pirates ship,8
112,pirates,board,ship,board,pirates ship,8
113,soldiers,boarded,ship,board,soldiers ship,8
114,riders,board,train,board,riders train,8
115,riders,board,train,board,riders train,8
116,riders,board,train,board,riders train,8
117,crew,boarded,vessel,board,crew vessel,8
118,soldiers,board,ship,board,soldiers ship,8
119,crew,boarded,ship,board,crew ship,8
120,soldiers,boarded,ship,board,soldiers ship,8
121,soldiers,boarded,ship,board,soldiers ship,8
122,group,boarded,train,board,group train,8
123,men,boarded,ship,board,men ship,8
124,group,boarded,train,board,group train,8
125,pirates,boarded,ship,board,pirates ship,8
126,pirates,board,ship,board,pirates ship,8
127,riders,board,train,board,riders train,8
128,soldiers,boarded,ship,board,soldiers ship,8
129,crew,boarded,ship,board,crew ship,8
130,crew,boarded,vessel,board,crew vessel,8
131,soldiers,board,ship,board,soldiers ship,8
132,crew,boarded,ship,board,crew ship,8
133,pirates,boarded,ship,board,pirates ship,8
134,riders,board,train,board,riders train,8
135,group,boarded,train,board,group train,8
136,group,boarded,train,board,group train,8
137,men,boarded,ship,board,men ship,8
138,crew,boarded,vessel,board,crew vessel,8
139,crew,boarded,vessel,board,crew vessel,8
140,crew,boarded,ship,board,crew ship,8
141,group,board,train,board,group train,8
142,crew,boarded,ship,board,crew ship,8
143,men,boarded,ship,board,men ship,8
144,crew,boarded,ship,board,crew ship,8
145,group,boarded,train,board,group train,8
146,pirates,boarded,ship,board,pirates ship,8
147,soldiers,boarded,ship,board,soldiers ship,8
148,soldiers,boarded,ship,board,soldiers ship,8
149,crew,boarding,vessel,board,crew vessel,8
150,group,boards,train,board,group train,8
151,group,boards,train,board,group train,8
152,crew,boarding,vessel,board,crew vessel,8
153,squadron,boarded,train,board,squadron train,7
154,residents,boarded,windows,board,residents windows,7
155,residents,boarded,windows,board,residents windows,7
156,squadron,boarded,train,board,squadron train,7
157,residents,boarded,windows,board,residents windows,7
158,squadron,boarded,train,board,squadron train,7
159,troops,boarding,ships,board,troops ships,7
160,troops,boarding,ships,board,troops ships,7
161,residents,boarded,windows,board,residents windows,7
162,party,boarded,ship,board,party ship,7
163,troops,boarded,ships,board,troops ships,7
164,party,boarded,ship,board,party ship,7
165,residents,boarded,windows,board,residents windows,7
166,troops,boarded,ships,board,troops ships,7
167,residents,boarded,windows,board,residents windows,7
168,troops,boarded,ships,board,troops ships,7
169,party,boarded,ship,board,party ship,7
170,squadron,boarded,train,board,squadron train,7
171,squadron,boarded,train,board,squadron train,7
172,party,board,ship,board,party ship,7
173,party,boarded,ship,board,party ship,7
174,squadron,boarded,train,board,squadron train,7
175,troops,boarded,ships,board,troops ships,7
176,troops,boarded,ships,board,troops ships,7
177,residents,boarded,windows,board,residents windows,7
178,party,boarded,ship,board,party ship,7
179,squadron,boarded,train,board,squadron train,7
180,party,boarded,ship,board,party ship,7
181,regiment,boarded,steamship,board,regiment steamship,6
182,regiment,boarded,steamship,board,regiment steamship,6
183,forces,boarded,ship,board,forces ship,6
184,men,boarded,ships,board,men ships,6
185,regiment,boarded,steamship,board,regiment steamship,6
186,men,boarded,ships,board,men ships,6
187,commandos,boarded,ship,board,commandos ship,6
188,regiment,boarded,steamship,board,regiment steamship,6
189,men,boarded,ships,board,men ships,6
190,commandos,boarded,ship,board,commandos ship,6
191,forces,boarded,ship,board,forces ship,6
192,regiment,boarded,steamship,board,regiment steamship,6
193,commandos,boarded,ship,board,commandos ship,6
194,commandos,boarded,ship,board,commandos ship,6
195,men,boarded,ships,board,men ships,6
196,forces,boarded,ship,board,forces ship,6
197,forces,boarded,ship,board,forces ship,6
198,men,boarded,ships,board,men ships,6
199,commandos,boarded,ship,board,commandos ship,6
200,commandos,boarded,ship,board,commandos ship,6
201,regiment,boarded,steamship,board,regiment steamship,6
202,forces,boarded,ship,board,forces ship,6
203,men,boarded,ships,board,men ships,6
204,forces,boarded,ship,board,forces ship,6
205,boys,boarding,school,board,boys school,5
206,team,boarded,train,board,team train,5
207,passengers,boarded,flight,board,passengers flight,5
208,authorities,boarded,ship,board,authorities ship,5
209,team,boards,train,board,team train,5
210,boys,boarding,school,board,boys school,5
211,passengers,boarded,flight,board,passengers flight,5
212,unit,boarded,steamer,board,unit steamer,5
213,authorities,boarded,ship,board,authorities ship,5
214,authorities,boarded,ship,board,authorities ship,5
215,team,boarded,train,board,team train,5
216,pilot,boarded,ship,board,pilot ship,5
217,unit,boarded,steamer,board,unit steamer,5
218,unit,boarded,steamer,board,unit steamer,5
219,passengers,boarded,flight,board,passengers flight,5
220,pilot,boarded,ship,board,pilot ship,5
221,authorities,boarded,ship,board,authorities ship,5
222,passengers,boarded,flight,board,passengers flight,5
223,team,boarded,train,board,team train,5
224,authorities,boarded,ship,board,authorities ship,5
225,team,board,ship,board,team ship,5
226,team,boards,ship,board,team ship,5
227,team,boarded,train,board,team train,5
228,boys,boarding,school,board,boys school,5
229,team,boarded,ship,board,team ship,5
230,boys,boarding,school,board,boys school,5
231,passengers,boarded,flight,board,passengers flight,5
232,unit,boarded,steamer,board,unit steamer,5
233,team,boarded,ship,board,team ship,5
234,pilot,boarded,ship,board,pilot ship,5
235,team,boards,ship,board,team ship,5
236,pilot,boarded,ship,board,pilot ship,5
237,boys,boarding,school,board,boys school,5
238,unit,boarded,steamer,board,unit steamer,5
239,pilot,boarded,ship,board,pilot ship,5
240,family,boarded,train,board,family train,4
241,family,boarded,train,board,family train,4
242,man,boards,bus,board,man bus,4
243,troops,board,trains,board,troops trains,4
244,pirates,boarded,vessel,board,pirates vessel,4
245,family,boarded,train,board,family train,4
246,officer,boarded,ship,board,officer ship,4
247,people,boarded,ship,board,people ship,4
248,officer,boards,ship,board,officer ship,4
249,passengers,boarded,ship,board,passengers ship,4
250,men,boarded,trains,board,men trains,4
251,passengers,boarded,ferries,board,passengers ferries,4
252,hijackers,board,plane,board,hijackers plane,4
253,men,boarded,trains,board,men trains,4
254,man,boarded,bus,board,man bus,4
255,troops,boarded,trains,board,troops trains,4
256,men,boarded,trains,board,men trains,4
257,riders,boarded,one,board,riders one,4
258,riders,board,one,board,riders one,4
259,natives,boarded,schooner,board,natives schooner,4
260,passengers,boarded,ferries,board,passengers ferries,4
261,people,boarded,ship,board,people ship,4
262,troops,boarded,trains,board,troops trains,4
263,officer,boards,ship,board,officer ship,4
264,natives,boarded,schooner,board,natives schooner,4
265,pirates,boarded,vessel,board,pirates vessel,4
266,hijackers,boarded,plane,board,hijackers plane,4
267,man,boarded,bus,board,man bus,4
268,passengers,boarded,ferries,board,passengers ferries,4
269,hijackers,boarded,plane,board,hijackers plane,4
270,riders,board,one,board,riders one,4
271,passengers,boarded,ferries,board,passengers ferries,4
272,people,boarding,ship,board,people ship,4
273,passengers,boarded,ship,board,passengers ship,4
274,natives,boarded,schooner,board,natives schooner,4
275,officer,boarded,ship,board,officer ship,4
276,men,boarded,trains,board,men trains,4
277,pirates,board,vessel,board,pirates vessel,4
278,natives,boarded,schooner,board,natives schooner,4
279,people,boarded,ship,board,people ship,4
280,family,boarded,train,board,family train,4
281,pirates,boarded,vessel,board,pirates vessel,4
282,passengers,board,ship,board,passengers ship,4
283,man,boarded,bus,board,man bus,4
284,passengers,boarded,ship,board,passengers ship,4
285,riders,board,one,board,riders one,4
286,hijackers,boarded,plane,board,hijackers plane,4
287,troops,boarded,trains,board,troops trains,4
288,people,boarded,buildings,board,people buildings,3
289,guests,board,trains,board,guests trains,3
290,guests,board,trains,board,guests trains,3
291,visitors,boarded,train,board,visitors train,3
292,guests,board,trains,board,guests trains,3
293,regiment,boarded,steamer,board,regiment steamer,3
294,men,boarded,gliders,board,men gliders,3
295,passengers,board,buses,board,passengers buses,3
296,battalion,boarded,trains,board,battalion trains,3
297,bomber,boarded,bus,board,bomber bus,3
298,visitors,boarded,train,board,visitors train,3
299,riders,board,vehicle,board,riders vehicle,3
300,girls,boarding,school,board,girls school,3
301,regiment,board,steamer,board,regiment steamer,3
302,person,boards,aircraft,board,person aircraft,3
303,soldiers,boarded,ships,board,soldiers ships,3
304,soldiers,boarded,trains,board,soldiers trains,3
305,survivors,boarded,boat,board,survivors boat,3
306,troops,boarded,ship,board,troops ship,3
307,player,boards,ship,board,player ship,3
308,party,boarded,vessel,board,party vessel,3
309,person,boards,aircraft,board,person aircraft,3
310,men,boarded,schooner,board,men schooner,3
311,passengers,boarding,steamers,board,passengers steamers,3
312,members,boarded,barge,board,members barge,3
313,men,boarded,bus,board,men bus,3
314,house,boarded,house,board,house house,3
315,couple,boarded,ship,board,couple ship,3
316,men,boarded,vessel,board,men vessel,3
317,regiment,boarded,train,board,regiment train,3
318,soldiers,boarded,train,board,soldiers train,3
319,girls,boarding,school,board,girls school,3
320,group,boarded,bus,board,group bus,3
321,family,boarded,ship,board,family ship,3
322,group,boards,bus,board,group bus,3
323,battalion,boarded,trains,board,battalion trains,3
324,visitors,boarding,train,board,visitors train,3
325,people,boarded,bus,board,people bus,3
326,riders,board,vehicle,board,riders vehicle,3
327,crew,boarded,lifeboat,board,crew lifeboat,3
328,men,boarded,gliders,board,men gliders,3
329,player,boarded,ship,board,player ship,3
330,person,boards,aircraft,board,person aircraft,3
331,couple,boarded,ship,board,couple ship,3
332,internees,boarded,ship,board,internees ship,3
333,regiment,boarded,steamer,board,regiment steamer,3
334,group,boards,bus,board,group bus,3
335,people,boarded,bus,board,people bus,3
336,men,boarded,vessel,board,men vessel,3
337,passengers,board,bus,board,passengers bus,3
338,men,boarded,gliders,board,men gliders,3
339,soldiers,boarded,ships,board,soldiers ships,3
340,people,boarded,bus,board,people bus,3
341,house,boarded,house,board,house house,3
342,crew,boarded,vessels,board,crew vessels,3
343,party,boarded,vessel,board,party vessel,3
344,robbers,boarded,train,board,robbers train,3
345,expedition,boarded,ships,board,expedition ships,3
346,robbers,board,train,board,robbers train,3
347,internees,boarded,ship,board,internees ship,3
348,battalion,boarded,trains,board,battalion trains,3
349,passengers,board,buses,board,passengers buses,3
350,men,boarded,vessel,board,men vessel,3
351,crew,boarded,lifeboat,board,crew lifeboat,3
352,band,boarded,plane,board,band plane,3
353,riders,board,cars,board,riders cars,3
354,woman,boards,train,board,woman train,3
355,riders,boarded,cars,board,riders cars,3
356,repatriated,boarded,ships,board,repatriated ships,3
357,passengers,boarding,steamers,board,passengers steamers,3
358,bomber,boarded,bus,board,bomber bus,3
359,men,boarded,bus,board,men bus,3
360,robbers,boarded,train,board,robbers train,3
361,family,boarded,ship,board,family ship,3
362,men,boarded,bus,board,men bus,3
363,couple,board,train,board,couple train,3
364,people,boarded,buildings,board,people buildings,3
365,soldiers,boarded,trains,board,soldiers trains,3
366,riders,board,vehicle,board,riders vehicle,3
367,couple,boarded,train,board,couple train,3
368,family,boarded,ship,board,family ship,3
369,people,board,homes,board,people homes,3
370,band,boarded,plane,board,band plane,3
371,passengers,board,buses,board,passengers buses,3
372,repatriated,boarded,ships,board,repatriated ships,3
373,people,boarded,buildings,board,people buildings,3
374,crew,boarded,vessels,board,crew vessels,3
375,couple,boarded,ship,board,couple ship,3
376,regiment,boarded,train,board,regiment train,3
377,repatriated,boarded,ships,board,repatriated ships,3
378,troops,boarded,ship,board,troops ship,3
379,soldiers,boarded,train,board,soldiers train,3
380,woman,boarding,train,board,woman train,3
