,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,park,protects,part,protect,park part,17
1,park,protects,part,protect,park part,17
2,park,protects,part,protect,park part,17
3,park,protects,part,protect,park part,17
4,park,protects,part,protect,park part,17
5,park,protects,part,protect,park part,17
6,park,protects,part,protect,park part,17
7,park,protects,part,protect,park part,17
8,park,protects,part,protect,park part,17
9,park,protects,part,protect,park part,17
10,park,protects,part,protect,park part,17
11,park,protects,part,protect,park part,17
12,park,protects,part,protect,park part,17
13,park,protects,part,protect,park part,17
14,park,protects,part,protect,park part,17
15,park,protects,part,protect,park part,17
16,park,protecting,part,protect,park part,17
17,park,protects,area,protect,park area,16
18,park,protected,area,protect,park area,16
19,park,protects,area,protect,park area,16
20,park,protects,area,protect,park area,16
21,park,protects,area,protect,park area,16
22,park,protects,area,protect,park area,16
23,park,protects,area,protect,park area,16
24,park,protects,area,protect,park area,16
25,park,protects,area,protect,park area,16
26,park,protects,area,protect,park area,16
27,park,protects,area,protect,park area,16
28,park,protects,area,protect,park area,16
29,park,protects,area,protect,park area,16
30,park,protects,area,protect,park area,16
31,park,protects,area,protect,park area,16
32,park,protects,area,protect,park area,16
33,male,protects,eggs,protect,male eggs,15
34,male,protects,eggs,protect,male eggs,15
35,male,protects,eggs,protect,male eggs,15
36,male,protects,eggs,protect,male eggs,15
37,male,protects,eggs,protect,male eggs,15
38,male,protects,eggs,protect,male eggs,15
39,male,protects,eggs,protect,male eggs,15
40,male,protects,eggs,protect,male eggs,15
41,male,protects,eggs,protect,male eggs,15
42,male,protects,eggs,protect,male eggs,15
43,male,protects,eggs,protect,male eggs,15
44,male,protects,eggs,protect,male eggs,15
45,male,protects,eggs,protect,male eggs,15
46,male,protects,eggs,protect,male eggs,15
47,male,protects,eggs,protect,male eggs,15
48,law,protected,right,protect,law right,14
49,law,protects,right,protect,law right,14
50,law,protects,right,protect,law right,14
51,law,protects,right,protect,law right,14
52,law,protects,right,protect,law right,14
53,law,protects,right,protect,law right,14
54,law,protects,right,protect,law right,14
55,law,protects,right,protect,law right,14
56,law,protects,right,protect,law right,14
57,law,protects,right,protect,law right,14
58,law,protects,right,protect,law right,14
59,law,protects,right,protect,law right,14
60,law,protects,right,protect,law right,14
61,law,protects,right,protect,law right,14
62,reserve,protects,area,protect,reserve area,13
63,reserve,protects,area,protect,reserve area,13
64,reserve,protects,area,protect,reserve area,13
65,reserve,protects,area,protect,reserve area,13
66,reserve,protects,area,protect,reserve area,13
67,reserve,protects,area,protect,reserve area,13
68,reserve,protects,area,protect,reserve area,13
69,reserve,protects,area,protect,reserve area,13
70,reserve,protects,area,protect,reserve area,13
71,reserve,protects,area,protect,reserve area,13
72,reserve,protects,area,protect,reserve area,13
73,reserve,protects,area,protect,reserve area,13
74,reserve,protects,area,protect,reserve area,13
75,constitution,protects,freedom,protect,constitution freedom,11
76,law,protected,rights,protect,law rights,11
77,law,protected,rights,protect,law rights,11
78,constitution,protects,freedom,protect,constitution freedom,11
79,law,protects,rights,protect,law rights,11
80,law,protects,rights,protect,law rights,11
81,law,protects,rights,protect,law rights,11
82,constitution,protects,freedom,protect,constitution freedom,11
83,constitution,protect,freedom,protect,constitution freedom,11
84,constitution,protects,freedom,protect,constitution freedom,11
85,law,protects,rights,protect,law rights,11
86,law,protects,rights,protect,law rights,11
87,constitution,protects,freedom,protect,constitution freedom,11
88,law,protects,rights,protect,law rights,11
89,law,protects,rights,protect,law rights,11
90,constitution,protects,freedom,protect,constitution freedom,11
91,constitution,protects,freedom,protect,constitution freedom,11
92,constitution,protected,freedom,protect,constitution freedom,11
93,law,protects,rights,protect,law rights,11
94,law,protects,rights,protect,law rights,11
95,constitution,protects,freedom,protect,constitution freedom,11
96,constitution,protects,freedom,protect,constitution freedom,11
97,bill,protect,exercise,protect,bill exercise,10
98,bill,protect,exercise,protect,bill exercise,10
99,plates,protected,base,protect,plates base,10
100,plates,protected,base,protect,plates base,10
101,bill,protect,exercise,protect,bill exercise,10
102,plates,protected,base,protect,plates base,10
103,plates,protected,base,protect,plates base,10
104,bill,protect,exercise,protect,bill exercise,10
105,bill,protect,exercise,protect,bill exercise,10
106,bill,protect,exercise,protect,bill exercise,10
107,plates,protected,base,protect,plates base,10
108,bill,protect,exercise,protect,bill exercise,10
109,plates,protected,base,protect,plates base,10
110,bill,protect,exercise,protect,bill exercise,10
111,bill,protect,exercise,protect,bill exercise,10
112,plates,protected,base,protect,plates base,10
113,plates,protected,base,protect,plates base,10
114,plates,protected,base,protect,plates base,10
115,bill,protect,exercise,protect,bill exercise,10
116,plates,protected,base,protect,plates base,10
117,park,protects,habitat,protect,park habitat,9
118,government,protect,right,protect,government right,9
119,constitution,protected,rights,protect,constitution rights,9
120,constitution,protects,rights,protect,constitution rights,9
121,government,protects,right,protect,government right,9
122,park,protects,sources,protect,park sources,9
123,park,protects,sources,protect,park sources,9
124,government,protect,right,protect,government right,9
125,park,protects,sources,protect,park sources,9
126,park,protects,habitat,protect,park habitat,9
127,park,protects,habitat,protect,park habitat,9
128,park,protects,sources,protect,park sources,9
129,constitution,protects,rights,protect,constitution rights,9
130,park,protects,habitat,protect,park habitat,9
131,constitution,protects,rights,protect,constitution rights,9
132,park,protects,habitat,protect,park habitat,9
133,park,protects,sources,protect,park sources,9
134,park,protects,habitat,protect,park habitat,9
135,constitution,protected,rights,protect,constitution rights,9
136,constitution,protects,rights,protect,constitution rights,9
137,park,protects,sources,protect,park sources,9
138,park,protects,sources,protect,park sources,9
139,constitution,protects,rights,protect,constitution rights,9
140,constitution,protected,rights,protect,constitution rights,9
141,government,protects,right,protect,government right,9
142,government,protects,right,protect,government right,9
143,government,protected,right,protect,government right,9
144,government,protects,right,protect,government right,9
145,government,protected,right,protect,government right,9
146,park,protects,habitat,protect,park habitat,9
147,constitution,protected,rights,protect,constitution rights,9
148,government,protects,right,protect,government right,9
149,park,protects,sources,protect,park sources,9
150,park,protects,habitat,protect,park habitat,9
151,park,protects,habitat,protect,park habitat,9
152,park,protects,sources,protect,park sources,9
153,park,protects,species,protect,park species,8
154,constitution,protected,right,protect,constitution right,8
155,state,protects,rights,protect,state rights,8
156,government,protected,merchants,protect,government merchants,8
