,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,aircraft,towed,gliders,tow,aircraft gliders,25
1,aircraft,towed,gliders,tow,aircraft gliders,25
2,aircraft,towed,gliders,tow,aircraft gliders,25
3,aircraft,towed,gliders,tow,aircraft gliders,25
4,aircraft,towed,gliders,tow,aircraft gliders,25
5,aircraft,towed,gliders,tow,aircraft gliders,25
6,aircraft,towed,gliders,tow,aircraft gliders,25
7,aircraft,towed,gliders,tow,aircraft gliders,25
8,aircraft,towed,gliders,tow,aircraft gliders,25
9,aircraft,towed,gliders,tow,aircraft gliders,25
10,aircraft,towed,gliders,tow,aircraft gliders,25
11,aircraft,towed,gliders,tow,aircraft gliders,25
12,aircraft,towed,gliders,tow,aircraft gliders,25
13,aircraft,towed,gliders,tow,aircraft gliders,25
14,aircraft,towed,gliders,tow,aircraft gliders,25
15,aircraft,towed,gliders,tow,aircraft gliders,25
16,aircraft,towed,gliders,tow,aircraft gliders,25
17,aircraft,towed,gliders,tow,aircraft gliders,25
18,aircraft,towed,gliders,tow,aircraft gliders,25
19,aircraft,towed,gliders,tow,aircraft gliders,25
20,aircraft,towed,gliders,tow,aircraft gliders,25
21,aircraft,towed,gliders,tow,aircraft gliders,25
22,aircraft,towed,gliders,tow,aircraft gliders,25
23,aircraft,towed,gliders,tow,aircraft gliders,25
24,aircraft,towed,gliders,tow,aircraft gliders,25
25,unit,towed,gliders,tow,unit gliders,7
26,unit,towed,gliders,tow,unit gliders,7
27,unit,towed,gliders,tow,unit gliders,7
28,unit,towed,gliders,tow,unit gliders,7
29,unit,towed,gliders,tow,unit gliders,7
30,unit,towed,gliders,tow,unit gliders,7
31,unit,towed,gliders,tow,unit gliders,7
32,tugboat,towed,ship,tow,tugboat ship,4
33,boats,tow,ships,tow,boats ships,4
34,tugboat,towed,ship,tow,tugboat ship,4
35,boats,tow,ships,tow,boats ships,4
36,tugboat,towed,ship,tow,tugboat ship,4
37,boats,tow,ships,tow,boats ships,4
38,boats,tow,ships,tow,boats ships,4
39,tugboat,towed,ship,tow,tugboat ship,4
40,police,towed,car,tow,police car,3
41,tug,tow,ship,tow,tug ship,3
42,tug,towed,ship,tow,tug ship,3
43,tug,towed,ship,tow,tug ship,3
44,police,towed,car,tow,police car,3
45,police,towed,car,tow,police car,3
46,rentals,towing,trailer,tow,rentals trailer,2
47,men,towed,boat,tow,men boat,2
48,group,towed,gliders,tow,group gliders,2
49,cutter,towed,party,tow,cutter party,2
50,truck,tow,trailers,tow,truck trailers,2
51,group,towed,bus,tow,group bus,2
52,all,towed,trucks,tow,all trucks,2
53,plane,towed,banner,tow,plane banner,2
54,ship,towed,equipment,tow,ship equipment,2
55,plane,towed,banner,tow,plane banner,2
56,destroyers,towed,lighters,tow,destroyers lighters,2
57,group,towed,bus,tow,group bus,2
