,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,fans,simmering,anger,simmer,fans anger,1
1,discontent,simmered,soldiers,simmer,discontent soldiers,1
2,case,simmered,quantities,simmer,case quantities,1
3,success,simmered,impressive,simmer,success impressive,1
4,interviews,simmering,acrimony,simmer,interviews acrimony,1
5,recipes,simmer,squid,simmer,recipes squid,1
6,detectives,simmering,hostilities,simmer,detectives hostilities,1
7,routines,simmers,desire,simmer,routines desire,1
8,harmonies,simmer,set,simmer,harmonies set,1
9,police,simmers,house,simmer,police house,1
