,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,church,replaced,church,replace,church church,64
1,church,replaces,church,replace,church church,64
2,church,replaced,church,replace,church church,64
3,church,replaced,church,replace,church church,64
4,church,replaced,church,replace,church church,64
5,church,replaced,church,replace,church church,64
6,church,replaced,church,replace,church church,64
7,church,replaced,church,replace,church church,64
8,church,replaced,church,replace,church church,64
9,church,replaced,church,replace,church church,64
10,church,replaced,church,replace,church church,64
11,church,replaced,church,replace,church church,64
12,church,replaced,church,replace,church church,64
13,church,replaced,church,replace,church church,64
14,church,replaced,church,replace,church church,64
15,church,replaced,church,replace,church church,64
16,church,replaced,church,replace,church church,64
17,church,replaced,church,replace,church church,64
18,church,replaced,church,replace,church church,64
19,church,replaced,church,replace,church church,64
20,church,replaced,church,replace,church church,64
21,church,replaced,church,replace,church church,64
22,church,replaced,church,replace,church church,64
23,church,replaced,church,replace,church church,64
24,church,replaced,church,replace,church church,64
25,church,replaced,church,replace,church church,64
26,church,replaced,church,replace,church church,64
27,church,replaced,church,replace,church church,64
28,church,replaced,church,replace,church church,64
29,church,replaced,church,replace,church church,64
30,church,replaced,church,replace,church church,64
31,church,replaced,church,replace,church church,64
32,church,replaced,church,replace,church church,64
33,church,replaced,church,replace,church church,64
34,church,replaced,church,replace,church church,64
35,church,replaced,church,replace,church church,64
36,church,replaced,church,replace,church church,64
37,church,replaced,church,replace,church church,64
38,church,replaced,church,replace,church church,64
39,church,replaced,church,replace,church church,64
40,church,replaced,church,replace,church church,64
41,church,replaced,church,replace,church church,64
42,church,replaced,church,replace,church church,64
43,church,replaced,church,replace,church church,64
44,church,replaced,church,replace,church church,64
45,church,replaced,church,replace,church church,64
46,church,replaced,church,replace,church church,64
47,church,replaced,church,replace,church church,64
48,church,replaced,church,replace,church church,64
49,church,replaced,church,replace,church church,64
50,church,replaced,church,replace,church church,64
51,church,replaced,church,replace,church church,64
52,church,replaced,church,replace,church church,64
53,church,replaced,church,replace,church church,64
54,church,replaced,church,replace,church church,64
55,church,replaced,church,replace,church church,64
56,church,replaced,church,replace,church church,64
57,church,replaced,church,replace,church church,64
58,church,replaced,church,replace,church church,64
59,church,replaces,church,replace,church church,64
60,church,replaced,church,replace,church church,64
61,church,replaced,church,replace,church church,64
62,church,replaced,church,replace,church church,64
63,church,replaced,church,replace,church church,64
64,building,replaced,building,replace,building building,52
65,building,replaced,building,replace,building building,52
66,building,replaced,building,replace,building building,52
67,building,replaced,building,replace,building building,52
68,building,replaced,building,replace,building building,52
69,building,replaced,building,replace,building building,52
70,building,replaced,building,replace,building building,52
71,building,replaced,building,replace,building building,52
72,building,replaced,building,replace,building building,52
73,building,replaces,building,replace,building building,52
74,building,replaced,building,replace,building building,52
75,building,replaced,building,replace,building building,52
76,building,replaced,building,replace,building building,52
77,building,replaced,building,replace,building building,52
78,building,replaced,building,replace,building building,52
79,building,replaced,building,replace,building building,52
80,building,replaced,building,replace,building building,52
81,building,replaced,building,replace,building building,52
82,building,replaced,building,replace,building building,52
83,building,replaced,building,replace,building building,52
84,building,replaced,building,replace,building building,52
85,building,replaced,building,replace,building building,52
86,building,replaced,building,replace,building building,52
87,building,replaced,building,replace,building building,52
88,building,replaced,building,replace,building building,52
