,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,mother,cleaned,houses,clean,mother houses,10
1,mother,cleaned,houses,clean,mother houses,10
2,mother,cleaned,houses,clean,mother houses,10
3,mother,cleaned,houses,clean,mother houses,10
4,mother,cleaned,houses,clean,mother houses,10
5,mother,cleaned,houses,clean,mother houses,10
6,mother,cleaned,houses,clean,mother houses,10
7,mother,cleaned,houses,clean,mother houses,10
8,mother,cleaned,houses,clean,mother houses,10
9,mother,cleaned,houses,clean,mother houses,10
10,volunteers,cleaned,trash,clean,volunteers trash,3
11,volunteers,clean,trash,clean,volunteers trash,3
12,crews,cleaned,debris,clean,crews debris,3
13,volunteers,cleaned,trash,clean,volunteers trash,3
14,crews,cleaned,debris,clean,crews debris,3
15,families,clean,homes,clean,families homes,3
16,families,clean,homes,clean,families homes,3
17,families,clean,homes,clean,families homes,3
18,crews,cleaned,debris,clean,crews debris,3
19,season,cleans,storylines,clean,season storylines,2
20,residents,cleaned,alley,clean,residents alley,2
21,shows,cleaned,hand,clean,shows hand,2
22,staff,cleaned,stop,clean,staff stop,2
23,chef,clean,kitchen,clean,chef kitchen,2
24,caller,cleans,stack,clean,caller stack,2
25,caller,cleans,stack,clean,caller stack,2
26,people,clean,mess,clean,people mess,2
27,state,clean,costs,clean,state costs,2
28,chef,cleans,kitchen,clean,chef kitchen,2
29,people,clean,graves,clean,people graves,2
30,people,clean,houses,clean,people houses,2
31,people,cleaning,car,clean,people car,2
32,bacteria,clean,poisons,clean,bacteria poisons,2
33,bacteria,clean,poisons,clean,bacteria poisons,2
34,remix,cleans,vocal,clean,remix vocal,2
35,congregation,cleaned,bricks,clean,congregation bricks,2
36,cars,cleaned,circuit,clean,cars circuit,2
37,people,clean,homes,clean,people homes,2
38,mother,cleaned,house,clean,mother house,2
39,season,cleans,storylines,clean,season storylines,2
40,workmen,cleaning,torch,clean,workmen torch,2
41,works,clean,images,clean,works images,2
42,mother,clean,room,clean,mother room,2
43,volunteers,cleaned,paths,clean,volunteers paths,2
44,police,cleaned,area,clean,police area,2
45,cars,cleaned,circuit,clean,cars circuit,2
46,water,cleans,eyes,clean,water eyes,2
47,wet,cleaning,method,clean,wet method,2
48,congregation,cleaned,bricks,clean,congregation bricks,2
49,wet,cleaning,method,clean,wet method,2
50,apprentices,clean,facilities,clean,apprentices facilities,2
51,works,clean,images,clean,works images,2
52,residents,cleaned,alley,clean,residents alley,2
53,workmen,cleaning,torch,clean,workmen torch,2
54,volunteers,cleaned,paths,clean,volunteers paths,2
55,apprentices,clean,facilities,clean,apprentices facilities,2
56,people,clean,area,clean,people area,2
57,people,clean,mess,clean,people mess,2
58,mother,clean,house,clean,mother house,2
59,people,cleaned,homes,clean,people homes,2
60,people,clean,area,clean,people area,2
61,mother,cleans,room,clean,mother room,2
62,staff,cleaned,stop,clean,staff stop,2
63,people,clean,houses,clean,people houses,2
64,devotees,clean,houses,clean,devotees houses,2
65,remix,cleans,vocal,clean,remix vocal,2
66,community,clean,efforts,clean,community efforts,2
67,devotees,clean,houses,clean,devotees houses,2
68,state,clean,costs,clean,state costs,2
69,community,clean,efforts,clean,community efforts,2
70,people,clean,car,clean,people car,2
71,shows,cleaned,hand,clean,shows hand,2
72,police,cleaned,area,clean,police area,2
73,power,clean,lbs,clean,power lbs,2
74,power,cleaned,lbs,clean,power lbs,2
75,people,clean,graves,clean,people graves,2
76,water,cleans,eyes,clean,water eyes,2
77,animals,cleaned,appearance,clean,animals appearance,1
78,grandmother,cleaned,dorms,clean,grandmother dorms,1
79,pipes,cleaned,improvement,clean,pipes improvement,1
80,firemen,cleaning,engine,clean,firemen engine,1
81,millipede,clean,environment,clean,millipede environment,1
82,communities,clean,territories,clean,communities territories,1
83,fish,cleaning,teeth,clean,fish teeth,1
84,moves,cleans,house,clean,moves house,1
85,killers,cleaned,car,clean,killers car,1
86,corrections,cleaned,smear,clean,corrections smear,1
87,preoccupation,cleaning,rage,clean,preoccupation rage,1
88,demons,clean,store,clean,demons store,1
89,group,cleaned,surface,clean,group surface,1
90,employment,cleaning,prison,clean,employment prison,1
91,spring,cleaning,house,clean,spring house,1
92,engineers,cleaning,wells,clean,engineers wells,1
93,residents,cleaned,amount,clean,residents amount,1
94,enforcement,cleaned,air,clean,enforcement air,1
95,girls,clean,bathroom,clean,girls bathroom,1
96,khadims,clean,durbar,clean,khadims durbar,1
97,load,cleaning,limestone,clean,load limestone,1
98,people,clean,remains,clean,people remains,1
99,son,cleans,trash,clean,son trash,1
100,alligator,cleans,dentures,clean,alligator dentures,1
101,saree,cleaned,one,clean,saree one,1
102,total,cleaned,wool,clean,total wool,1
103,members,cleaned,graffiti,clean,members graffiti,1
104,hundreds,cleaned,site,clean,hundreds site,1
105,park,cleaned,volunteers,clean,park volunteers,1
106,male,cleans,eggs,clean,male eggs,1
107,group,cleans,camp,clean,group camp,1
108,members,clean,area,clean,members area,1
109,merchants,clean,vandalism,clean,merchants vandalism,1
110,municipalities,clean,waters,clean,municipalities waters,1
111,days,clean,staircases,clean,days staircases,1
112,teeth,cleaning,twigs,clean,teeth twigs,1
113,bishop,cleaned,shoes,clean,bishop shoes,1
114,forces,cleaned,most,clean,forces most,1
115,receiver,clean,signal,clean,receiver signal,1
116,water,clean,jail,clean,water jail,1
117,people,clean,carcasses,clean,people carcasses,1
118,boy,cleaning,steps,clean,boy steps,1
119,woman,cleaning,apartment,clean,woman apartment,1
120,league,cleaned,space,clean,league space,1
121,members,clean,trash,clean,members trash,1
122,chuggers,cleaned,jobs,clean,chuggers jobs,1
123,bill,cleans,language,clean,bill language,1
124,parts,cleaning,cycles,clean,parts cycles,1
125,wife,clean,clothing,clean,wife clothing,1
126,association,cleaned,years,clean,association years,1
127,files,clean,package,clean,files package,1
128,ants,clean,legs,clean,ants legs,1
129,employees,clean,mess,clean,employees mess,1
130,men,cleaning,flues,clean,men flues,1
131,forests,clean,air,clean,forests air,1
132,people,clean,latrines,clean,people latrines,1
133,plants,clean,air,clean,plants air,1
134,one,cleans,pool,clean,one pool,1
135,researchers,cleaned,jaws,clean,researchers jaws,1
136,association,clean,cemetery,clean,association cemetery,1
137,fish,cleaning,bowl,clean,fish bowl,1
138,all,cleaned,cleanup,clean,all cleanup,1
139,gang,cleans,mess,clean,gang mess,1
140,staff,clean,school,clean,staff school,1
141,group,cleaned,interior,clean,group interior,1
