,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,site,exposes,rocks,expose,site rocks,13
1,site,exposes,rocks,expose,site rocks,13
2,site,exposes,rocks,expose,site rocks,13
3,site,exposes,rocks,expose,site rocks,13
4,site,exposes,rocks,expose,site rocks,13
5,site,exposes,rocks,expose,site rocks,13
6,site,exposes,rocks,expose,site rocks,13
7,site,exposes,rocks,expose,site rocks,13
8,site,exposes,rocks,expose,site rocks,13
9,site,exposes,rocks,expose,site rocks,13
10,site,exposes,rocks,expose,site rocks,13
11,site,exposes,rocks,expose,site rocks,13
12,site,exposes,rocks,expose,site rocks,13
13,craters,expose,layers,expose,craters layers,10
14,craters,expose,layers,expose,craters layers,10
15,craters,expose,layers,expose,craters layers,10
16,craters,expose,layers,expose,craters layers,10
17,craters,expose,layers,expose,craters layers,10
18,craters,expose,layers,expose,craters layers,10
19,craters,expose,layers,expose,craters layers,10
20,craters,expose,layers,expose,craters layers,10
21,craters,expose,layers,expose,craters layers,10
22,craters,expose,layers,expose,craters layers,10
23,program,exposes,students,expose,program students,9
24,program,exposes,students,expose,program students,9
25,program,exposes,students,expose,program students,9
26,program,exposed,students,expose,program students,9
27,program,exposes,students,expose,program students,9
28,program,exposes,students,expose,program students,9
29,program,exposes,students,expose,program students,9
30,program,exposes,students,expose,program students,9
31,program,exposes,students,expose,program students,9
32,war,exposed,weakness,expose,war weakness,6
33,war,exposed,weakness,expose,war weakness,6
34,war,exposed,weakness,expose,war weakness,6
35,retreat,exposed,flank,expose,retreat flank,6
36,war,exposed,weakness,expose,war weakness,6
37,retreat,exposed,flank,expose,retreat flank,6
38,retreat,exposed,flank,expose,retreat flank,6
39,retreat,exposed,flank,expose,retreat flank,6
40,war,exposed,weakness,expose,war weakness,6
41,retreat,exposed,flank,expose,retreat flank,6
42,war,exposed,weakness,expose,war weakness,6
43,retreat,exposed,flank,expose,retreat flank,6
44,parents,exposed,children,expose,parents children,5
45,quarry,exposes,rocks,expose,quarry rocks,5
46,quarry,exposes,rocks,expose,quarry rocks,5
47,software,exposed,computer,expose,software computer,5
48,quarry,exposes,rocks,expose,quarry rocks,5
49,software,exposed,computer,expose,software computer,5
50,quarry,exposes,rocks,expose,quarry rocks,5
51,software,exposed,computer,expose,software computer,5
52,software,exposed,computer,expose,software computer,5
53,book,exposes,conditions,expose,book conditions,5
54,crossing,exposed,flank,expose,crossing flank,5
55,crossing,exposed,flank,expose,crossing flank,5
56,book,exposed,conditions,expose,book conditions,5
57,book,exposed,conditions,expose,book conditions,5
58,book,exposed,conditions,expose,book conditions,5
59,crossing,exposed,flank,expose,crossing flank,5
60,parents,expose,children,expose,parents children,5
61,parents,expose,children,expose,parents children,5
62,crossing,exposed,flank,expose,crossing flank,5
63,quarry,exposes,rocks,expose,quarry rocks,5
64,book,exposed,conditions,expose,book conditions,5
65,parents,expose,children,expose,parents children,5
66,software,exposed,computer,expose,software computer,5
67,crossing,exposed,flank,expose,crossing flank,5
68,parents,exposed,children,expose,parents children,5
69,women,expose,breasts,expose,women breasts,4
70,book,exposed,lack,expose,book lack,4
71,book,exposed,lack,expose,book lack,4
72,impact,exposed,material,expose,impact material,4
73,slope,exposes,basement,expose,slope basement,4
74,darkness,exposed,ships,expose,darkness ships,4
75,withdrawal,exposed,flank,expose,withdrawal flank,4
76,impact,exposed,material,expose,impact material,4
77,withdrawal,exposed,flank,expose,withdrawal flank,4
78,site,exposes,sequence,expose,site sequence,4
79,article,exposed,conditions,expose,article conditions,4
80,impact,exposed,material,expose,impact material,4
81,slope,exposes,basement,expose,slope basement,4
82,site,exposes,sequence,expose,site sequence,4
83,article,exposes,conditions,expose,article conditions,4
84,darkness,exposed,ships,expose,darkness ships,4
85,impact,exposed,material,expose,impact material,4
86,slope,exposes,basement,expose,slope basement,4
87,book,exposed,lack,expose,book lack,4
88,article,exposed,conditions,expose,article conditions,4
89,withdrawal,exposed,flank,expose,withdrawal flank,4
90,withdrawal,exposed,flank,expose,withdrawal flank,4
91,women,exposed,breasts,expose,women breasts,4
92,site,exposes,sequence,expose,site sequence,4
93,darkness,exposed,ships,expose,darkness ships,4
94,site,exposes,sequence,expose,site sequence,4
95,women,exposed,breasts,expose,women breasts,4
96,book,exposed,lack,expose,book lack,4
97,women,expose,breasts,expose,women breasts,4
98,darkness,exposed,ships,expose,darkness ships,4
99,slope,exposes,basement,expose,slope basement,4
100,article,exposed,conditions,expose,article conditions,4
101,player,exposes,hand,expose,player hand,3
102,film,exposes,corruption,expose,film corruption,3
103,erosion,exposed,granite,expose,erosion granite,3
104,excavations,exposed,remains,expose,excavations remains,3
105,inability,exposed,government,expose,inability government,3
106,group,exposed,data,expose,group data,3
107,father,exposes,son,expose,father son,3
108,erosion,exposed,granite,expose,erosion granite,3
109,flank,exposed,retreat,expose,flank retreat,3
110,group,exposed,data,expose,group data,3
111,father,exposed,son,expose,father son,3
112,player,exposing,hand,expose,player hand,3
113,series,exposed,slate,expose,series slate,3
114,excavations,exposed,remains,expose,excavations remains,3
