,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,actions,saved,lives,save,actions lives,30
1,actions,saved,lives,save,actions lives,30
2,actions,saved,lives,save,actions lives,30
3,actions,saved,lives,save,actions lives,30
4,actions,saved,lives,save,actions lives,30
5,actions,saved,lives,save,actions lives,30
6,actions,saved,lives,save,actions lives,30
7,actions,saved,lives,save,actions lives,30
8,actions,saved,lives,save,actions lives,30
9,actions,saved,lives,save,actions lives,30
10,actions,saved,lives,save,actions lives,30
11,actions,saved,lives,save,actions lives,30
12,actions,save,lives,save,actions lives,30
13,actions,saved,lives,save,actions lives,30
14,actions,saved,lives,save,actions lives,30
15,actions,saved,lives,save,actions lives,30
16,actions,saved,lives,save,actions lives,30
17,actions,saved,lives,save,actions lives,30
18,actions,saved,lives,save,actions lives,30
19,actions,saved,lives,save,actions lives,30
20,actions,saved,lives,save,actions lives,30
21,actions,saved,lives,save,actions lives,30
22,actions,saved,lives,save,actions lives,30
23,actions,saved,lives,save,actions lives,30
24,actions,saved,lives,save,actions lives,30
25,actions,saved,lives,save,actions lives,30
26,actions,saved,lives,save,actions lives,30
27,actions,saved,lives,save,actions lives,30
28,actions,saved,lives,save,actions lives,30
29,actions,saved,lives,save,actions lives,30
30,action,saved,lives,save,action lives,22
31,action,saved,lives,save,action lives,22
32,action,saved,lives,save,action lives,22
33,action,saved,lives,save,action lives,22
34,action,saved,lives,save,action lives,22
35,action,saved,lives,save,action lives,22
36,action,saved,lives,save,action lives,22
37,action,saved,lives,save,action lives,22
38,action,saved,lives,save,action lives,22
39,action,saved,lives,save,action lives,22
40,action,saved,lives,save,action lives,22
41,action,saved,lives,save,action lives,22
42,action,saved,lives,save,action lives,22
43,action,saved,lives,save,action lives,22
44,action,saved,lives,save,action lives,22
45,action,saved,lives,save,action lives,22
46,action,saved,lives,save,action lives,22
47,action,saved,lives,save,action lives,22
48,action,saved,lives,save,action lives,22
49,action,saved,lives,save,action lives,22
50,action,saved,lives,save,action lives,22
51,action,saved,lives,save,action lives,22
52,daylight,saving,time,save,daylight time,20
53,daylight,saving,time,save,daylight time,20
54,daylight,saving,time,save,daylight time,20
55,daylight,saving,time,save,daylight time,20
56,daylight,saving,time,save,daylight time,20
57,daylight,saving,time,save,daylight time,20
58,daylight,saving,time,save,daylight time,20
59,daylight,saving,time,save,daylight time,20
60,daylight,saving,time,save,daylight time,20
61,daylight,saving,time,save,daylight time,20
62,daylight,saving,time,save,daylight time,20
63,daylight,saving,time,save,daylight time,20
64,daylight,saving,time,save,daylight time,20
65,daylight,saving,time,save,daylight time,20
66,daylight,saving,time,save,daylight time,20
67,daylight,saving,time,save,daylight time,20
68,daylight,saving,time,save,daylight time,20
69,daylight,saving,time,save,daylight time,20
70,daylight,saving,time,save,daylight time,20
71,daylight,saving,time,save,daylight time,20
72,intervention,saved,life,save,intervention life,19
73,intervention,saved,life,save,intervention life,19
74,intervention,saved,life,save,intervention life,19
75,intervention,saved,life,save,intervention life,19
76,intervention,saved,life,save,intervention life,19
77,intervention,saved,life,save,intervention life,19
78,intervention,saved,life,save,intervention life,19
79,intervention,saves,life,save,intervention life,19
80,intervention,saved,life,save,intervention life,19
81,intervention,saved,life,save,intervention life,19
82,intervention,saved,life,save,intervention life,19
83,intervention,saved,life,save,intervention life,19
84,intervention,saved,life,save,intervention life,19
85,intervention,saves,life,save,intervention life,19
86,intervention,saved,life,save,intervention life,19
87,intervention,saved,life,save,intervention life,19
88,intervention,saved,life,save,intervention life,19
89,intervention,saved,life,save,intervention life,19
90,intervention,saved,life,save,intervention life,19
91,player,save,game,save,player game,18
92,action,saved,life,save,action life,18
93,player,saves,game,save,player game,18
94,action,saved,life,save,action life,18
95,action,saved,life,save,action life,18
96,action,saved,life,save,action life,18
97,action,saved,life,save,action life,18
98,player,save,game,save,player game,18
99,action,saved,life,save,action life,18
100,action,saved,life,save,action life,18
101,player,saves,game,save,player game,18
102,player,saves,game,save,player game,18
103,action,saved,life,save,action life,18
104,player,save,game,save,player game,18
105,action,saved,life,save,action life,18
106,player,saves,game,save,player game,18
107,action,saved,life,save,action life,18
108,player,saves,game,save,player game,18
109,player,saved,game,save,player game,18
110,player,saves,game,save,player game,18
111,action,saved,life,save,action life,18
112,action,saved,life,save,action life,18
113,action,saved,life,save,action life,18
114,player,saves,game,save,player game,18
115,player,save,game,save,player game,18
116,player,saves,game,save,player game,18
117,player,save,game,save,player game,18
118,action,saved,life,save,action life,18
119,action,saved,life,save,action life,18
120,player,save,game,save,player game,18
121,player,save,game,save,player game,18
122,action,saved,life,save,action life,18
123,action,saved,life,save,action life,18
124,player,saves,game,save,player game,18
125,action,saves,life,save,action life,18
126,player,saves,game,save,player game,18
127,man,saves,life,save,man life,17
128,man,saved,life,save,man life,17
129,actions,saved,life,save,actions life,17
130,man,saves,life,save,man life,17
131,man,saving,life,save,man life,17
132,man,saved,life,save,man life,17
133,man,saved,life,save,man life,17
134,man,saved,life,save,man life,17
135,actions,saved,life,save,actions life,17
136,man,saves,life,save,man life,17
137,man,saved,life,save,man life,17
138,actions,saved,life,save,actions life,17
139,actions,saved,life,save,actions life,17
140,man,saved,life,save,man life,17
141,actions,saved,life,save,actions life,17
142,actions,saved,life,save,actions life,17
143,actions,saved,life,save,actions life,17
144,actions,saved,life,save,actions life,17
145,actions,saved,life,save,actions life,17
146,man,saves,life,save,man life,17
147,actions,saved,life,save,actions life,17
148,actions,saved,life,save,actions life,17
149,actions,saved,life,save,actions life,17
150,man,saved,life,save,man life,17
151,actions,saved,life,save,actions life,17
152,man,saved,life,save,man life,17
153,actions,saved,life,save,actions life,17
154,man,saves,life,save,man life,17
155,man,saves,life,save,man life,17
156,man,saved,life,save,man life,17
157,actions,save,life,save,actions life,17
158,actions,saved,life,save,actions life,17
159,man,saved,life,save,man life,17
160,actions,saved,life,save,actions life,17
161,one,saves,life,save,one life,14
162,one,saves,life,save,one life,14
163,one,saved,life,save,one life,14
164,one,saved,life,save,one life,14
165,one,saved,life,save,one life,14
166,one,saves,life,save,one life,14
167,one,saved,life,save,one life,14
168,one,saves,life,save,one life,14
169,one,saved,life,save,one life,14
170,one,saved,life,save,one life,14
171,one,saves,life,save,one life,14
172,one,saves,life,save,one life,14
173,one,saved,life,save,one life,14
174,one,saved,life,save,one life,14
175,all,save,one,save,all one,13
176,all,save,one,save,all one,13
177,father,saved,life,save,father life,13
178,all,save,one,save,all one,13
179,all,save,one,save,all one,13
180,all,save,one,save,all one,13
181,all,save,one,save,all one,13
182,father,saved,life,save,father life,13
183,all,save,one,save,all one,13
184,father,saved,life,save,father life,13
185,all,save,one,save,all one,13
186,father,saved,life,save,father life,13
187,father,saving,life,save,father life,13
188,all,save,one,save,all one,13
189,father,saved,life,save,father life,13
190,all,save,one,save,all one,13
191,father,saved,life,save,father life,13
192,all,save,one,save,all one,13
193,father,saved,life,save,father life,13
194,father,saving,life,save,father life,13
195,all,save,one,save,all one,13
196,father,saved,life,save,father life,13
197,father,saved,life,save,father life,13
198,father,saved,life,save,father life,13
