,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,film,shines,light,shin,film light,11
1,film,shining,light,shin,film light,11
2,film,shines,light,shin,film light,11
3,film,shines,light,shin,film light,11
4,film,shines,light,shin,film light,11
5,film,shines,light,shin,film light,11
6,film,shines,light,shin,film light,11
7,film,shines,light,shin,film light,11
8,film,shines,light,shin,film light,11
9,film,shines,light,shin,film light,11
10,film,shines,light,shin,film light,11
11,book,shines,light,shin,book light,7
12,sun,shines,hours,shin,sun hours,7
13,sun,shines,hours,shin,sun hours,7
14,sun,shines,hours,shin,sun hours,7
15,book,shines,light,shin,book light,7
16,book,shines,light,shin,book light,7
17,sun,shines,hours,shin,sun hours,7
18,sun,shines,hours,shin,sun hours,7
19,sun,shines,hours,shin,sun hours,7
20,book,shined,light,shin,book light,7
21,book,shines,light,shin,book light,7
22,book,shines,light,shin,book light,7
23,book,shines,light,shin,book light,7
24,sun,shines,hours,shin,sun hours,7
25,sun,shines,days,shin,sun days,5
26,sun,shines,days,shin,sun days,5
27,sun,shines,days,shin,sun days,5
28,sun,shines,days,shin,sun days,5
29,sun,shines,days,shin,sun days,5
30,father,shined,shoes,shin,father shoes,3
31,case,shined,light,shin,case light,3
32,father,shined,shoes,shin,father shoes,3
33,father,shined,shoes,shin,father shoes,3
34,case,shines,light,shin,case light,3
35,sun,shines,percent,shin,sun percent,3
36,sun,shining,percent,shin,sun percent,3
37,sun,shines,percent,shin,sun percent,3
38,case,shines,light,shin,case light,3
39,album,shines,light,shin,album light,2
40,friend,shined,light,shin,friend light,2
41,officer,shined,flashlight,shin,officer flashlight,2
42,sun,shines,east,shin,sun east,2
43,series,shines,spotlight,shin,series spotlight,2
44,friend,shined,light,shin,friend light,2
45,sun,shines,time,shin,sun time,2
46,light,shines,slanting,shin,light slanting,2
47,episode,shines,light,shin,episode light,2
48,sun,shines,land,shin,sun land,2
49,episode,shines,light,shin,episode light,2
50,one,shined,flashlight,shin,one flashlight,2
51,sun,shines,east,shin,sun east,2
52,light,shines,jury,shin,light jury,2
53,one,shined,flashlight,shin,one flashlight,2
54,collection,shines,light,shin,collection light,2
55,album,shines,light,shin,album light,2
56,light,shines,jury,shin,light jury,2
57,collection,shines,light,shin,collection light,2
58,light,shines,slanting,shin,light slanting,2
59,sun,shines,time,shin,sun time,2
60,officer,shines,flashlight,shin,officer flashlight,2
61,series,shines,spotlight,shin,series spotlight,2
62,sun,shines,land,shin,sun land,2
63,eyes,shining,cry,shin,eyes cry,1
64,legacy,shines,backseat,shin,legacy backseat,1
65,agent,shines,light,shin,agent light,1
66,poem,shines,light,shin,poem light,1
67,performance,shined,performance,shin,performance performance,1
68,investigations,shined,light,shin,investigations light,1
69,sun,shining,spectacle,shin,sun spectacle,1
70,track,shines,attention,shin,track attention,1
71,starlet,shines,ballad,shin,starlet ballad,1
72,femur,shining,foreleg,shin,femur foreleg,1
73,house,shines,flashes,shin,house flashes,1
