,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,defense,intercepted,passes,intercept,defense passes,22
1,defense,intercepted,passes,intercept,defense passes,22
2,defense,intercepted,passes,intercept,defense passes,22
3,defense,intercepted,passes,intercept,defense passes,22
4,defense,intercepted,passes,intercept,defense passes,22
5,defense,intercepted,passes,intercept,defense passes,22
6,defense,intercept,passes,intercept,defense passes,22
7,defense,intercepted,passes,intercept,defense passes,22
8,defense,intercepted,passes,intercept,defense passes,22
9,defense,intercepted,passes,intercept,defense passes,22
10,defense,intercepted,passes,intercept,defense passes,22
11,defense,intercepted,passes,intercept,defense passes,22
12,defense,intercepted,passes,intercept,defense passes,22
13,defense,intercepted,passes,intercept,defense passes,22
14,defense,intercepted,passes,intercept,defense passes,22
15,defense,intercepted,passes,intercept,defense passes,22
16,defense,intercepted,passes,intercept,defense passes,22
17,defense,intercepted,passes,intercept,defense passes,22
18,defense,intercepted,passes,intercept,defense passes,22
19,defense,intercepted,passes,intercept,defense passes,22
20,defense,intercepted,passes,intercept,defense passes,22
21,defense,intercepted,passes,intercept,defense passes,22
22,mountains,intercept,winds,intercept,mountains winds,9
23,mountains,intercept,winds,intercept,mountains winds,9
24,mountains,intercept,winds,intercept,mountains winds,9
25,mountains,intercept,winds,intercept,mountains winds,9
26,mountains,intercept,winds,intercept,mountains winds,9
27,mountains,intercept,winds,intercept,mountains winds,9
28,mountains,intercept,winds,intercept,mountains winds,9
29,mountains,intercept,winds,intercept,mountains winds,9
30,mountains,intercept,winds,intercept,mountains winds,9
31,player,intercepts,pass,intercept,player pass,7
32,player,intercepts,pass,intercept,player pass,7
33,player,intercepts,pass,intercept,player pass,7
34,player,intercepts,pass,intercept,player pass,7
35,player,intercepts,pass,intercept,player pass,7
36,player,intercepts,pass,intercept,player pass,7
37,player,intercepts,pass,intercept,player pass,7
38,fleet,intercepted,fleet,intercept,fleet fleet,6
39,missile,intercepted,target,intercept,missile target,6
40,fleet,intercepted,fleet,intercept,fleet fleet,6
41,missile,intercepted,target,intercept,missile target,6
42,squadron,intercepted,convoy,intercept,squadron convoy,6
43,missile,intercepted,target,intercept,missile target,6
44,squadron,intercepted,convoy,intercept,squadron convoy,6
45,fleet,intercepted,fleet,intercept,fleet fleet,6
