,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,player,pilots,ship,pilot,player ship,10
1,player,pilots,ship,pilot,player ship,10
2,player,pilots,ship,pilot,player ship,10
3,player,pilots,ship,pilot,player ship,10
4,player,pilots,ship,pilot,player ship,10
5,player,pilots,ship,pilot,player ship,10
6,player,pilots,ship,pilot,player ship,10
7,player,pilots,ship,pilot,player ship,10
8,player,pilots,ship,pilot,player ship,10
9,player,pilots,ship,pilot,player ship,10
10,player,pilots,spaceship,pilot,player spaceship,9
11,player,pilots,spaceship,pilot,player spaceship,9
12,player,pilots,spaceship,pilot,player spaceship,9
13,player,piloted,spaceship,pilot,player spaceship,9
14,player,pilots,spaceship,pilot,player spaceship,9
15,player,pilots,spaceship,pilot,player spaceship,9
16,player,pilots,spaceship,pilot,player spaceship,9
17,player,pilots,spaceship,pilot,player spaceship,9
18,player,pilots,spaceship,pilot,player spaceship,9
19,player,pilots,helicopter,pilot,player helicopter,6
20,player,piloting,helicopter,pilot,player helicopter,6
21,player,pilots,helicopter,pilot,player helicopter,6
22,player,piloting,helicopter,pilot,player helicopter,6
23,player,piloting,helicopter,pilot,player helicopter,6
24,player,pilots,helicopter,pilot,player helicopter,6
25,player,piloting,plane,pilot,player plane,3
26,player,pilots,fighter,pilot,player fighter,3
27,player,pilots,plane,pilot,player plane,3
28,player,pilots,plane,pilot,player plane,3
29,player,pilots,fighter,pilot,player fighter,3
30,player,pilots,fighter,pilot,player fighter,3
31,players,pilot,ship,pilot,players ship,2
32,player,piloting,craft,pilot,player craft,2
33,players,pilot,ships,pilot,players ships,2
34,player,pilots,craft,pilot,player craft,2
35,player,pilots,one,pilot,player one,2
36,players,pilot,ships,pilot,players ships,2
37,player,pilots,biplane,pilot,player biplane,2
38,player,pilots,vehicle,pilot,player vehicle,2
39,players,pilot,starfighters,pilot,players starfighters,2
40,player,pilots,biplane,pilot,player biplane,2
41,player,pilots,boat,pilot,player boat,2
42,players,pilot,ship,pilot,players ship,2
43,player,pilots,ships,pilot,player ships,2
44,player,pilots,ships,pilot,player ships,2
45,player,pilots,boat,pilot,player boat,2
46,player,pilots,variety,pilot,player variety,2
47,crew,piloted,plane,pilot,crew plane,2
48,player,pilots,hovercraft,pilot,player hovercraft,2
49,player,pilots,starfighter,pilot,player starfighter,2
50,player,piloting,starfighter,pilot,player starfighter,2
51,player,pilots,one,pilot,player one,2
52,player,pilots,snowspeeder,pilot,player snowspeeder,2
53,player,piloted,snowspeeder,pilot,player snowspeeder,2
54,player,piloting,hovercraft,pilot,player hovercraft,2
55,show,piloted,episodes,pilot,show episodes,2
56,crew,piloted,plane,pilot,crew plane,2
57,player,pilots,variety,pilot,player variety,2
58,player,pilots,vehicle,pilot,player vehicle,2
59,players,pilot,starfighters,pilot,players starfighters,2
60,show,piloted,episodes,pilot,show episodes,2
61,society,piloted,events,pilot,society events,1
62,janitor,pilots,ship,pilot,janitor ship,1
63,player,pilots,exosuit,pilot,player exosuit,1
64,version,piloted,suit,pilot,version suit,1
65,brothers,piloted,aircraft,pilot,brothers aircraft,1
66,player,pilots,racer,pilot,player racer,1
67,southwards,piloting,ship,pilot,southwards ship,1
68,players,pilot,detailed,pilot,players detailed,1
69,player,pilots,vessel,pilot,player vessel,1
70,man,piloted,drone,pilot,man drone,1
71,guidance,piloted,flagship,pilot,guidance flagship,1
72,players,pilot,one,pilot,players one,1
73,parade,piloting,car,pilot,parade car,1
74,player,pilots,subfoil,pilot,player subfoil,1
75,captain,piloted,ferry,pilot,captain ferry,1
76,celebrities,piloted,events,pilot,celebrities events,1
77,project,pilot,source,pilot,project source,1
78,ancestors,piloted,vessel,pilot,ancestors vessel,1
79,solo,piloting,helicopter,pilot,solo helicopter,1
80,member,piloted,missions,pilot,member missions,1
81,citizens,pilot,way,pilot,citizens way,1
82,player,pilots,spacedozer,pilot,player spacedozer,1
83,wreck,pilots,tugboat,pilot,wreck tugboat,1
84,troupe,piloted,number,pilot,troupe number,1
85,crew,piloted,aircraft,pilot,crew aircraft,1
86,father,piloted,robot,pilot,father robot,1
87,motor,piloted,plane,pilot,motor plane,1
88,players,pilot,spaceship,pilot,players spaceship,1
89,experts,piloted,criteria,pilot,experts criteria,1
90,schools,piloted,programme,pilot,schools programme,1
91,designer,piloted,one,pilot,designer one,1
92,volunteers,piloting,boat,pilot,volunteers boat,1
93,soldiers,pilot,mecha,pilot,soldiers mecha,1
94,project,piloted,computers,pilot,project computers,1
95,brakesman,piloted,van,pilot,brakesman van,1
96,aviator,pilots,aircraft,pilot,aviator aircraft,1
97,player,pilots,hoverskid,pilot,player hoverskid,1
98,characters,pilot,robots,pilot,characters robots,1
99,charity,piloted,program,pilot,charity program,1
100,captain,pilots,submarine,pilot,captain submarine,1
101,skipper,pilots,boat,pilot,skipper boat,1
102,colonists,pilot,craft,pilot,colonists craft,1
103,assessments,piloted,students,pilot,assessments students,1
104,discussion,piloted,studies,pilot,discussion studies,1
105,councils,piloted,program,pilot,councils program,1
106,player,pilots,spacecraft,pilot,player spacecraft,1
107,players,pilot,aircraft,pilot,players aircraft,1
108,both,piloted,mercenaries,pilot,both mercenaries,1
109,fisherman,piloted,boat,pilot,fisherman boat,1
110,players,pilot,vehicles,pilot,players vehicles,1
111,navigator,piloted,airplane,pilot,navigator airplane,1
112,handful,piloted,individuals,pilot,handful individuals,1
113,son,piloted,store,pilot,son store,1
114,character,piloted,mech,pilot,character mech,1
115,users,pilot,hovercraft,pilot,users hovercraft,1
116,duo,pilot,music,pilot,duo music,1
117,theme,pilot,ideas,pilot,theme ideas,1
118,group,piloted,use,pilot,group use,1
119,authorities,piloted,voting,pilot,authorities voting,1
120,husband,piloted,drone,pilot,husband drone,1
121,men,piloting,motorboat,pilot,men motorboat,1
122,plane,piloted,cousin,pilot,plane cousin,1
123,brother,piloted,plane,pilot,brother plane,1
124,rider,pilots,ride,pilot,rider ride,1
125,characters,pilot,craft,pilot,characters craft,1
126,helicopter,piloted,lands,pilot,helicopter lands,1
127,fundamentals,pilot,flight,pilot,fundamentals flight,1
128,player,pilots,aircraft,pilot,player aircraft,1
129,website,piloted,aspect,pilot,website aspect,1
130,humanoid,piloting,suit,pilot,humanoid suit,1
131,aliens,piloting,spacecraft,pilot,aliens spacecraft,1
132,namesake,piloted,flight,pilot,namesake flight,1
133,sailors,piloted,ship,pilot,sailors ship,1
134,foot,piloted,ball,pilot,foot ball,1
135,plane,piloted,one,pilot,plane one,1
136,gamers,pilot,gunship,pilot,gamers gunship,1
137,player,pilots,skimmer,pilot,player skimmer,1
138,players,pilot,starfighter,pilot,players starfighter,1
139,city,piloted,adventure,pilot,city adventure,1
140,version,piloted,mech,pilot,version mech,1
141,cart,piloted,one,pilot,cart one,1
142,person,piloted,vehicles,pilot,person vehicles,1
143,mercenaries,pilot,most,pilot,mercenaries most,1
144,player,pilots,example,pilot,player example,1
145,party,piloted,herd,pilot,party herd,1
146,city,piloted,program,pilot,city program,1
147,questions,pilot,aeroplane,pilot,questions aeroplane,1
148,astronauts,pilot,bomb,pilot,astronauts bomb,1
149,plant,pilots,process,pilot,plant process,1
150,players,pilot,robots,pilot,players robots,1
151,station,piloting,shunting,pilot,station shunting,1
152,son,piloted,plane,pilot,son plane,1
153,grandson,pilots,bomber,pilot,grandson bomber,1
154,cyborg,piloting,vehicle,pilot,cyborg vehicle,1
155,player,pilots,reproductions,pilot,player reproductions,1
156,player,pilots,starship,pilot,player starship,1
157,player,piloting,tank,pilot,player tank,1
