,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,department,tracks,volume,track,department volume,56
1,department,tracks,volume,track,department volume,56
2,department,tracks,volume,track,department volume,56
3,department,tracks,volume,track,department volume,56
4,department,tracks,volume,track,department volume,56
5,department,tracks,volume,track,department volume,56
6,department,tracks,volume,track,department volume,56
7,department,tracks,volume,track,department volume,56
8,department,tracks,volume,track,department volume,56
9,department,tracks,volume,track,department volume,56
10,department,tracks,volume,track,department volume,56
11,department,tracks,volume,track,department volume,56
12,department,tracks,volume,track,department volume,56
13,department,tracks,volume,track,department volume,56
14,department,tracks,volume,track,department volume,56
15,department,tracks,volume,track,department volume,56
16,department,tracks,volume,track,department volume,56
17,department,tracks,volume,track,department volume,56
18,department,tracks,volume,track,department volume,56
19,department,tracks,volume,track,department volume,56
20,department,tracks,volume,track,department volume,56
21,department,tracks,volume,track,department volume,56
22,department,tracked,volume,track,department volume,56
23,department,tracks,volume,track,department volume,56
24,department,tracks,volume,track,department volume,56
25,department,tracks,volume,track,department volume,56
26,department,tracks,volume,track,department volume,56
27,department,tracks,volume,track,department volume,56
28,department,tracks,volume,track,department volume,56
29,department,tracks,volume,track,department volume,56
30,department,tracks,volume,track,department volume,56
31,department,tracks,volume,track,department volume,56
32,department,tracks,volume,track,department volume,56
33,department,tracks,volume,track,department volume,56
34,department,tracks,volume,track,department volume,56
35,department,tracks,volume,track,department volume,56
36,department,tracks,volume,track,department volume,56
37,department,tracks,volume,track,department volume,56
38,department,tracks,volume,track,department volume,56
39,department,tracks,volume,track,department volume,56
40,department,tracks,volume,track,department volume,56
41,department,tracks,volume,track,department volume,56
42,department,tracks,volume,track,department volume,56
43,department,tracks,volume,track,department volume,56
44,department,tracks,volume,track,department volume,56
45,department,tracks,volume,track,department volume,56
46,department,tracks,volume,track,department volume,56
47,department,tracks,volume,track,department volume,56
48,department,tracks,volume,track,department volume,56
49,department,tracks,volume,track,department volume,56
50,department,tracks,volume,track,department volume,56
51,department,tracks,volume,track,department volume,56
52,department,tracks,volume,track,department volume,56
53,department,tracks,volume,track,department volume,56
54,department,tracks,volume,track,department volume,56
55,department,tracks,volume,track,department volume,56
56,band,tracked,songs,track,band songs,6
57,storm,tracked,northeastward,track,storm northeastward,6
58,system,tracked,southwestward,track,system southwestward,6
59,system,tracked,southwestward,track,system southwestward,6
60,system,tracked,southeastward,track,system southeastward,6
61,storm,tracked,northeastward,track,storm northeastward,6
62,band,tracked,songs,track,band songs,6
63,band,tracked,songs,track,band songs,6
64,system,tracked,southwestward,track,system southwestward,6
65,system,tracked,southwestward,track,system southwestward,6
66,storm,tracked,northeastward,track,storm northeastward,6
67,system,tracked,southwestward,track,system southwestward,6
68,system,tracked,southeastward,track,system southeastward,6
69,system,tracked,southeastward,track,system southeastward,6
70,band,tracked,songs,track,band songs,6
71,system,tracked,southeastward,track,system southeastward,6
72,system,tracked,southeastward,track,system southeastward,6
73,system,tracked,southeastward,track,system southeastward,6
74,storm,tracked,northeastward,track,storm northeastward,6
75,band,tracked,songs,track,band songs,6
76,band,tracked,songs,track,band songs,6
77,storm,tracked,northeastward,track,storm northeastward,6
78,storm,tracked,northeastward,track,storm northeastward,6
79,system,tracked,southwestward,track,system southwestward,6
80,operator,tracks,target,track,operator target,5
81,storm,track,shifts,track,storm shifts,5
82,tornado,tracked,miles,track,tornado miles,5
83,operator,tracks,target,track,operator target,5
84,storm,track,shifts,track,storm shifts,5
85,storm,track,shifts,track,storm shifts,5
86,tornado,tracked,miles,track,tornado miles,5
87,tornado,tracked,miles,track,tornado miles,5
88,operator,tracks,target,track,operator target,5
89,operator,tracks,target,track,operator target,5
90,tornado,tracked,miles,track,tornado miles,5
91,storm,track,shifts,track,storm shifts,5
92,tornado,tracked,miles,track,tornado miles,5
93,storm,track,shifts,track,storm shifts,5
94,operator,tracks,target,track,operator target,5
95,page,tracks,progress,track,page progress,4
96,title,track,album,track,title album,4
97,authorities,track,clues,track,authorities clues,4
98,page,tracks,progress,track,page progress,4
99,agency,tracked,storm,track,agency storm,4
100,system,tracked,northeastward,track,system northeastward,4
101,title,track,album,track,title album,4
102,authorities,track,clues,track,authorities clues,4
103,authorities,track,clues,track,authorities clues,4
104,system,tracked,northeastward,track,system northeastward,4
105,bonus,tracks,songs,track,bonus songs,4
106,boys,track,team,track,boys team,4
107,bonus,tracks,songs,track,bonus songs,4
108,boys,track,team,track,boys team,4
