,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,reception,greeted,film,greet,reception film,4
1,reception,greeted,film,greet,reception film,4
2,crowd,greeted,arrival,greet,crowd arrival,4
3,crowd,greeted,arrival,greet,crowd arrival,4
4,reception,greeted,film,greet,reception film,4
5,crowd,greeted,arrival,greet,crowd arrival,4
6,crowd,greeted,arrival,greet,crowd arrival,4
7,reception,greeted,film,greet,reception film,4
8,people,greet,one,greet,people one,3
9,people,greeted,one,greet,people one,3
10,portrait,greeted,visitors,greet,portrait visitors,3
11,portrait,greets,visitors,greet,portrait visitors,3
12,examiner,greets,child,greet,examiner child,3
13,portrait,greets,visitors,greet,portrait visitors,3
14,examiner,greets,child,greet,examiner child,3
15,people,greet,one,greet,people one,3
16,examiner,greets,child,greet,examiner child,3
17,group,greets,troops,greet,group troops,2
18,audience,greets,performance,greet,audience performance,2
19,audience,greeted,performance,greet,audience performance,2
20,praise,greeted,releases,greet,praise releases,2
21,two,greeted,one,greet,two one,2
22,group,greets,troops,greet,group troops,2
23,people,greet,people,greet,people people,2
24,team,greet,president,greet,team president,2
25,praise,greeted,releases,greet,praise releases,2
26,crowd,greeted,team,greet,crowd team,2
27,father,greets,son,greet,father son,2
28,violence,greeted,parades,greet,violence parades,2
29,crowd,greeted,release,greet,crowd release,2
30,fans,greeted,team,greet,fans team,2
31,statue,greets,visitors,greet,statue visitors,2
32,commanders,greeted,replacement,greet,commanders replacement,2
33,response,greeted,film,greet,response film,2
34,crowds,greeted,marchers,greet,crowds marchers,2
35,public,greeted,news,greet,public news,2
36,crowds,greeted,forces,greet,crowds forces,2
37,commanders,greeted,replacement,greet,commanders replacement,2
38,crowd,greeted,return,greet,crowd return,2
39,crowds,greeted,marchers,greet,crowds marchers,2
40,crowd,greeted,release,greet,crowd release,2
41,member,greeted,students,greet,member students,2
42,team,greet,president,greet,team president,2
43,acclaim,greeted,album,greet,acclaim album,2
44,stars,greeted,fans,greet,stars fans,2
45,public,greeted,news,greet,public news,2
46,demonstrations,greeted,team,greet,demonstrations team,2
47,father,greets,son,greet,father son,2
48,stars,greeted,fans,greet,stars fans,2
49,violence,greeted,parades,greet,violence parades,2
50,people,greet,people,greet,people people,2
51,conditions,greeted,riders,greet,conditions riders,2
52,school,greeted,students,greet,school students,2
53,women,greet,visitors,greet,women visitors,2
54,member,greeted,students,greet,member students,2
55,school,greeted,students,greet,school students,2
56,fans,greeted,team,greet,fans team,2
57,torches,greeting,visitors,greet,torches visitors,2
58,crowds,greeted,forces,greet,crowds forces,2
59,man,greets,family,greet,man family,2
60,torches,greeting,visitors,greet,torches visitors,2
61,crowd,greeted,team,greet,crowd team,2
62,man,greets,family,greet,man family,2
63,conditions,greeted,riders,greet,conditions riders,2
64,women,greeted,visitors,greet,women visitors,2
65,crowd,greeted,return,greet,crowd return,2
66,children,greet,thee,greet,children thee,2
67,acclaim,greeted,album,greet,acclaim album,2
68,two,greet,one,greet,two one,2
69,children,greet,thee,greet,children thee,2
70,statue,greets,visitors,greet,statue visitors,2
