,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,chained,doors,chain,police doors,4
1,police,chained,doors,chain,police doors,4
2,police,chained,doors,chain,police doors,4
3,police,chained,doors,chain,police doors,4
4,natives,chained,tree,chain,natives tree,2
5,natives,chained,tree,chain,natives tree,2
6,bull,chained,ring,chain,bull ring,1
7,mural,chained,hands,chain,mural hands,1
8,goblins,chain,heroes,chain,goblins heroes,1
9,males,chained,bracelets,chain,males bracelets,1
10,trooper,chained,two,chain,trooper two,1
11,team,chained,relegations,chain,team relegations,1
12,daisy,chaining,peripherals,chain,daisy peripherals,1
13,constable,chained,prisoners,chain,constable prisoners,1
14,doors,chained,shut,chain,doors shut,1
15,one,chained,slave,chain,one slave,1
16,jail,chained,gates,chain,jail gates,1
17,gold,chained,leash,chain,gold leash,1
18,troopers,chained,man,chain,troopers man,1
19,method,chains,links,chain,method links,1
20,slender,chained,gecko,chain,slender gecko,1
21,trafficker,chained,prey,chain,trafficker prey,1
22,wheelchair,chained,room,chain,wheelchair room,1
23,players,chain,actions,chain,players actions,1
24,man,chained,arms,chain,man arms,1
25,player,chains,moves,chain,player moves,1
26,gold,chained,headdress,chain,gold headdress,1
27,grandmother,chains,granddaughter,chain,grandmother granddaughter,1
28,diggers,chained,mates,chain,diggers mates,1
29,polymer,chained,molecules,chain,polymer molecules,1
30,clergyman,chained,boys,chain,clergyman boys,1
31,bracelets,chained,male,chain,bracelets male,1
32,player,chaining,attacks,chain,player attacks,1
33,supporters,chained,lynxes,chain,supporters lynxes,1
34,supply,chain,part,chain,supply part,1
35,kids,chain,doors,chain,kids doors,1
36,person,chained,cross,chain,person cross,1
37,kids,chain,bikes,chain,kids bikes,1
38,vector,chaining,capabilities,chain,vector capabilities,1
39,publication,chaining,components,chain,publication components,1
40,daisy,chaining,amplifiers,chain,daisy amplifiers,1
41,individual,chaining,points,chain,individual points,1
42,pupils,chained,pupil,chain,pupils pupil,1
43,scientists,chain,boy,chain,scientists boy,1
44,activists,chained,doors,chain,activists doors,1
45,construction,chained,houses,chain,construction houses,1
46,man,chained,colonists,chain,man colonists,1
47,dogs,chained,situation,chain,dogs situation,1
48,king,chained,princess,chain,king princess,1
49,soldiers,chained,hands,chain,soldiers hands,1
50,police,chained,feet,chain,police feet,1
51,patients,chained,caretakers,chain,patients caretakers,1
52,workers,chained,dumpster,chain,workers dumpster,1
53,daisy,chaining,servers,chain,daisy servers,1
54,attendants,chain,king,chain,attendants king,1
