,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,wrestler,locks,hands,lock,wrestler hands,10
1,wrestler,locks,hands,lock,wrestler hands,10
2,wrestler,locks,hands,lock,wrestler hands,10
3,wrestler,locks,hands,lock,wrestler hands,10
4,wrestler,locks,hands,lock,wrestler hands,10
5,wrestler,locks,hands,lock,wrestler hands,10
6,wrestler,lock,hands,lock,wrestler hands,10
7,wrestler,lock,hands,lock,wrestler hands,10
8,wrestler,locks,hands,lock,wrestler hands,10
9,wrestler,locks,hands,lock,wrestler hands,10
10,owners,locked,players,lock,owners players,8
11,owners,locked,players,lock,owners players,8
12,owners,locked,players,lock,owners players,8
13,owners,locked,players,lock,owners players,8
14,owners,locked,players,lock,owners players,8
15,owners,locked,players,lock,owners players,8
16,owners,locked,players,lock,owners players,8
17,owners,locked,players,lock,owners players,8
18,handle,lock,door,lock,handle door,6
19,handle,lock,door,lock,handle door,6
20,handle,lock,door,lock,handle door,6
21,handle,lock,door,lock,handle door,6
22,handle,lock,door,lock,handle door,6
23,handle,lock,door,lock,handle door,6
24,employers,locked,workers,lock,employers workers,5
25,employers,locked,workers,lock,employers workers,5
26,employers,locked,workers,lock,employers workers,5
27,employers,locked,workers,lock,employers workers,5
28,employers,locked,workers,lock,employers workers,5
29,drivers,locked,brakes,lock,drivers brakes,4
30,drivers,locked,brakes,lock,drivers brakes,4
31,caps,lock,key,lock,caps key,4
32,drivers,locked,brakes,lock,drivers brakes,4
33,employer,locked,workers,lock,employer workers,4
34,attacker,locks,hands,lock,attacker hands,4
35,attacker,locks,hands,lock,attacker hands,4
36,teams,locked,horns,lock,teams horns,4
37,attacker,locks,hands,lock,attacker hands,4
38,wrestler,locks,opponent,lock,wrestler opponent,4
39,wrestler,lock,opponent,lock,wrestler opponent,4
40,police,locked,gates,lock,police gates,4
41,attacker,lock,hands,lock,attacker hands,4
42,man,locks,door,lock,man door,4
43,man,locking,door,lock,man door,4
44,drivers,locked,brakes,lock,drivers brakes,4
45,caps,lock,key,lock,caps key,4
46,police,locked,gates,lock,police gates,4
47,wrestler,lock,opponent,lock,wrestler opponent,4
48,man,locking,door,lock,man door,4
49,caps,lock,key,lock,caps key,4
50,police,locked,gates,lock,police gates,4
51,teams,locked,horns,lock,teams horns,4
52,employer,locked,workers,lock,employer workers,4
53,employer,locked,workers,lock,employer workers,4
54,employer,locked,workers,lock,employer workers,4
55,man,locks,door,lock,man door,4
56,teams,locked,horns,lock,teams horns,4
57,wrestler,lock,opponent,lock,wrestler opponent,4
58,police,locked,gates,lock,police gates,4
59,caps,lock,key,lock,caps key,4
60,teams,locked,horns,lock,teams horns,4
61,nomination,locked,time,lock,nomination time,3
62,cousin,locks,door,lock,cousin door,3
63,cousin,locks,door,lock,cousin door,3
64,police,lock,doors,lock,police doors,3
65,management,locked,workforce,lock,management workforce,3
66,company,locked,employees,lock,company employees,3
67,management,locked,workforce,lock,management workforce,3
68,company,locked,employees,lock,company employees,3
69,car,locks,wheels,lock,car wheels,3
70,management,locked,workers,lock,management workers,3
71,drivers,locked,tyres,lock,drivers tyres,3
72,company,locked,workers,lock,company workers,3
73,drivers,locked,tyres,lock,drivers tyres,3
74,police,locked,doors,lock,police doors,3
75,company,locked,workers,lock,company workers,3
76,company,locked,employees,lock,company employees,3
77,islanders,locked,doors,lock,islanders doors,3
78,car,locked,wheels,lock,car wheels,3
79,management,locked,workers,lock,management workers,3
80,company,locked,workers,lock,company workers,3
81,nomination,locked,time,lock,nomination time,3
82,car,locked,wheels,lock,car wheels,3
83,management,locked,workers,lock,management workers,3
84,management,locked,workforce,lock,management workforce,3
85,nomination,locked,time,lock,nomination time,3
86,islanders,locked,doors,lock,islanders doors,3
87,cousin,locks,door,lock,cousin door,3
88,drivers,locked,tyres,lock,drivers tyres,3
89,islanders,locked,doors,lock,islanders doors,3
90,police,lock,doors,lock,police doors,3
91,scores,locked,all,lock,scores all,2
92,rebels,locked,citizens,lock,rebels citizens,2
93,company,locked,strikers,lock,company strikers,2
94,gallery,locked,doors,lock,gallery doors,2
95,fighters,lock,swords,lock,fighters swords,2
96,rollers,locking,piece,lock,rollers piece,2
97,players,locks,rugby,lock,players rugby,2
98,males,lock,chelicerae,lock,males chelicerae,2
99,company,locked,strikers,lock,company strikers,2
100,general,locked,gates,lock,general gates,2
101,members,locked,arms,lock,members arms,2
102,worker,locks,type,lock,worker type,2
103,rollers,locking,piece,lock,rollers piece,2
104,forces,locked,gates,lock,forces gates,2
105,option,locked,doors,lock,option doors,2
106,latter,locked,tyres,lock,latter tyres,2
107,owners,lock,miners,lock,owners miners,2
108,one,locked,foot,lock,one foot,2
109,processing,locked,possibility,lock,processing possibility,2
110,option,locked,doors,lock,option doors,2
111,one,locks,fingers,lock,one fingers,2
112,forces,locked,gates,lock,forces gates,2
113,apprentices,locked,gates,lock,apprentices gates,2
114,one,locked,foot,lock,one foot,2
115,members,lock,doors,lock,members doors,2
116,scores,locked,all,lock,scores all,2
117,players,locks,people,lock,players people,2
118,gallery,locked,doors,lock,gallery doors,2
119,one,locks,fingers,lock,one fingers,2
120,apprentices,locked,gates,lock,apprentices gates,2
121,bulls,lock,horns,lock,bulls horns,2
122,people,locked,doors,lock,people doors,2
123,driver,locked,wheels,lock,driver wheels,2
124,knees,lock,position,lock,knees position,2
125,latter,locked,tyres,lock,latter tyres,2
126,hymns,locked,gates,lock,hymns gates,2
127,team,locked,arms,lock,team arms,2
128,driver,locked,brakes,lock,driver brakes,2
129,driver,locks,wheels,lock,driver wheels,2
130,police,locked,toilet,lock,police toilet,2
131,stresses,locked,softening,lock,stresses softening,2
132,general,locked,gates,lock,general gates,2
133,safety,locks,bolt,lock,safety bolt,2
134,players,locks,people,lock,players people,2
135,members,locked,doors,lock,members doors,2
136,processing,locked,possibility,lock,processing possibility,2
137,member,locked,door,lock,member door,2
138,mother,locks,door,lock,mother door,2
139,mother,locked,door,lock,mother door,2
140,driver,locked,brakes,lock,driver brakes,2
141,students,locked,gates,lock,students gates,2
142,administration,locks,compounds,lock,administration compounds,2
143,administration,locks,compounds,lock,administration compounds,2
144,winner,locks,seat,lock,winner seat,2
145,police,locked,toilet,lock,police toilet,2
146,members,locked,arms,lock,members arms,2
147,players,locks,rugby,lock,players rugby,2
148,knees,lock,position,lock,knees position,2
149,government,locked,buildings,lock,government buildings,2
150,hymns,locked,gates,lock,hymns gates,2
151,owners,locked,miners,lock,owners miners,2
152,tasks,lock,mutex,lock,tasks mutex,2
153,tasks,lock,mutex,lock,tasks mutex,2
154,students,locked,gates,lock,students gates,2
155,team,locked,arms,lock,team arms,2
156,winner,locks,seat,lock,winner seat,2
157,miss,locked,contestant,lock,miss contestant,2
158,miss,locked,contestant,lock,miss contestant,2
159,worker,locks,type,lock,worker type,2
160,people,locked,doors,lock,people doors,2
161,magistrates,locked,cardinals,lock,magistrates cardinals,2
162,magistrates,locked,cardinals,lock,magistrates cardinals,2
163,fighters,lock,swords,lock,fighters swords,2
164,rebels,locked,citizens,lock,rebels citizens,2
165,government,locked,buildings,lock,government buildings,2
166,bulls,lock,horns,lock,bulls horns,2
167,position,locks,slide,lock,position slide,2
168,users,lock,device,lock,users device,2
169,position,locks,slide,lock,position slide,2
