,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,club,docked,points,dock,club points,2
1,ship,docked,disembarking,dock,ship disembarking,2
2,ship,docking,mechanic,dock,ship mechanic,2
3,ship,docking,mechanic,dock,ship mechanic,2
4,ship,docked,days,dock,ship days,2
5,ship,docked,days,dock,ship days,2
6,men,docked,points,dock,men points,2
7,men,docked,points,dock,men points,2
8,ship,docking,procedures,dock,ship procedures,2
9,ship,docked,disembarking,dock,ship disembarking,2
10,ship,docking,procedures,dock,ship procedures,2
11,club,docked,points,dock,club points,2
12,skipper,dock,boat,dock,skipper boat,1
13,crew,docked,cannabis,dock,crew cannabis,1
14,endiguer,dock,archivolt,dock,endiguer archivolt,1
15,ship,docked,sounding,dock,ship sounding,1
16,riders,docked,bikes,dock,riders bikes,1
17,kiosks,docked,bikes,dock,kiosks bikes,1
18,ship,docked,immigrants,dock,ship immigrants,1
19,vesicles,dock,continuity,dock,vesicles continuity,1
20,ship,docked,people,dock,ship people,1
21,breeders,docking,tails,dock,breeders tails,1
22,submarine,docked,flag,dock,submarine flag,1
23,plot,dock,workers,dock,plot workers,1
24,lobstermen,dock,boats,dock,lobstermen boats,1
25,posts,dock,cushion,dock,posts cushion,1
26,ship,docked,wages,dock,ship wages,1
27,vesicles,dock,neurotransmitters,dock,vesicles neurotransmitters,1
28,boat,docked,band,dock,boat band,1
29,ship,docked,crowd,dock,ship crowd,1
30,vessels,docked,part,dock,vessels part,1
31,employers,dock,pay,dock,employers pay,1
32,workers,docked,ships,dock,workers ships,1
33,pirates,dock,pay,dock,pirates pay,1
34,crew,dock,shuttle,dock,crew shuttle,1
35,tons,dock,ships,dock,tons ships,1
36,ship,docked,press,dock,ship press,1
37,ships,docked,goods,dock,ships goods,1
38,crafts,docked,letter,dock,crafts letter,1
39,ships,docked,transfer,dock,ships transfer,1
40,boats,dock,banks,dock,boats banks,1
41,workers,docked,wages,dock,workers wages,1
42,self,docking,procedure,dock,self procedure,1
43,company,docked,vessels,dock,company vessels,1
44,authorities,docked,team,dock,authorities team,1
45,ships,docked,downstream,dock,ships downstream,1
46,sea,docked,ship,dock,sea ship,1
47,man,docking,boat,dock,man boat,1
48,coastguards,docked,ship,dock,coastguards ship,1
49,ship,docked,tons,dock,ship tons,1
50,reviewer,docked,points,dock,reviewer points,1
51,modules,docked,robotically,dock,modules robotically,1
52,boat,docking,facilities,dock,boat facilities,1
53,vessel,docked,license,dock,vessel license,1
54,ends,docked,treatment,dock,ends treatment,1
55,ferries,dock,service,dock,ferries service,1
56,ships,docked,port,dock,ships port,1
57,club,docked,salary,dock,club salary,1
58,proteins,docking,platforms,dock,proteins platforms,1
59,residents,dock,boats,dock,residents boats,1
60,landfill,docking,facilities,dock,landfill facilities,1
61,ship,docks,semester,dock,ship semester,1
62,terminal,docking,infrastructure,dock,terminal infrastructure,1
63,crew,docked,profile,dock,crew profile,1
64,spacecraft,docked,engines,dock,spacecraft engines,1
65,boat,docked,refugees,dock,boat refugees,1
66,relations,docking,tour,dock,relations tour,1
67,crew,docked,occupants,dock,crew occupants,1
68,captain,docked,ship,dock,captain ship,1
69,crew,docked,station,dock,crew station,1
70,people,dock,boats,dock,people boats,1
71,town,dock,facilities,dock,town facilities,1
72,boat,docked,patrols,dock,boat patrols,1
73,post,docking,analysis,dock,post analysis,1
74,station,dock,shunting,dock,station shunting,1
75,ships,docked,ships,dock,ships ships,1
76,ferries,docked,cargo,dock,ferries cargo,1
77,cattle,dock,remains,dock,cattle remains,1
78,spacecraft,docking,hours,dock,spacecraft hours,1
79,ferry,docked,classes,dock,ferry classes,1
80,all,docked,miles,dock,all miles,1
81,steamboat,docked,epidemic,dock,steamboat epidemic,1
82,ship,docked,cargo,dock,ship cargo,1
83,engine,docking,maneuvers,dock,engine maneuvers,1
84,boats,docked,parts,dock,boats parts,1
85,ship,docked,document,dock,ship document,1
86,ship,docks,corsage,dock,ship corsage,1
87,battleships,docked,ports,dock,battleships ports,1
88,spacecraft,docked,manipulator,dock,spacecraft manipulator,1
89,player,docks,ship,dock,player ship,1
90,ships,docked,portion,dock,ships portion,1
91,start,docking,use,dock,start use,1
92,crew,docked,crew,dock,crew crew,1
93,vessel,docked,headquarters,dock,vessel headquarters,1
94,warships,dock,crew,dock,warships crew,1
95,city,docked,ship,dock,city ship,1
96,scenery,dock,entrance,dock,scenery entrance,1
97,room,docking,facilities,dock,room facilities,1
