,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,arrival,stabilized,situation,stabilize,arrival situation,6
1,portion,stabilized,surface,stabilize,portion surface,6
2,arrival,stabilized,situation,stabilize,arrival situation,6
3,portion,stabilized,surface,stabilize,portion surface,6
4,portion,stabilized,surface,stabilize,portion surface,6
5,portion,stabilized,surface,stabilize,portion surface,6
6,portion,stabilized,surface,stabilize,portion surface,6
7,arrival,stabilized,situation,stabilize,arrival situation,6
8,arrival,stabilized,situation,stabilize,arrival situation,6
9,arrival,stabilized,situation,stabilize,arrival situation,6
10,portion,stabilized,surface,stabilize,portion surface,6
11,arrival,stabilized,situation,stabilize,arrival situation,6
12,spin,stabilized,satellite,stabilize,spin satellite,5
13,intervention,stabilized,situation,stabilize,intervention situation,5
14,spin,stabilized,satellite,stabilize,spin satellite,5
15,intervention,stabilized,situation,stabilize,intervention situation,5
16,spin,stabilized,satellite,stabilize,spin satellite,5
17,spin,stabilized,satellite,stabilize,spin satellite,5
18,intervention,stabilized,situation,stabilize,intervention situation,5
19,spin,stabilized,satellite,stabilize,spin satellite,5
20,intervention,stabilized,situation,stabilize,intervention situation,5
21,intervention,stabilized,situation,stabilize,intervention situation,5
22,half,stabilized,surface,stabilize,half surface,4
23,half,stabilized,surface,stabilize,half surface,4
24,half,stabilized,surface,stabilize,half surface,4
25,half,stabilized,surface,stabilize,half surface,4
26,administration,stabilized,frontier,stabilize,administration frontier,3
27,length,stabilized,surface,stabilize,length surface,3
28,administration,stabilized,frontier,stabilize,administration frontier,3
29,length,stabilized,surface,stabilize,length surface,3
30,length,stabilized,surface,stabilize,length surface,3
31,administration,stabilized,frontier,stabilize,administration frontier,3
32,axis,stabilized,platform,stabilize,axis platform,2
33,general,stabilized,fortune,stabilize,general fortune,2
34,second,stabilized,platform,stabilize,second platform,2
35,institutions,stabilized,society,stabilize,institutions society,2
36,axis,stabilized,platform,stabilize,axis platform,2
37,axis,stabilized,motors,stabilize,axis motors,2
38,axis,stabilized,motors,stabilize,axis motors,2
39,gradient,stabilized,method,stabilize,gradient method,2
40,segment,stabilized,surface,stabilize,segment surface,2
41,victory,stabilized,position,stabilize,victory position,2
42,status,stabilized,league,stabilize,status league,2
43,country,stabilized,fortunes,stabilize,country fortunes,2
44,victory,stabilized,position,stabilize,victory position,2
45,institutions,stabilized,society,stabilize,institutions society,2
46,forces,stabilize,line,stabilize,forces line,2
47,general,stabilized,fortune,stabilize,general fortune,2
48,enrollment,stabilized,students,stabilize,enrollment students,2
49,axis,stabilized,spacecraft,stabilize,axis spacecraft,2
50,fin,stabilizes,yaw,stabilize,fin yaw,2
