,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,aircraft,slid,fire,slide,aircraft fire,7
1,aircraft,slid,fire,slide,aircraft fire,7
2,aircraft,slid,fire,slide,aircraft fire,7
3,aircraft,slid,fire,slide,aircraft fire,7
4,aircraft,slid,fire,slide,aircraft fire,7
5,aircraft,slid,fire,slide,aircraft fire,7
6,aircraft,slid,fire,slide,aircraft fire,7
7,car,slid,wall,slide,car wall,3
8,dancer,slides,foot,slide,dancer foot,3
9,car,slid,tree,slide,car tree,3
10,king,slides,cells,slide,king cells,3
11,dancer,slides,foot,slide,dancer foot,3
12,dancer,slides,foot,slide,dancer foot,3
13,player,slides,tiles,slide,player tiles,3
14,king,slides,cells,slide,king cells,3
15,car,slid,wall,slide,car wall,3
16,king,slides,cells,slide,king cells,3
17,car,slid,wall,slide,car wall,3
18,player,slides,tiles,slide,player tiles,3
19,player,slides,tiles,slide,player tiles,3
20,gun,slid,system,slide,gun system,3
21,car,slid,tree,slide,car tree,3
22,gun,slid,system,slide,gun system,3
23,gun,slid,system,slide,gun system,3
24,car,slid,tree,slide,car tree,3
25,profits,slid,lawsuit,slide,profits lawsuit,2
26,player,slides,car,slide,player car,2
27,aircraft,slid,yards,slide,aircraft yards,2
28,masts,slid,helm,slide,masts helm,2
29,vessel,slides,slipway,slide,vessel slipway,2
30,animals,sliding,values,slide,animals values,2
31,aircraft,slid,yards,slide,aircraft yards,2
32,king,slides,squares,slide,king squares,2
33,rider,slides,hands,slide,rider hands,2
34,rider,slides,hands,slide,rider hands,2
35,car,slid,contact,slide,car contact,2
36,joint,sliding,motion,slide,joint motion,2
37,user,slides,finger,slide,user finger,2
38,spider,slides,millimetres,slide,spider millimetres,2
39,joint,sliding,motion,slide,joint motion,2
40,back,slid,strap,slide,back strap,2
41,knitter,slides,stitches,slide,knitter stitches,2
42,player,slides,car,slide,player car,2
43,back,slid,strap,slide,back strap,2
44,spider,slides,millimetres,slide,spider millimetres,2
45,aircraft,slid,road,slide,aircraft road,2
46,aircraft,slid,road,slide,aircraft road,2
47,masts,slid,helm,slide,masts helm,2
48,king,slides,squares,slide,king squares,2
49,knitter,slides,stitches,slide,knitter stitches,2
50,car,slid,contact,slide,car contact,2
51,player,slides,fingers,slide,player fingers,2
52,islands,slid,rock,slide,islands rock,2
53,vessel,slides,slipway,slide,vessel slipway,2
54,animals,sliding,values,slide,animals values,2
55,user,slides,finger,slide,user finger,2
56,player,slides,fingers,slide,player fingers,2
57,islands,slid,rock,slide,islands rock,2
58,profits,slid,lawsuit,slide,profits lawsuit,2
59,presentation,slides,series,slide,presentation series,1
60,plane,slides,runway,slide,plane runway,1
61,components,slide,esophagus,slide,components esophagus,1
62,petals,slide,bodies,slide,petals bodies,1
63,water,slides,northward,slide,water northward,1
64,pictures,slide,movements,slide,pictures movements,1
65,hand,slides,hair,slide,hand hair,1
66,material,slides,strings,slide,material strings,1
67,car,slid,end,slide,car end,1
68,people,slide,surface,slide,people surface,1
69,both,slid,car,slide,both car,1
70,guitarist,sliding,chord,slide,guitarist chord,1
71,water,slides,angle,slide,water angle,1
72,cartridges,slide,downwards,slide,cartridges downwards,1
73,chair,slides,sides,slide,chair sides,1
74,sled,slides,inches,slide,sled inches,1
75,gun,sliding,slope,slide,gun slope,1
76,aircraft,slid,legs,slide,aircraft legs,1
77,wall,slides,treasure,slide,wall treasure,1
78,team,slid,games,slide,team games,1
79,plane,slid,nose,slide,plane nose,1
80,family,slides,round,slide,family round,1
81,monk,slides,taiaha,slide,monk taiaha,1
82,drivers,slid,manoeuvre,slide,drivers manoeuvre,1
83,cytoplasm,slides,pseudopodium,slide,cytoplasm pseudopodium,1
84,person,slides,finger,slide,person finger,1
85,player,slides,finger,slide,player finger,1
86,album,sliding,spots,slide,album spots,1
87,driver,slide,order,slide,driver order,1
88,color,slides,scenes,slide,color scenes,1
89,wings,slid,edge,slide,wings edge,1
90,sections,slide,cable,slide,sections cable,1
91,crank,slides,bolt,slide,crank bolt,1
92,characters,slide,runway,slide,characters runway,1
93,humor,slides,show,slide,humor show,1
94,foot,slides,tombé,slide,foot tombé,1
95,player,slides,discs,slide,player discs,1
96,cover,slid,curtain,slide,cover curtain,1
97,weight,slides,inline,slide,weight inline,1
98,timber,sliding,windows,slide,timber windows,1
99,doors,slide,halves,slide,doors halves,1
100,chorines,slide,banisters,slide,chorines banisters,1
101,piercer,slides,needle,slide,piercer needle,1
102,fox,slides,oil,slide,fox oil,1
103,shot,slid,feet,slide,shot feet,1
104,transition,slide,panel,slide,transition panel,1
105,snow,slides,roadway,slide,snow roadway,1
106,one,slides,numbers,slide,one numbers,1
107,end,slid,ditch,slide,end ditch,1
108,inertia,slides,mechanism,slide,inertia mechanism,1
109,strength,slid,roster,slide,strength roster,1
110,user,slides,face,slide,user face,1
111,crook,slides,gurney,slide,crook gurney,1
112,archive,slides,part,slide,archive part,1
113,game,slid,tackle,slide,game tackle,1
114,aircraft,slid,length,slide,aircraft length,1
115,union,slid,problems,slide,union problems,1
116,bee,slides,flower,slide,bee flower,1
117,user,slides,bead,slide,user bead,1
118,player,slide,walls,slide,player walls,1
119,champion,slide,square,slide,champion square,1
120,car,slid,brakes,slide,car brakes,1
121,guards,slid,food,slide,guards food,1
122,drivers,slid,line,slide,drivers line,1
123,people,slides,runway,slide,people runway,1
124,rider,slides,tube,slide,rider tube,1
125,birds,slide,counter,slide,birds counter,1
126,mother,slides,bannister,slide,mother bannister,1
127,robbers,slide,iron,slide,robbers iron,1
128,crew,slid,barrel,slide,crew barrel,1
129,sales,slid,percent,slide,sales percent,1
130,snakes,slid,hill,slide,snakes hill,1
131,clutch,slides,wheel,slide,clutch wheel,1
132,lever,slides,clutch,slide,lever clutch,1
133,sleigh,slides,roof,slide,sleigh roof,1
134,person,slides,dunes,slide,person dunes,1
135,group,slides,associations,slide,group associations,1
136,observer,sliding,semilandmarks,slide,observer semilandmarks,1
137,player,slide,note,slide,player note,1
138,yuck,slid,spill,slide,yuck spill,1
139,sand,slides,pile,slide,sand pile,1
140,car,slid,fence,slide,car fence,1
141,players,slide,stack,slide,players stack,1
142,yacht,slid,command,slide,yacht command,1
143,bird,slides,hills,slide,bird hills,1
144,candidate,slides,something,slide,candidate something,1
145,shortsword,slid,weapon,slide,shortsword weapon,1
146,numbers,slid,minutes,slide,numbers minutes,1
147,caution,slid,front,slide,caution front,1
148,user,slides,lever,slide,user lever,1
149,guys,slide,poles,slide,guys poles,1
150,country,slid,opposition,slide,country opposition,1
151,book,slides,seriousness,slide,book seriousness,1
152,weight,slides,rod,slide,weight rod,1
153,somebody,slid,couple,slide,somebody couple,1
154,guesthouse,slid,westwards,slide,guesthouse westwards,1
155,signing,slid,effort,slide,signing effort,1
156,plates,slide,continents,slide,plates continents,1
157,user,slides,feet,slide,user feet,1
158,two,slid,prop,slide,two prop,1
159,language,slides,moorings,slide,language moorings,1
160,navy,slide,iMERZ,slide,navy iMERZ,1
161,user,slide,switch,slide,user switch,1
162,leans,slides,highway,slide,leans highway,1
163,car,slid,barriers,slide,car barriers,1
164,truck,slid,train,slide,truck train,1
165,truck,slid,times,slide,truck times,1
166,fish,slides,stairs,slide,fish stairs,1
167,players,slide,container,slide,players container,1
168,one,slides,idea,slide,one idea,1
169,door,slides,tunnel,slide,door tunnel,1
170,galley,slides,aft,slide,galley aft,1
171,edges,slide,plug,slide,edges plug,1
172,door,slide,room,slide,door room,1
173,loader,slide,grenade,slide,loader grenade,1
174,king,slides,distance,slide,king distance,1
175,vocals,sliding,genres,slide,vocals genres,1
176,elements,slide,walls,slide,elements walls,1
177,winner,slid,puck,slide,winner puck,1
178,aircraft,slid,feet,slide,aircraft feet,1
179,opponent,slides,coin,slide,opponent coin,1
180,ball,sliding,arm,slide,ball arm,1
181,knob,slides,downwards,slide,knob downwards,1
182,solids,slide,slopes,slide,solids slopes,1
183,suitcase,slides,vehicle,slide,suitcase vehicle,1
184,structures,slide,downwards,slide,structures downwards,1
185,villains,slide,animator,slide,villains animator,1
186,player,slide,stylus,slide,player stylus,1
187,user,slides,disc,slide,user disc,1
188,ice,slid,hill,slide,ice hill,1
189,one,slide,edges,slide,one edges,1
190,king,slid,fingers,slide,king fingers,1
191,takeover,slid,tree,slide,takeover tree,1
192,boys,slide,coffin,slide,boys coffin,1
193,snow,slides,roof,slide,snow roof,1
194,middle,slid,war,slide,middle war,1
195,sand,slid,line,slide,sand line,1
196,plane,slid,house,slide,plane house,1
197,castles,slide,resources,slide,castles resources,1
198,surgeon,slides,endoscope,slide,surgeon endoscope,1
199,centre,slid,ball,slide,centre ball,1
200,gunner,slide,barrel,slide,gunner barrel,1
201,fireman,slides,pole,slide,fireman pole,1
202,tires,slid,pass,slide,tires pass,1
