,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,band,thanked,fans,thank,band fans,4
1,band,thanked,fans,thank,band fans,4
2,band,thanking,fans,thank,band fans,4
3,band,thanked,fans,thank,band fans,4
4,prince,thanking,businessman,thank,prince businessman,3
5,prince,thanking,businessman,thank,prince businessman,3
6,prince,thanking,businessman,thank,prince businessman,3
7,series,thanked,fans,thank,series fans,2
8,website,thanked,listeners,thank,website listeners,2
9,staff,thanked,listeners,thank,staff listeners,2
10,staff,thanked,listeners,thank,staff listeners,2
11,singer,thanked,fans,thank,singer fans,2
12,singer,thanked,fans,thank,singer fans,2
13,man,thanked,man,thank,man man,2
14,actor,thanked,fans,thank,actor fans,2
15,supporters,thanked,lawyers,thank,supporters lawyers,2
16,series,thanked,fans,thank,series fans,2
17,man,thanks,man,thank,man man,2
18,actor,thanked,fans,thank,actor fans,2
19,supporters,thanked,lawyers,thank,supporters lawyers,2
20,website,thanked,listeners,thank,website listeners,2
21,message,thanked,public,thank,message public,1
22,singer,thanked,station,thank,singer station,1
23,mother,thanked,police,thank,mother police,1
24,ambassador,thanked,head,thank,ambassador head,1
25,people,thanked,admin,thank,people admin,1
26,chair,thanked,supporters,thank,chair supporters,1
27,activists,thanked,officials,thank,activists officials,1
28,tourists,thank,storyteller,thank,tourists storyteller,1
29,prince,thanks,two,thank,prince two,1
30,one,thanked,everyone,thank,one everyone,1
31,club,thanked,coach,thank,club coach,1
32,patch,thanked,user,thank,patch user,1
33,bottom,thanked,number,thank,bottom number,1
34,chef,thanks,judges,thank,chef judges,1
35,response,thanked,fans,thank,response fans,1
36,nominee,thanked,convention,thank,nominee convention,1
37,statement,thanked,troops,thank,statement troops,1
38,leaders,thanked,community,thank,leaders community,1
39,dancers,thank,audience,thank,dancers audience,1
40,song,thanks,name,thank,song name,1
41,owners,thanked,everyone,thank,owners everyone,1
42,band,thanked,everyone,thank,band everyone,1
43,post,thanked,fans,thank,post fans,1
44,officer,thanked,people,thank,officer people,1
45,members,thanked,fans,thank,members fans,1
46,fliers,thanking,populace,thank,fliers populace,1
47,assembly,thanked,king,thank,assembly king,1
48,actress,thanked,everyone,thank,actress everyone,1
49,album,thank,goodness,thank,album goodness,1
50,critics,thanked,show,thank,critics show,1
51,flowers,thanking,participation,thank,flowers participation,1
52,staff,thanked,readers,thank,staff readers,1
53,delegate,thanked,delegates,thank,delegate delegates,1
54,pair,thank,saviors,thank,pair saviors,1
55,agency,thanked,fans,thank,agency fans,1
56,government,thanked,squires,thank,government squires,1
57,rapper,thanking,attention,thank,rapper attention,1
58,husband,thanks,wife,thank,husband wife,1
59,man,thanks,gang,thank,man gang,1
60,situation,thanked,players,thank,situation players,1
61,actor,thanked,chef,thank,actor chef,1
62,author,thanks,people,thank,author people,1
63,senators,thanked,ombudsman,thank,senators ombudsman,1
64,family,thanked,responders,thank,family responders,1
65,spokesperson,thanked,media,thank,spokesperson media,1
