,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,police,interrogated,members,interrogate,police members,4
1,police,interrogated,members,interrogate,police members,4
2,police,interrogated,members,interrogate,police members,4
3,police,interrogated,members,interrogate,police members,4
4,police,interrogated,students,interrogate,police students,3
5,police,interrogated,students,interrogate,police students,3
6,police,interrogate,students,interrogate,police students,3
7,police,interrogated,suspects,interrogate,police suspects,2
8,activists,interrogated,prosecutor,interrogate,activists prosecutor,2
9,interpreting,interrogating,prisoners,interrogate,interpreting prisoners,2
10,police,interrogated,girlfriend,interrogate,police girlfriend,2
11,activists,interrogated,prosecutor,interrogate,activists prosecutor,2
12,police,interrogated,girlfriend,interrogate,police girlfriend,2
13,officer,interrogated,men,interrogate,officer men,2
14,officer,interrogated,men,interrogate,officer men,2
15,police,interrogate,men,interrogate,police men,2
16,tribunal,interrogated,nominees,interrogate,tribunal nominees,2
17,tribunal,interrogated,nominees,interrogate,tribunal nominees,2
18,detective,interrogates,suspects,interrogate,detective suspects,2
19,play,interrogating,values,interrogate,play values,2
20,body,interrogates,interrelation,interrogate,body interrelation,2
21,poet,interrogates,goddesses,interrogate,poet goddesses,2
22,police,interrogate,suspects,interrogate,police suspects,2
23,interpreting,interrogating,prisoners,interrogate,interpreting prisoners,2
24,poet,interrogates,goddesses,interrogate,poet goddesses,2
25,police,interrogated,men,interrogate,police men,2
26,body,interrogates,interrelation,interrogate,body interrelation,2
27,detective,interrogates,suspects,interrogate,detective suspects,2
28,play,interrogating,values,interrogate,play values,2
29,interpreter,interrogated,suspects,interrogate,interpreter suspects,1
30,subdelegates,interrogated,conventuals,interrogate,subdelegates conventuals,1
31,trooper,interrogated,family,interrogate,trooper family,1
32,work,interrogates,discourse,interrogate,work discourse,1
33,defense,interrogated,witnesses,interrogate,defense witnesses,1
34,kiss,interrogate,one,interrogate,kiss one,1
35,gang,interrogates,pair,interrogate,gang pair,1
36,tools,interrogate,information,interrogate,tools information,1
