,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,planet,transits,star,transit,planet star,12
1,planet,transits,star,transit,planet star,12
2,planet,transits,star,transit,planet star,12
3,planet,transits,star,transit,planet star,12
4,planet,transits,star,transit,planet star,12
5,planet,transits,star,transit,planet star,12
6,planet,transited,star,transit,planet star,12
7,planet,transits,star,transit,planet star,12
8,planet,transits,star,transit,planet star,12
9,planet,transits,star,transit,planet star,12
10,planet,transits,star,transit,planet star,12
11,planet,transiting,star,transit,planet star,12
12,planets,transit,star,transit,planets star,5
13,planets,transited,star,transit,planets star,5
14,planets,transit,star,transit,planets star,5
15,planets,transit,star,transit,planets star,5
16,planets,transit,star,transit,planets star,5
17,ships,transited,canal,transit,ships canal,4
18,ships,transited,canal,transit,ships canal,4
19,ships,transit,canal,transit,ships canal,4
20,ships,transited,canal,transit,ships canal,4
21,sun,transits,sign,transit,sun sign,3
22,sun,transits,sign,transit,sun sign,3
23,sun,transits,sign,transit,sun sign,3
24,sun,transits,constellation,transit,sun constellation,2
25,sun,transits,constellation,transit,sun constellation,2
26,aircraft,transiting,airfield,transit,aircraft airfield,2
27,aircraft,transited,airfield,transit,aircraft airfield,2
28,sun,transits,area,transit,sun area,2
29,ship,transited,canal,transit,ship canal,2
30,ship,transits,canal,transit,ship canal,2
31,sun,transits,area,transit,sun area,2
32,division,transited,canal,transit,division canal,2
33,division,transited,canal,transit,division canal,2
34,aircraft,transited,line,transit,aircraft line,1
35,maneuver,transited,correction,transit,maneuver correction,1
36,body,transits,larger,transit,body larger,1
37,nationals,transiting,airport,transit,nationals airport,1
38,aircraft,transit,base,transit,aircraft base,1
39,harbour,transits,volumes,transit,harbour volumes,1
40,number,transits,airport,transit,number airport,1
41,tug,transited,canal,transit,tug canal,1
42,planet,transits,stars,transit,planet stars,1
43,route,transits,southeast,transit,route southeast,1
44,transits,transits,southeastwards,transit,transits southeastwards,1
45,tracks,transiting,town,transit,tracks town,1
46,body,transits,meridian,transit,body meridian,1
47,forces,transited,waters,transit,forces waters,1
48,highways,transit,township,transit,highways township,1
49,cyclone,transits,area,transit,cyclone area,1
50,work,transits,border,transit,work border,1
51,exoplanet,transits,star,transit,exoplanet star,1
52,innermost,transits,star,transit,innermost star,1
53,students,transit,quarter,transit,students quarter,1
54,warship,transited,canal,transit,warship canal,1
55,lord,transits,bhava,transit,lord bhava,1
56,submersible,transited,waters,transit,submersible waters,1
57,mainline,transits,area,transit,mainline area,1
58,tender,transited,waterway,transit,tender waterway,1
59,boaters,transit,canal,transit,boaters canal,1
60,vehicle,transits,country,transit,vehicle country,1
61,aircraft,transited,route,transit,aircraft route,1
62,destroyer,transited,canal,transit,destroyer canal,1
63,leopards,transit,area,transit,leopards area,1
64,troops,transited,territory,transit,troops territory,1
65,device,transits,poop,transit,device poop,1
66,shaman,transits,vault,transit,shaman vault,1
67,warships,transited,canal,transit,warships canal,1
68,steamships,transited,lock,transit,steamships lock,1
69,ships,transiting,waters,transit,ships waters,1
70,vessel,transited,canal,transit,vessel canal,1
71,total,transiting,wire,transit,total wire,1
72,force,transited,strait,transit,force strait,1
73,microbubbles,transit,lung,transit,microbubbles lung,1
74,route,transited,village,transit,route village,1
75,spot,transits,planet,transit,spot planet,1
76,number,transited,body,transit,number body,1
77,aircraft,transiting,installation,transit,aircraft installation,1
78,convoy,transited,canal,transit,convoy canal,1
79,ship,transited,tip,transit,ship tip,1
80,lord,transits,trine,transit,lord trine,1
81,convoys,transit,canal,transit,convoys canal,1
