,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,road,ride,lot,ride,road lot,10
1,station,ride,lot,ride,station lot,10
2,road,ride,lot,ride,road lot,10
3,road,ride,lot,ride,road lot,10
4,station,ride,lot,ride,station lot,10
5,road,ride,lot,ride,road lot,10
6,station,ride,lot,ride,station lot,10
7,road,ride,lot,ride,road lot,10
8,station,ride,lot,ride,station lot,10
9,station,ride,lot,ride,station lot,10
10,road,ride,lot,ride,road lot,10
11,team,rode,team,ride,team team,10
12,team,rode,team,ride,team team,10
13,team,rode,team,ride,team team,10
14,station,ride,lot,ride,station lot,10
15,team,rode,team,ride,team team,10
16,team,rode,team,ride,team team,10
17,team,rode,team,ride,team team,10
18,station,ride,lot,ride,station lot,10
19,team,rode,team,ride,team team,10
20,team,rode,team,ride,team team,10
21,team,rode,team,ride,team team,10
22,station,ride,lot,ride,station lot,10
23,station,ride,lot,ride,station lot,10
24,road,ride,lot,ride,road lot,10
25,team,rode,team,ride,team team,10
26,road,ride,lot,ride,road lot,10
27,station,ride,lot,ride,station lot,10
28,road,ride,lot,ride,road lot,10
29,road,ride,lot,ride,road lot,10
30,people,ride,horses,ride,people horses,9
31,people,ride,horses,ride,people horses,9
32,people,ride,horses,ride,people horses,9
33,people,ride,horses,ride,people horses,9
34,people,rode,horses,ride,people horses,9
35,people,ride,horses,ride,people horses,9
36,people,rode,horses,ride,people horses,9
37,people,ride,horses,ride,people horses,9
38,people,ride,horses,ride,people horses,9
39,people,rode,storm,ride,people storm,7
40,people,rode,storm,ride,people storm,7
41,people,rode,storm,ride,people storm,7
42,people,rode,storm,ride,people storm,7
43,people,rode,storm,ride,people storm,7
44,people,rode,storm,ride,people storm,7
45,people,rode,storm,ride,people storm,7
46,people,ride,bikes,ride,people bikes,6
47,people,ride,bikes,ride,people bikes,6
48,people,ride,bikes,ride,people bikes,6
49,people,ride,bicycles,ride,people bicycles,6
50,people,ride,bicycles,ride,people bicycles,6
51,people,ride,bikes,ride,people bikes,6
52,people,ride,bikes,ride,people bikes,6
53,people,rode,bicycles,ride,people bicycles,6
54,people,ride,bicycles,ride,people bicycles,6
55,people,ride,bikes,ride,people bikes,6
56,people,ride,bicycles,ride,people bicycles,6
57,people,ride,bicycles,ride,people bicycles,6
58,route,ride,lot,ride,route lot,5
59,passengers,rode,line,ride,passengers line,5
60,passengers,ride,line,ride,passengers line,5
61,route,ride,lot,ride,route lot,5
62,passengers,rode,line,ride,passengers line,5
63,men,ride,laps,ride,men laps,5
64,passengers,rode,line,ride,passengers line,5
65,men,rode,laps,ride,men laps,5
66,passengers,rode,line,ride,passengers line,5
67,men,rode,laps,ride,men laps,5
68,women,rode,laps,ride,women laps,5
69,women,rode,laps,ride,women laps,5
70,men,rode,laps,ride,men laps,5
71,men,rode,laps,ride,men laps,5
72,women,rode,laps,ride,women laps,5
73,women,rode,laps,ride,women laps,5
74,route,ride,lot,ride,route lot,5
75,route,ride,lot,ride,route lot,5
76,route,ride,lot,ride,route lot,5
77,women,ride,laps,ride,women laps,5
78,surfers,ride,waves,ride,surfers waves,4
79,cavalry,rode,horses,ride,cavalry horses,4
80,cowboys,ride,bulls,ride,cowboys bulls,4
81,children,rode,horses,ride,children horses,4
82,ships,rode,storm,ride,ships storm,4
83,children,ride,horses,ride,children horses,4
84,surfers,ride,waves,ride,surfers waves,4
85,cavalry,rode,horses,ride,cavalry horses,4
86,men,rode,torpedo,ride,men torpedo,4
87,men,ride,horses,ride,men horses,4
88,justices,rode,circuit,ride,justices circuit,4
89,justices,ride,circuit,ride,justices circuit,4
90,surfers,ride,waves,ride,surfers waves,4
91,justices,rode,circuit,ride,justices circuit,4
92,cavalry,rode,horses,ride,cavalry horses,4
93,men,rode,torpedo,ride,men torpedo,4
94,justices,rode,circuit,ride,justices circuit,4
95,men,rode,torpedo,ride,men torpedo,4
96,men,rode,horses,ride,men horses,4
97,cowboys,ride,bulls,ride,cowboys bulls,4
98,children,rode,horses,ride,children horses,4
99,cowboys,ride,bulls,ride,cowboys bulls,4
100,cavalry,rode,horses,ride,cavalry horses,4
101,ships,rode,storm,ride,ships storm,4
102,children,rode,horses,ride,children horses,4
103,cowboys,ride,bulls,ride,cowboys bulls,4
104,surfers,rode,waves,ride,surfers waves,4
105,ships,rode,storm,ride,ships storm,4
106,men,rode,horses,ride,men horses,4
107,men,rode,horses,ride,men horses,4
108,men,rode,torpedo,ride,men torpedo,4
109,ships,rode,storm,ride,ships storm,4
110,soldier,rode,horse,ride,soldier horse,3
111,participants,ride,bicycles,ride,participants bicycles,3
112,horsemen,ride,horses,ride,horsemen horses,3
113,ship,rode,storm,ride,ship storm,3
114,people,rode,elephants,ride,people elephants,3
115,children,ride,steers,ride,children steers,3
116,residents,ride,bicycles,ride,residents bicycles,3
117,deities,ride,chariots,ride,deities chariots,3
118,men,ride,train,ride,men train,3
119,deities,ride,chariots,ride,deities chariots,3
120,ship,ride,storm,ride,ship storm,3
121,deities,ride,chariots,ride,deities chariots,3
