,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,tooth,rows,number,row,tooth number,11
1,tooth,rows,number,row,tooth number,11
2,tooth,rows,number,row,tooth number,11
3,tooth,rows,number,row,tooth number,11
4,tooth,rows,number,row,tooth number,11
5,tooth,rows,number,row,tooth number,11
6,tooth,rows,number,row,tooth number,11
7,tooth,rows,number,row,tooth number,11
8,tooth,rows,number,row,tooth number,11
9,tooth,rows,number,row,tooth number,11
10,tooth,rows,number,row,tooth number,11
11,men,rowed,boat,row,men boat,4
12,men,rowed,boat,row,men boat,4
13,men,rowed,boat,row,men boat,4
14,men,rowed,boat,row,men boat,4
15,men,rowed,folboats,row,men folboats,2
16,crews,rowed,strokes,row,crews strokes,2
17,crews,rowed,strokes,row,crews strokes,2
18,crew,rowed,miles,row,crew miles,2
19,crew,rowed,miles,row,crew miles,2
20,airline,rowed,passengers,row,airline passengers,2
21,airline,rowed,passengers,row,airline passengers,2
22,men,rowed,shore,row,men shore,2
23,year,rowed,scull,row,year scull,2
24,row,row,structures,row,row structures,2
25,men,rowed,folboats,row,men folboats,2
26,boats,rowed,force,row,boats force,2
27,year,rowed,scull,row,year scull,2
28,row,row,structures,row,row structures,2
29,men,rowed,shore,row,men shore,2
30,boats,rowed,force,row,boats force,2
31,crew,rowed,two,row,crew two,1
32,teeth,rows,stretch,row,teeth stretch,1
33,nation,rowing,medal,row,nation medal,1
34,mother,rowed,boat,row,mother boat,1
35,habitat,row,crops,row,habitat crops,1
36,presence,rowed,debris,row,presence debris,1
37,debris,rowed,hundreds,row,debris hundreds,1
38,crew,rowed,rowing,row,crew rowing,1
39,crew,rowed,leagues,row,crew leagues,1
40,boats,row,tradition,row,boats tradition,1
41,two,rowed,surface,row,two surface,1
42,galleys,rowed,ships,row,galleys ships,1
43,brother,rowed,years,row,brother years,1
44,year,rowed,four,row,year four,1
45,friend,rowed,sculls,row,friend sculls,1
46,one,row,boat,row,one boat,1
47,page,rows,boat,row,page boat,1
48,crew,rowed,passenger,row,crew passenger,1
49,infantry,rowed,boats,row,infantry boats,1
50,four,rowed,coast,row,four coast,1
51,club,rowed,kilometres,row,club kilometres,1
52,sculls,rowing,competition,row,sculls competition,1
53,tone,rows,lengths,row,tone lengths,1
54,pair,rowed,miles,row,pair miles,1
55,bottom,row,digits,row,bottom digits,1
56,chicks,rowed,lines,row,chicks lines,1
57,sailors,rowed,boats,row,sailors boats,1
58,couples,row,run,row,couples run,1
59,eights,rowing,competition,row,eights competition,1
60,crew,rowed,lifeboat,row,crew lifeboat,1
61,survivors,rowed,lifeboat,row,survivors lifeboat,1
62,farmers,rowed,hay,row,farmers hay,1
63,assignment,rowing,sculls,row,assignment sculls,1
64,force,rowed,islands,row,force islands,1
65,crews,rowed,side,row,crews side,1
66,people,rowed,boats,row,people boats,1
67,brothers,rowed,bronze,row,brothers bronze,1
68,teams,row,meters,row,teams meters,1
69,rugby,rowing,competition,row,rugby competition,1
70,crews,rowed,oars,row,crews oars,1
71,marines,rowed,guard,row,marines guard,1
72,boats,rowed,guard,row,boats guard,1
73,one,rows,use,row,one use,1
74,exhibition,rowed,points,row,exhibition points,1
75,workers,rowed,boat,row,workers boat,1
76,lagoon,rowing,events,row,lagoon events,1
77,pirates,rowed,downriver,row,pirates downriver,1
78,woman,rowed,trough,row,woman trough,1
79,boat,row,boat,row,boat boat,1
80,vendors,rowed,boats,row,vendors boats,1
81,representatives,rowing,squads,row,representatives squads,1
82,representatives,rowed,tender,row,representatives tender,1
83,tooth,rows,convergent,row,tooth convergent,1
84,keeper,rowed,resignation,row,keeper resignation,1
85,teams,rowed,invoice,row,teams invoice,1
86,boats,rowed,ships,row,boats ships,1
87,women,rowed,defence,row,women defence,1
88,boat,rowed,crewmen,row,boat crewmen,1
89,fishermen,row,fish,row,fishermen fish,1
90,officer,rowed,force,row,officer force,1
91,resident,rowed,river,row,resident river,1
92,boats,row,distances,row,boats distances,1
93,party,rowed,charges,row,party charges,1
94,men,row,boats,row,men boats,1
95,ships,rowed,eastwards,row,ships eastwards,1
96,community,rowing,events,row,community events,1
97,pin,rows,position,row,pin position,1
98,oarsmen,row,boats,row,oarsmen boats,1
99,fishing,rowing,place,row,fishing place,1
100,jaw,row,outline,row,jaw outline,1
101,uncle,rows,boat,row,uncle boat,1
102,men,row,explanation,row,men explanation,1
103,troops,rowed,pinnace,row,troops pinnace,1
104,brother,rowed,gold,row,brother gold,1
105,corsairs,rowed,slaves,row,corsairs slaves,1
106,friend,rowed,boat,row,friend boat,1
107,canoes,rowed,vessels,row,canoes vessels,1
108,sailors,row,child,row,sailors child,1
109,year,rowed,comeback,row,year comeback,1
110,sports,rowed,rugby,row,sports rugby,1
111,row,row,approximants,row,row approximants,1
112,party,rowed,miles,row,party miles,1
113,brother,rowed,mail,row,brother mail,1
114,universities,rowing,boats,row,universities boats,1
115,men,rowed,surge,row,men surge,1
116,people,rowing,cause,row,people cause,1
117,girls,rowed,meters,row,girls meters,1
118,men,rowed,pair,row,men pair,1
119,man,rowing,oar,row,man oar,1
120,boat,rowed,people,row,boat people,1
121,people,rowed,villages,row,people villages,1
122,boat,rowed,stream,row,boat stream,1
123,boatman,rowed,net,row,boatman net,1
124,detachment,rowed,partway,row,detachment partway,1
125,men,rowed,body,row,men body,1
126,eights,rowed,race,row,eights race,1
127,four,rowed,hours,row,four hours,1
128,members,row,naomhóga,row,members naomhóga,1
129,delegation,rowed,miles,row,delegation miles,1
