,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,airline,transported,passengers,transport,airline passengers,15
1,airline,transported,passengers,transport,airline passengers,15
2,airline,transported,passengers,transport,airline passengers,15
3,airline,transported,passengers,transport,airline passengers,15
4,airline,transported,passengers,transport,airline passengers,15
5,airline,transported,passengers,transport,airline passengers,15
6,airline,transported,passengers,transport,airline passengers,15
7,airline,transporting,passengers,transport,airline passengers,15
8,airline,transported,passengers,transport,airline passengers,15
9,airline,transported,passengers,transport,airline passengers,15
10,airline,transporting,passengers,transport,airline passengers,15
11,airline,transported,passengers,transport,airline passengers,15
12,airline,transported,passengers,transport,airline passengers,15
13,airline,transported,passengers,transport,airline passengers,15
14,airline,transported,passengers,transport,airline passengers,15
15,squadron,transported,prisoners,transport,squadron prisoners,10
16,squadron,transported,prisoners,transport,squadron prisoners,10
17,squadron,transported,prisoners,transport,squadron prisoners,10
18,squadron,transported,prisoners,transport,squadron prisoners,10
19,squadron,transported,prisoners,transport,squadron prisoners,10
20,squadron,transported,prisoners,transport,squadron prisoners,10
21,squadron,transported,prisoners,transport,squadron prisoners,10
22,squadron,transported,prisoners,transport,squadron prisoners,10
23,squadron,transported,prisoners,transport,squadron prisoners,10
24,squadron,transported,prisoners,transport,squadron prisoners,10
25,line,transported,passengers,transport,line passengers,7
26,squadron,transported,troops,transport,squadron troops,7
27,train,transports,tourists,transport,train tourists,7
28,squadron,transported,troops,transport,squadron troops,7
29,train,transports,tourists,transport,train tourists,7
30,squadron,transported,troops,transport,squadron troops,7
31,train,transports,tourists,transport,train tourists,7
32,train,transports,tourists,transport,train tourists,7
33,train,transports,tourists,transport,train tourists,7
34,line,transported,passengers,transport,line passengers,7
35,line,transports,passengers,transport,line passengers,7
36,train,transports,tourists,transport,train tourists,7
37,squadron,transported,troops,transport,squadron troops,7
38,line,transported,passengers,transport,line passengers,7
39,squadron,transported,troops,transport,squadron troops,7
40,line,transported,passengers,transport,line passengers,7
41,squadron,transported,troops,transport,squadron troops,7
42,line,transported,passengers,transport,line passengers,7
43,line,transported,passengers,transport,line passengers,7
44,squadron,transported,troops,transport,squadron troops,7
45,train,transports,tourists,transport,train tourists,7
46,company,transports,passengers,transport,company passengers,6
47,company,transported,passengers,transport,company passengers,6
48,ship,transported,troops,transport,ship troops,6
49,company,transported,passengers,transport,company passengers,6
50,ship,transported,troops,transport,ship troops,6
51,ship,transported,troops,transport,ship troops,6
52,ship,transported,troops,transport,ship troops,6
53,company,transported,passengers,transport,company passengers,6
54,company,transported,passengers,transport,company passengers,6
55,company,transported,passengers,transport,company passengers,6
56,ship,transported,troops,transport,ship troops,6
57,ship,transported,troops,transport,ship troops,6
58,fleet,transported,troops,transport,fleet troops,5
59,system,transports,passengers,transport,system passengers,5
