,subject_text,verb_text,object_text,verb_lemmatized,subject_object_pair,Frequency
0,goldsmith,pinned,clothing,pin,goldsmith clothing,4
1,goldsmith,pinned,clothing,pin,goldsmith clothing,4
2,goldsmith,pinned,clothing,pin,goldsmith clothing,4
3,goldsmith,pinned,clothing,pin,goldsmith clothing,4
4,one,pin,concepts,pin,one concepts,3
5,wrestler,pinned,opponent,pin,wrestler opponent,3
6,one,pin,concepts,pin,one concepts,3
7,referee,pinned,opponent,pin,referee opponent,3
8,referee,pinned,opponent,pin,referee opponent,3
9,referee,pinned,opponent,pin,referee opponent,3
10,one,pin,concepts,pin,one concepts,3
11,wrestler,pins,opponent,pin,wrestler opponent,3
12,wrestler,pins,opponent,pin,wrestler opponent,3
13,invaders,pinned,note,pin,invaders note,2
14,attacks,pinned,forces,pin,attacks forces,2
15,police,pin,robberies,pin,police robberies,2
16,group,pinned,banner,pin,group banner,2
17,attacks,pinned,forces,pin,attacks forces,2
18,move,pins,knight,pin,move knight,2
19,invaders,pinned,note,pin,invaders note,2
20,police,pin,robberies,pin,police robberies,2
21,killers,pinned,note,pin,killers note,2
22,move,pins,knight,pin,move knight,2
23,group,pinned,banner,pin,group banner,2
24,player,pin,piece,pin,player piece,2
25,player,pinned,piece,pin,player piece,2
26,killers,pinned,note,pin,killers note,2
27,leader,pinned,note,pin,leader note,1
28,man,pins,blame,pin,man blame,1
29,guests,pin,money,pin,guests money,1
30,teams,pinned,ball,pin,teams ball,1
31,rudos,pinned,opponents,pin,rudos opponents,1
32,soldiers,pinned,arms,pin,soldiers arms,1
33,critics,pinned,band,pin,critics band,1
34,enemy,pinned,troops,pin,enemy troops,1
35,head,pinned,call,pin,head call,1
36,problem,pins,blame,pin,problem blame,1
37,pastel,pinned,sails,pin,pastel sails,1
38,lyrics,pin,pundits,pin,lyrics pundits,1
39,participants,pinned,pictures,pin,participants pictures,1
40,judge,pinned,collapse,pin,judge collapse,1
41,analysis,pinned,results,pin,analysis results,1
42,arrow,pinned,hand,pin,arrow hand,1
43,insurgency,pinned,uprising,pin,insurgency uprising,1
44,defender,pin,pawn,pin,defender pawn,1
45,fire,pinned,advance,pin,fire advance,1
46,fuselage,pinned,layer,pin,fuselage layer,1
47,staff,pinned,ribbons,pin,staff ribbons,1
48,officials,pinned,blame,pin,officials blame,1
49,rook,pins,bishop,pin,rook bishop,1
50,machineguns,pinned,company,pin,machineguns company,1
51,leaders,pinned,hopes,pin,leaders hopes,1
52,spike,pins,head,pin,spike head,1
53,tug,pinned,ships,pin,tug ships,1
54,vehicle,pinning,passengers,pin,vehicle passengers,1
55,fence,pinned,fears,pin,fence fears,1
56,soldiers,pin,hare,pin,soldiers hare,1
57,jogs,pin,dislocation,pin,jogs dislocation,1
58,hostages,pin,criminal,pin,hostages criminal,1
